uid,stance,set,distilbert-base-uncased_but,distilbert-base-uncased_while,distilbert-base-uncased_although,distilbert-base-uncased_though,distilbert-base-uncased_yet,distilbert-base-uncased_still,bert-base-uncased_but,bert-base-uncased_while,bert-base-uncased_although,bert-base-uncased_though,bert-base-uncased_yet,bert-base-uncased_still,bert-large-uncased_but,bert-large-uncased_while,bert-large-uncased_although,bert-large-uncased_though,bert-large-uncased_yet,bert-large-uncased_still,roberta-base_but,roberta-base_although,roberta-base_though,roberta-base_while,roberta-base_yet,roberta-base_still,xlm-roberta-base_although,xlm-roberta-base_while,xlm-roberta-base_but,xlm-roberta-base_though,xlm-roberta-base_still,xlm-roberta-base_yet,roberta-large_while,roberta-large_but,roberta-large_although,roberta-large_though,roberta-large_yet,roberta-large_still,xlm-roberta-large_although,xlm-roberta-large_while,xlm-roberta-large_but,xlm-roberta-large_though,xlm-roberta-large_yet,xlm-roberta-large_still
0,1,test,0.0083947088569402,0.0053524789400398,0.0022352738305926,0.0007868306129239,2.3202330339699984e-05,4.557822990136629e-07,0.0010981194209307,0.0003540652687661,0.0001048745616571,3.3314525353489444e-05,9.873958788375603e-07,2.075194487360932e-07,4.676685784943402e-05,3.4799017157638445e-05,1.0733914677985013e-05,1.3183206419853375e-06,4.44973284174921e-06,2.407221586508968e-07,4.3845059849445533e-07,1.522994068636763e-07,3.2603225008642767e-08,2.23277254463028e-08,7.065256113492069e-07,5.853240381270554e-08,0.0007195168291218,7.310002274607541e-06,4.877784249401884e-06,7.474962444575795e-07,3.931411072244373e-07,3.6180435358801333e-07,8.445357480013629e-08,3.322803721061973e-08,2.619515093726932e-08,1.4463411801557411e-08,2.19603862205986e-07,3.2599636767827185e-08,0.0001268538617296,7.18080286787881e-07,2.1148179030205938e-07,7.970159998649251e-08,6.600820370294969e-07,2.1700205365959849e-07
1,0,test,0.0038146637380123,0.0072252410463988,0.0021001580171287,0.0011397907510399,0.0001268070773221,1.5141927178774497e-07,0.0006037630955688,0.0003442201123107,0.0002424908161628,8.18218759377487e-05,3.317137452540919e-05,7.632864651441197e-08,0.0005017009098082,0.0012816783273592,0.0006014666869305,0.0001242601283593,6.06965841143392e-05,8.817254411042086e-07,2.602025404030428e-07,5.0616328906016874e-08,1.2476767174973702e-08,1.298348450973208e-07,1.3639219105243685e-05,4.174221999164729e-07,0.0020853076130151,8.321774657815695e-06,1.8854118025046773e-05,1.878268221844337e-06,4.623018412530655e-07,7.414383844661643e-07,6.208882155078754e-07,2.4397684228461003e-06,1.5058180906635243e-06,1.1204257361896452e-06,1.694366437732242e-05,1.1018888699254603e-06,0.0010386143112555,3.098596607742365e-06,1.203865508614399e-06,7.803250809956808e-07,3.422123882046435e-07,7.195418447736301e-07
2,0,test,0.0124743124470114,0.0158100873231887,0.0143820894882082,0.0046901428140699,3.6100966099184006e-05,1.275101766395892e-07,0.0368304885923862,0.0108063034713268,0.0232976507395505,0.0073502943851053,3.9312458284257445e-06,2.1156746754513733e-07,0.0039774891920387,0.00197010836564,0.004397640004754,0.0012086794013157,1.39705171022797e-05,4.047657000683104e-07,8.490224900015164e-06,2.031868280027993e-05,6.417950316972565e-06,1.2402778111209043e-06,2.2310935037239688e-06,3.381081569386879e-06,0.0212063007056713,2.1677795302821323e-05,2.027758455369621e-05,2.64150930888718e-05,7.863474138503079e-07,2.511390846393624e-07,3.748774543055333e-05,0.0006711427704431,0.0001945203111972,0.000115202004963,9.466957271797584e-05,7.16614886187017e-06,0.0767066478729248,2.778285306703765e-05,1.6646128642605618e-05,3.3177726436406374e-05,3.991851372120436e-06,2.106360170728294e-06
3,1,test,0.0012644630623981,0.0030491119250655,0.0007117419154383,0.0002442406257614,6.144494363979902e-06,3.2269188210420914e-08,0.0001450793497497,0.0001862591016106,2.9324181014089845e-05,1.2531424545159098e-05,2.4067458070931025e-07,2.390252440420681e-08,1.92571351362858e-05,3.617792754084803e-05,7.988001925696153e-06,1.8544741351433915e-06,1.578069799279547e-07,4.798823116658468e-09,5.075026976442133e-08,2.437003843169805e-08,6.497954174733422e-09,1.7980619659851982e-08,2.0670172773407105e-07,4.892567062597664e-07,0.0001149825548054,1.4811083701715688e-06,4.005952973784588e-07,7.354957176630705e-08,9.77964305093337e-07,3.8068080243647273e-07,1.770083031260583e-07,4.5351409738714223e-08,3.7379265904746723e-08,2.1807210259794374e-08,4.3926340254074603e-07,3.018733707449428e-07,8.305863593704998e-05,1.1456822903710415e-06,1.0208852074811149e-07,4.9366974508302526e-08,1.748554154801241e-07,2.300317021308729e-07
4,1,test,0.0052837170660495,0.0399772115051746,0.0010718753328546,0.0008613844984211,3.576659219106659e-05,3.212649630768283e-07,0.0048664156347513,0.005922588519752,0.0003559848119039,0.000112894900667,7.818766789569054e-06,8.0328868534707e-07,0.0002662947226781,0.0003914526896551,6.079888407839462e-05,2.0259674784028903e-05,6.050316187611315e-06,3.767401892673661e-07,1.0101143743668217e-07,1.3497443163146272e-08,4.855480018051139e-09,6.715029599035915e-08,2.5266454031225294e-06,1.072468620577638e-07,0.0002818113134708,2.895027137128636e-06,3.591941094782669e-06,4.014318903955427e-07,1.997912477236241e-06,8.911253530641261e-07,5.117902901474736e-07,8.48702725875228e-08,4.7319115736854656e-08,5.209791353877336e-08,1.1659299303801165e-07,2.5499383937699352e-08,5.779002822237089e-05,4.265865527486312e-07,3.945082838185954e-08,4.597039904297162e-08,2.7923027801080025e-07,2.895847899253568e-07
5,0,test,0.1112099960446357,0.005871714092791,0.0983800292015075,0.0289863031357526,9.16407589102164e-05,4.8944539088324746e-08,0.0104221180081367,0.0007356571732088,0.0048467442393302,0.0011487334268167,2.5137740522040986e-05,6.985059286535035e-08,0.0087251868098974,0.0026056685019284,0.0069915684871375,0.0017698860028758,2.471828520356212e-05,1.1556707022464252e-06,3.474160985206254e-05,8.04103819973534e-06,2.2441961391450604e-06,1.2410590670697277e-06,2.023044362431392e-05,5.612679956357169e-07,0.0156907141208648,9.202045475831255e-06,1.556175629957579e-05,1.2930416232848074e-05,2.126981684114071e-07,4.867409870712436e-07,3.8313692130032e-06,4.282805093680509e-05,6.352070340653881e-05,4.164327401667833e-05,6.795836270612199e-06,4.88705552470492e-07,0.0051234518177807,2.602851509436732e-06,2.731282791046397e-07,1.116014459512371e-06,3.017416702277842e-06,1.759982382054659e-07
6,1,test,0.0008116836543194,0.005158195272088,0.0006842757575213,0.0004098501231055,1.3332527259990457e-07,1.4865835229471711e-09,1.6082396541605704e-05,2.806810698530171e-05,6.2526482906832825e-06,1.7376295318172197e-06,5.331082419957056e-08,1.9331411138523442e-08,6.189242867549183e-06,8.714890100236516e-06,3.2590517093922244e-06,7.33254125862004e-07,1.519122037052512e-07,6.6745058369122034e-09,6.497617022205304e-08,6.657592876990749e-08,1.1938045219039852e-08,4.943918341382415e-08,1.756163783284137e-07,7.054109119053464e-08,0.0001059067217283,1.0114898714164156e-06,1.60358797529625e-06,5.004945933251292e-07,3.692113352826709e-07,1.5822924126496218e-07,1.904797812812831e-07,8.09004205848396e-08,9.230627284750881e-08,3.706152185145584e-08,2.1382511761203205e-07,2.457771870467696e-07,6.568856042576954e-05,4.009518477232632e-07,6.104739469492415e-08,5.0537337870082424e-08,1.0709873521363988e-07,2.751605450157513e-07
7,1,test,0.0019623092375695,0.0192660521715879,0.0009948934894055,0.0005232624826021,1.7966061932384036e-05,2.3330315457315013e-08,0.000783373019658,0.0014527182793244,0.0001554812915856,6.154118455015123e-05,2.711636568619724e-07,8.743374024788864e-09,5.285515362629667e-05,0.001069268095307,3.175056917825714e-05,8.329597221745644e-06,1.424643869540887e-06,2.928304887461764e-08,2.1147944551103137e-07,1.7544362407306835e-08,4.056923241790855e-09,1.610425101716828e-06,1.2679229257628322e-06,1.0307708180334885e-06,9.566338849253953e-05,1.1033650935132755e-06,9.688805135965597e-08,2.7870513008565467e-08,1.546257749396318e-06,2.95462314170436e-06,7.939345891827543e-07,8.504650850227335e-08,4.080015969520901e-08,2.054544800955682e-08,3.411397528907401e-07,4.614449835571577e-07,3.197754267603159e-05,6.888164421070542e-07,2.162500578606341e-08,1.8978154159299265e-08,9.822759494682033e-08,4.800655801773246e-07
8,1,test,0.0020525464788079,0.0105734569951891,0.0010410711402073,0.00055827019969,7.84729763836367e-06,1.5057844748866955e-08,0.0003423147136345,0.0003723952395375,0.000122332086903,3.279830707469955e-05,5.625857966151671e-07,2.0579907555884347e-08,0.00011178854038,0.0001878893381217,0.0001149791714851,1.8806456864695065e-05,1.0417359590064734e-05,1.5198247638181789e-07,1.1606596217461629e-07,6.379097072795048e-08,1.1428149981895784e-08,2.5290752603268632e-08,3.761412017411203e-07,1.0151430274163432e-07,0.000645421911031,3.284652166257729e-06,3.0775338473176816e-06,7.433852147187281e-07,2.7000118052455946e-07,3.440862599290995e-07,1.8984280814038362e-07,6.116356843222094e-08,1.0359837432361021e-07,4.436680356434408e-08,5.660453794575916e-08,3.449096297458709e-08,7.949865539558232e-05,6.690187888125365e-07,1.3729827230690717e-07,7.687236092124294e-08,5.069244366495695e-07,2.951545070573048e-07
9,1,test,0.0038661179132759,0.0059488997794687,0.0015737540088593,0.0005536743556149,3.4093482099706307e-06,1.1820624479241816e-08,0.0008326263632625,0.0005411344463936,0.0001149856907431,3.8873178709764034e-05,2.6661101060199144e-07,3.624673539093237e-08,1.4929489225323778e-05,3.1011153623694554e-05,8.325964699906763e-06,1.6448778978883638e-06,3.117557412224415e-07,1.03553325914163e-08,3.30581784169226e-08,3.707279105924499e-08,7.6140391769286e-09,1.8587369865485925e-08,3.026752608548122e-07,1.6267117075585705e-07,0.000503676594235,4.621145308192354e-06,4.658453178763011e-07,2.332929085469005e-07,6.406372108358482e-07,5.758362817687157e-07,1.889412715172512e-07,3.184549157708716e-08,5.487357057631925e-08,2.501469964499848e-08,2.849451163910999e-07,2.6912994144367985e-07,8.693512791069224e-05,8.636650363769149e-07,6.987395551050214e-08,5.417906479010527e-08,4.03575874940998e-08,9.150052449058421e-08
