uid,stance,set,distilbert-base-uncased_because,distilbert-base-uncased_since,distilbert-base-uncased_but,distilbert-base-uncased_while,distilbert-base-uncased_although,distilbert-base-uncased_though,distilbert-base-uncased_for,distilbert-base-uncased_with,distilbert-base-uncased_so,distilbert-base-uncased_yet,distilbert-base-uncased_still,bert-base-uncased_because,bert-base-uncased_since,bert-base-uncased_but,bert-base-uncased_while,bert-base-uncased_although,bert-base-uncased_for,bert-base-uncased_though,bert-base-uncased_with,bert-base-uncased_so,bert-base-uncased_yet,bert-base-uncased_still,bert-large-uncased_because,bert-large-uncased_since,bert-large-uncased_for,bert-large-uncased_but,bert-large-uncased_while,bert-large-uncased_although,bert-large-uncased_with,bert-large-uncased_though,bert-large-uncased_so,bert-large-uncased_yet,bert-large-uncased_still,roberta-base_because,roberta-base_since,roberta-base_but,roberta-base_for,roberta-base_although,roberta-base_though,roberta-base_while,roberta-base_with,roberta-base_so,roberta-base_yet,roberta-base_still,xlm-roberta-base_because,xlm-roberta-base_since,xlm-roberta-base_although,xlm-roberta-base_while,xlm-roberta-base_but,xlm-roberta-base_for,xlm-roberta-base_though,xlm-roberta-base_with,xlm-roberta-base_so,xlm-roberta-base_still,xlm-roberta-base_yet,roberta-large_because,roberta-large_since,roberta-large_while,roberta-large_for,roberta-large_but,roberta-large_although,roberta-large_though,roberta-large_with,roberta-large_so,roberta-large_yet,roberta-large_still,xlm-roberta-large_because,xlm-roberta-large_since,xlm-roberta-large_although,xlm-roberta-large_while,xlm-roberta-large_for,xlm-roberta-large_but,xlm-roberta-large_though,xlm-roberta-large_with,xlm-roberta-large_so,xlm-roberta-large_yet,xlm-roberta-large_still
0,1,test,0.3070015907287597,0.0239955019205808,0.0083947088569402,0.0053524789400398,0.0022352738305926,0.0007868306129239,0.0005528818583115,7.074896711856127e-05,0.0005620075389742,2.3202330339699984e-05,4.557822990136629e-07,0.0233925003558397,0.0021662078797817,0.0010981194209307,0.0003540652687661,0.0001048745616571,9.930932719726115e-05,3.3314525353489444e-05,1.384706592943985e-05,1.71057581610512e-05,9.873958788375603e-07,2.075194487360932e-07,0.0158678833395242,0.001507680863142,5.022545519750565e-05,4.676685784943402e-05,3.4799017157638445e-05,1.0733914677985013e-05,9.857257282419596e-06,1.3183206419853375e-06,0.0003333608037792,4.44973284174921e-06,2.407221586508968e-07,0.0001209224428748,9.173410035145936e-06,4.3845059849445533e-07,2.773151095425419e-07,1.522994068636763e-07,3.2603225008642767e-08,2.23277254463028e-08,1.24410237667405e-09,8.866466669132933e-05,7.065256113492069e-07,5.853240381270554e-08,0.3867540955543518,0.0871373862028122,0.0007195168291218,7.310002274607541e-06,4.877784249401884e-06,1.1117582516817492e-06,7.474962444575795e-07,2.566168291195936e-07,0.0002608200884424,3.931411072244373e-07,3.6180435358801333e-07,0.0001466763351345,4.3544719119381625e-06,8.445357480013629e-08,5.177117401444775e-08,3.322803721061973e-08,2.619515093726932e-08,1.4463411801557411e-08,6.751866288290387e-10,1.949692887137644e-05,2.19603862205986e-07,3.2599636767827185e-08,0.6776633858680725,0.1265814304351806,0.0001268538617296,7.18080286787881e-07,3.230190657177445e-07,2.1148179030205938e-07,7.970159998649251e-08,6.647287875694019e-08,0.0001095452171284,6.600820370294969e-07,2.1700205365959849e-07
1,0,test,0.3422404825687408,0.0309898015111684,0.0038146637380123,0.0072252410463988,0.0021001580171287,0.0011397907510399,0.0002109637716785,5.195831818127772e-06,0.0005246932269074,0.0001268070773221,1.5141927178774497e-07,0.1368124485015869,0.0074341404251754,0.0006037630955688,0.0003442201123107,0.0002424908161628,0.0001817828742787,8.18218759377487e-05,8.519589755451307e-06,0.0001832911802921,3.317137452540919e-05,7.632864651441197e-08,0.562662661075592,0.1044211611151695,0.0003802803985308,0.0005017009098082,0.0012816783273592,0.0006014666869305,1.4916071449988522e-05,0.0001242601283593,0.002962979953736,6.06965841143392e-05,8.817254411042086e-07,6.487757491413504e-05,9.055673217517324e-06,2.602025404030428e-07,4.25175024076907e-08,5.0616328906016874e-08,1.2476767174973702e-08,1.298348450973208e-07,7.378699318216775e-10,0.0001017328031593,1.3639219105243685e-05,4.174221999164729e-07,0.3633873462677002,0.1268166899681091,0.0020853076130151,8.321774657815695e-06,1.8854118025046773e-05,6.452534080381156e-07,1.878268221844337e-06,1.9512494020546e-07,2.203778967668768e-05,4.623018412530655e-07,7.414383844661643e-07,0.0001159535095212,9.46796171774622e-06,6.208882155078754e-07,3.1066591077433265e-08,2.4397684228461003e-06,1.5058180906635243e-06,1.1204257361896452e-06,1.1007877942503792e-09,4.373228512122296e-05,1.694366437732242e-05,1.1018888699254603e-06,0.7416455149650574,0.1268941313028335,0.0010386143112555,3.098596607742365e-06,2.069478597377384e-07,1.203865508614399e-06,7.803250809956808e-07,1.0146921169962297e-07,3.822876169579104e-05,3.422123882046435e-07,7.195418447736301e-07
2,0,test,0.1564400345087051,0.0148995015770196,0.0124743124470114,0.0158100873231887,0.0143820894882082,0.0046901428140699,0.0006971630500629,1.118330328608863e-05,0.0001279936695937,3.6100966099184006e-05,1.275101766395892e-07,0.1011664047837257,0.0153587665408849,0.0368304885923862,0.0108063034713268,0.0232976507395505,0.0002777994668576,0.0073502943851053,3.832977745332755e-05,2.00255926756654e-05,3.9312458284257445e-06,2.1156746754513733e-07,0.1234199926257133,0.0147364800795912,0.0003098583547398,0.0039774891920387,0.00197010836564,0.004397640004754,5.416152635007165e-05,0.0012086794013157,0.0003180548665113,1.39705171022797e-05,4.047657000683104e-07,8.278231689473614e-05,1.1313861250528134e-05,8.490224900015164e-06,2.3798415327291885e-07,2.031868280027993e-05,6.417950316972565e-06,1.2402778111209043e-06,5.5148423605544394e-09,1.5852305295993574e-05,2.2310935037239688e-06,3.381081569386879e-06,0.3457006812095642,0.0595267452299594,0.0212063007056713,2.1677795302821323e-05,2.027758455369621e-05,2.2324911697069183e-06,2.64150930888718e-05,5.35579147253884e-07,7.167839157773415e-06,7.863474138503079e-07,2.511390846393624e-07,8.275055733975023e-05,3.7527647691604216e-06,3.748774543055333e-05,2.0481945739447846e-07,0.0006711427704431,0.0001945203111972,0.000115202004963,2.1502827962649466e-08,6.881636181788053e-06,9.466957271797584e-05,7.16614886187017e-06,0.3709448575973511,0.0879862084984779,0.0767066478729248,2.778285306703765e-05,3.422564418542607e-07,1.6646128642605618e-05,3.3177726436406374e-05,2.861470989046211e-07,1.3475750165525824e-05,3.991851372120436e-06,2.106360170728294e-06
3,1,test,0.4491264224052429,0.0136235514655709,0.0012644630623981,0.0030491119250655,0.0007117419154383,0.0002442406257614,0.0015788335585966,7.109536090865731e-05,7.225006265798584e-05,6.144494363979902e-06,3.2269188210420914e-08,0.0207122508436441,0.0018170658731833,0.0001450793497497,0.0001862591016106,2.9324181014089845e-05,0.000156086665811,1.2531424545159098e-05,6.793583452235907e-06,2.776493829514948e-06,2.4067458070931025e-07,2.390252440420681e-08,0.0803243964910507,0.0052349516190588,6.954616401344538e-05,1.92571351362858e-05,3.617792754084803e-05,7.988001925696153e-06,6.715873951179674e-06,1.8544741351433915e-06,4.1050366235140245e-06,1.578069799279547e-07,4.798823116658468e-09,8.08293407317251e-05,1.3503804439096712e-05,5.075026976442133e-08,2.458508845393226e-07,2.437003843169805e-08,6.497954174733422e-09,1.7980619659851982e-08,1.2117585823645527e-09,3.593614746932872e-05,2.0670172773407105e-07,4.892567062597664e-07,0.306784987449646,0.0628644153475761,0.0001149825548054,1.4811083701715688e-06,4.005952973784588e-07,6.660972076133476e-07,7.354957176630705e-08,2.8376012650710443e-08,3.8092377508291975e-05,9.77964305093337e-07,3.8068080243647273e-07,0.0001413401041645,4.82419500258402e-06,1.770083031260583e-07,2.6946191056254065e-08,4.5351409738714223e-08,3.7379265904746723e-08,2.1807210259794374e-08,8.914458615727481e-10,2.6528301532380283e-05,4.3926340254074603e-07,3.018733707449428e-07,0.6118184328079224,0.1331789046525955,8.305863593704998e-05,1.1456822903710415e-06,1.3125888642662178e-07,1.0208852074811149e-07,4.9366974508302526e-08,7.999611995046507e-08,3.117577944067307e-05,1.748554154801241e-07,2.300317021308729e-07
4,1,test,0.086026594042778,0.0117310602217912,0.0052837170660495,0.0399772115051746,0.0010718753328546,0.0008613844984211,0.0007174087222665,5.680901449522935e-05,0.000520559202414,3.576659219106659e-05,3.212649630768283e-07,0.5328395962715149,0.041034959256649,0.0048664156347513,0.005922588519752,0.0003559848119039,0.0009257901692762,0.000112894900667,6.619826308451593e-05,0.0001271950750378,7.818766789569054e-06,8.0328868534707e-07,0.3365735113620758,0.031856432557106,0.0004441126366145,0.0002662947226781,0.0003914526896551,6.079888407839462e-05,5.1722017815336585e-05,2.0259674784028903e-05,0.0003614104643929,6.050316187611315e-06,3.767401892673661e-07,3.9435908547602594e-05,8.443613296549302e-06,1.0101143743668217e-07,2.869770412416983e-07,1.3497443163146272e-08,4.855480018051139e-09,6.715029599035915e-08,5.7896527572154355e-09,1.4366060895554256e-05,2.5266454031225294e-06,1.072468620577638e-07,0.4705975353717804,0.0523978844285011,0.0002818113134708,2.895027137128636e-06,3.591941094782669e-06,1.5974934512996697e-06,4.014318903955427e-07,2.996270325184014e-07,0.0001886363170342,1.997912477236241e-06,8.911253530641261e-07,8.334450831171125e-05,1.975727718672715e-05,5.117902901474736e-07,3.037744704670331e-07,8.48702725875228e-08,4.7319115736854656e-08,5.209791353877336e-08,3.283905369855233e-09,6.533248324558372e-06,1.1659299303801165e-07,2.5499383937699352e-08,0.6891686320304871,0.130074143409729,5.779002822237089e-05,4.265865527486312e-07,8.520038363712956e-08,3.945082838185954e-08,4.597039904297162e-08,4.334942005357335e-08,0.0001211340859299,2.7923027801080025e-07,2.895847899253568e-07
5,0,test,0.0788493230938911,0.0499488040804863,0.1112099960446357,0.005871714092791,0.0983800292015075,0.0289863031357526,0.0008439184166491,0.0005730250268243,0.0001803843333618,9.16407589102164e-05,4.8944539088324746e-08,0.0361271165311336,0.0090609397739171,0.0104221180081367,0.0007356571732088,0.0048467442393302,7.783110777381808e-05,0.0011487334268167,3.227294291718863e-05,6.664673128398135e-05,2.5137740522040986e-05,6.985059286535035e-08,0.1982146352529525,0.1408966481685638,0.0002220264577772,0.0087251868098974,0.0026056685019284,0.0069915684871375,9.684952965471894e-05,0.0017698860028758,0.0002795029140543,2.471828520356212e-05,1.1556707022464252e-06,8.764001540839672e-05,1.408810931025073e-05,3.474160985206254e-05,6.491091397720083e-08,8.04103819973534e-06,2.2441961391450604e-06,1.2410590670697277e-06,1.4242589330137893e-08,2.4266488253488205e-05,2.023044362431392e-05,5.612679956357169e-07,0.2024242728948593,0.0910068750381469,0.0156907141208648,9.202045475831255e-06,1.556175629957579e-05,4.023633266569959e-07,1.2930416232848074e-05,1.8733702233930677e-07,3.402516813366674e-05,2.126981684114071e-07,4.867409870712436e-07,5.892278204555623e-05,1.848578904173337e-05,3.8313692130032e-06,3.6166316164099044e-08,4.282805093680509e-05,6.352070340653881e-05,4.164327401667833e-05,2.086043160431928e-08,2.254903620269033e-06,6.795836270612199e-06,4.88705552470492e-07,0.6510593295097351,0.1494598686695099,0.0051234518177807,2.602851509436732e-06,8.826274466855467e-08,2.731282791046397e-07,1.116014459512371e-06,1.3530168985198548e-07,5.713486461900175e-05,3.017416702277842e-06,1.759982382054659e-07
6,1,test,0.1991836726665496,0.0060974620282649,0.0008116836543194,0.005158195272088,0.0006842757575213,0.0004098501231055,0.0004874037695117,1.7452019164920785e-05,1.66903521403583e-06,1.3332527259990457e-07,1.4865835229471711e-09,0.0048562833108007,0.0001672986691119,1.6082396541605704e-05,2.806810698530171e-05,6.2526482906832825e-06,1.1450531019363552e-05,1.7376295318172197e-06,9.332313197774056e-07,1.762719534781354e-07,5.331082419957056e-08,1.9331411138523442e-08,0.0048514627851545,0.0008085230947472,5.742797384300502e-06,6.189242867549183e-06,8.714890100236516e-06,3.2590517093922244e-06,2.284961055920576e-06,7.33254125862004e-07,6.293332148743502e-07,1.519122037052512e-07,6.6745058369122034e-09,0.0002388097927905,1.2702901585726067e-05,6.497617022205304e-08,6.10793222222128e-07,6.657592876990749e-08,1.1938045219039852e-08,4.943918341382415e-08,2.808337118409554e-09,6.0311827837722376e-05,1.756163783284137e-07,7.054109119053464e-08,0.1974476873874664,0.0241431985050439,0.0001059067217283,1.0114898714164156e-06,1.60358797529625e-06,5.605231194749649e-07,5.004945933251292e-07,9.333501793662437e-08,4.228834768582601e-06,3.692113352826709e-07,1.5822924126496218e-07,0.0003242858219891,6.815442247898318e-06,1.904797812812831e-07,5.280944392893616e-08,8.09004205848396e-08,9.230627284750881e-08,3.706152185145584e-08,2.119367570330155e-09,1.65961027960293e-05,2.1382511761203205e-07,2.457771870467696e-07,0.728140115737915,0.1040210723876953,6.568856042576954e-05,4.009518477232632e-07,1.1101966634896598e-07,6.104739469492415e-08,5.0537337870082424e-08,3.7300875277423984e-08,1.4694962374051102e-05,1.0709873521363988e-07,2.751605450157513e-07
7,1,test,0.2755278348922729,0.0286006648093462,0.0019623092375695,0.0192660521715879,0.0009948934894055,0.0005232624826021,0.0004361123719718,1.8003211152972654e-05,4.59518632851541e-05,1.7966061932384036e-05,2.3330315457315013e-08,0.1787427216768264,0.0098098153248429,0.000783373019658,0.0014527182793244,0.0001554812915856,0.0001313646207563,6.154118455015123e-05,8.935256119002588e-06,1.149486706708558e-06,2.711636568619724e-07,8.743374024788864e-09,0.6062579154968262,0.0188035480678081,0.0001420263870386,5.285515362629667e-05,0.001069268095307,3.175056917825714e-05,1.4963762623665389e-05,8.329597221745644e-06,1.1261132385698149e-05,1.424643869540887e-06,2.928304887461764e-08,8.073529170360416e-05,7.094068905644235e-07,2.1147944551103137e-07,5.4546315908510223e-08,1.7544362407306835e-08,4.056923241790855e-09,1.610425101716828e-06,1.115076364577305e-09,6.716603820677847e-05,1.2679229257628322e-06,1.0307708180334885e-06,0.6766661405563354,0.0348685942590236,9.566338849253953e-05,1.1033650935132755e-06,9.688805135965597e-08,3.562057599992841e-07,2.7870513008565467e-08,4.823130339559612e-08,7.608624855492962e-06,1.546257749396318e-06,2.95462314170436e-06,9.616335591999814e-05,3.94108792534098e-06,7.939345891827543e-07,3.790291458471984e-08,8.504650850227335e-08,4.080015969520901e-08,2.054544800955682e-08,1.541008431971136e-09,1.1456135325715875e-05,3.411397528907401e-07,4.614449835571577e-07,0.7266248464584351,0.0802084729075431,3.197754267603159e-05,6.888164421070542e-07,3.4729517039977515e-08,2.162500578606341e-08,1.8978154159299265e-08,1.7770476645750932e-08,1.0377643775427714e-05,9.822759494682033e-08,4.800655801773246e-07
8,1,test,0.0691429674625396,0.0052323937416076,0.0020525464788079,0.0105734569951891,0.0010410711402073,0.00055827019969,0.0003302593540865,8.30299632070819e-06,3.454401667113416e-05,7.84729763836367e-06,1.5057844748866955e-08,0.0429586395621299,0.0016488725086674,0.0003423147136345,0.0003723952395375,0.000122332086903,0.00010286943143,3.279830707469955e-05,6.296476385614369e-06,3.818697678070748e-06,5.625857966151671e-07,2.0579907555884347e-08,0.362101137638092,0.0171626564115285,0.0001091676167561,0.00011178854038,0.0001878893381217,0.0001149791714851,8.977361176221166e-06,1.8806456864695065e-05,0.0001546851271996,1.0417359590064734e-05,1.5198247638181789e-07,5.721058187191375e-05,9.786111149878708e-06,1.1606596217461629e-07,1.7610513225463365e-07,6.379097072795048e-08,1.1428149981895784e-08,2.5290752603268632e-08,1.2508845070868801e-09,0.0001072097002179,3.761412017411203e-07,1.0151430274163432e-07,0.3697469234466553,0.0496852546930313,0.000645421911031,3.284652166257729e-06,3.0775338473176816e-06,1.673705014582083e-06,7.433852147187281e-07,7.886860231565151e-08,7.1255913098866586e-06,2.7000118052455946e-07,3.440862599290995e-07,0.0001771382812876,5.30285069544334e-06,1.8984280814038362e-07,1.88486808383459e-08,6.116356843222094e-08,1.0359837432361021e-07,4.436680356434408e-08,8.202585277672371e-10,2.005818714678753e-06,5.660453794575916e-08,3.449096297458709e-08,0.7099989056587219,0.1050852015614509,7.949865539558232e-05,6.690187888125365e-07,1.7431838728043658e-07,1.3729827230690717e-07,7.687236092124294e-08,5.2450996435027264e-08,2.143362507922575e-05,5.069244366495695e-07,2.951545070573048e-07
9,1,test,0.3439374268054962,0.0198378656059503,0.0038661179132759,0.0059488997794687,0.0015737540088593,0.0005536743556149,0.0009505167254246,0.0001520705554867,4.8518599214730784e-05,3.4093482099706307e-06,1.1820624479241816e-08,0.0588017217814922,0.0073865624144673,0.0008326263632625,0.0005411344463936,0.0001149856907431,0.0001747049827827,3.8873178709764034e-05,1.6142483218573034e-05,3.572806463125744e-06,2.6661101060199144e-07,3.624673539093237e-08,0.0355191342532634,0.0046747187152504,5.7851433666655794e-05,1.4929489225323778e-05,3.1011153623694554e-05,8.325964699906763e-06,6.910917363711633e-06,1.6448778978883638e-06,4.21215190726798e-06,3.117557412224415e-07,1.03553325914163e-08,8.267351222457364e-05,9.937425602402072e-06,3.30581784169226e-08,2.173885036427237e-07,3.707279105924499e-08,7.6140391769286e-09,1.8587369865485925e-08,1.458963727607454e-09,2.6237939891871065e-05,3.026752608548122e-07,1.6267117075585705e-07,0.2799977362155914,0.1063724905252456,0.000503676594235,4.621145308192354e-06,4.658453178763011e-07,5.006148171560199e-07,2.332929085469005e-07,6.39524344592246e-08,1.4548443687090185e-05,6.406372108358482e-07,5.758362817687157e-07,0.0001449743140256,7.382870535366237e-06,1.889412715172512e-07,4.198564695911956e-08,3.184549157708716e-08,5.487357057631925e-08,2.501469964499848e-08,1.4171940287965867e-09,2.958818004117348e-05,2.849451163910999e-07,2.6912994144367985e-07,0.6445074081420898,0.1454520523548126,8.693512791069224e-05,8.636650363769149e-07,1.3026713929775724e-07,6.987395551050214e-08,5.417906479010527e-08,7.752655761805728e-08,1.066364893631544e-05,4.03575874940998e-08,9.150052449058421e-08
