uid,stance,set,distilbert-base-uncased_because,distilbert-base-uncased_since,distilbert-base-uncased_for,distilbert-base-uncased_with,distilbert-base-uncased_so,bert-base-uncased_because,bert-base-uncased_since,bert-base-uncased_for,bert-base-uncased_with,bert-base-uncased_so,bert-large-uncased_because,bert-large-uncased_since,bert-large-uncased_for,bert-large-uncased_with,bert-large-uncased_so,roberta-base_because,roberta-base_since,roberta-base_for,roberta-base_with,roberta-base_so,xlm-roberta-base_because,xlm-roberta-base_since,xlm-roberta-base_for,xlm-roberta-base_with,xlm-roberta-base_so,roberta-large_because,roberta-large_since,roberta-large_for,roberta-large_with,roberta-large_so,xlm-roberta-large_because,xlm-roberta-large_since,xlm-roberta-large_for,xlm-roberta-large_with,xlm-roberta-large_so
0,1,test,0.3070015907287597,0.0239955019205808,0.0005528818583115,7.074896711856127e-05,0.0005620075389742,0.0233925003558397,0.0021662078797817,9.930932719726115e-05,1.384706592943985e-05,1.71057581610512e-05,0.0158678833395242,0.001507680863142,5.022545519750565e-05,9.857257282419596e-06,0.0003333608037792,0.0001209224428748,9.173410035145936e-06,2.773151095425419e-07,1.24410237667405e-09,8.866466669132933e-05,0.3867540955543518,0.0871373862028122,1.1117582516817492e-06,2.566168291195936e-07,0.0002608200884424,0.0001466763351345,4.3544719119381625e-06,5.177117401444775e-08,6.751866288290387e-10,1.949692887137644e-05,0.6776633858680725,0.1265814304351806,3.230190657177445e-07,6.647287875694019e-08,0.0001095452171284
1,0,test,0.3422404825687408,0.0309898015111684,0.0002109637716785,5.195831818127772e-06,0.0005246932269074,0.1368124485015869,0.0074341404251754,0.0001817828742787,8.519589755451307e-06,0.0001832911802921,0.562662661075592,0.1044211611151695,0.0003802803985308,1.4916071449988522e-05,0.002962979953736,6.487757491413504e-05,9.055673217517324e-06,4.25175024076907e-08,7.378699318216775e-10,0.0001017328031593,0.3633873462677002,0.1268166899681091,6.452534080381156e-07,1.9512494020546e-07,2.203778967668768e-05,0.0001159535095212,9.46796171774622e-06,3.1066591077433265e-08,1.1007877942503792e-09,4.373228512122296e-05,0.7416455149650574,0.1268941313028335,2.069478597377384e-07,1.0146921169962297e-07,3.822876169579104e-05
2,0,test,0.1564400345087051,0.0148995015770196,0.0006971630500629,1.118330328608863e-05,0.0001279936695937,0.1011664047837257,0.0153587665408849,0.0002777994668576,3.832977745332755e-05,2.00255926756654e-05,0.1234199926257133,0.0147364800795912,0.0003098583547398,5.416152635007165e-05,0.0003180548665113,8.278231689473614e-05,1.1313861250528134e-05,2.3798415327291885e-07,5.5148423605544394e-09,1.5852305295993574e-05,0.3457006812095642,0.0595267452299594,2.2324911697069183e-06,5.35579147253884e-07,7.167839157773415e-06,8.275055733975023e-05,3.7527647691604216e-06,2.0481945739447846e-07,2.1502827962649466e-08,6.881636181788053e-06,0.3709448575973511,0.0879862084984779,3.422564418542607e-07,2.861470989046211e-07,1.3475750165525824e-05
3,1,test,0.4491264224052429,0.0136235514655709,0.0015788335585966,7.109536090865731e-05,7.225006265798584e-05,0.0207122508436441,0.0018170658731833,0.000156086665811,6.793583452235907e-06,2.776493829514948e-06,0.0803243964910507,0.0052349516190588,6.954616401344538e-05,6.715873951179674e-06,4.1050366235140245e-06,8.08293407317251e-05,1.3503804439096712e-05,2.458508845393226e-07,1.2117585823645527e-09,3.593614746932872e-05,0.306784987449646,0.0628644153475761,6.660972076133476e-07,2.8376012650710443e-08,3.8092377508291975e-05,0.0001413401041645,4.82419500258402e-06,2.6946191056254065e-08,8.914458615727481e-10,2.6528301532380283e-05,0.6118184328079224,0.1331789046525955,1.3125888642662178e-07,7.999611995046507e-08,3.117577944067307e-05
4,1,test,0.086026594042778,0.0117310602217912,0.0007174087222665,5.680901449522935e-05,0.000520559202414,0.5328395962715149,0.041034959256649,0.0009257901692762,6.619826308451593e-05,0.0001271950750378,0.3365735113620758,0.031856432557106,0.0004441126366145,5.1722017815336585e-05,0.0003614104643929,3.9435908547602594e-05,8.443613296549302e-06,2.869770412416983e-07,5.7896527572154355e-09,1.4366060895554256e-05,0.4705975353717804,0.0523978844285011,1.5974934512996697e-06,2.996270325184014e-07,0.0001886363170342,8.334450831171125e-05,1.975727718672715e-05,3.037744704670331e-07,3.283905369855233e-09,6.533248324558372e-06,0.6891686320304871,0.130074143409729,8.520038363712956e-08,4.334942005357335e-08,0.0001211340859299
5,0,test,0.0788493230938911,0.0499488040804863,0.0008439184166491,0.0005730250268243,0.0001803843333618,0.0361271165311336,0.0090609397739171,7.783110777381808e-05,3.227294291718863e-05,6.664673128398135e-05,0.1982146352529525,0.1408966481685638,0.0002220264577772,9.684952965471894e-05,0.0002795029140543,8.764001540839672e-05,1.408810931025073e-05,6.491091397720083e-08,1.4242589330137893e-08,2.4266488253488205e-05,0.2024242728948593,0.0910068750381469,4.023633266569959e-07,1.8733702233930677e-07,3.402516813366674e-05,5.892278204555623e-05,1.848578904173337e-05,3.6166316164099044e-08,2.086043160431928e-08,2.254903620269033e-06,0.6510593295097351,0.1494598686695099,8.826274466855467e-08,1.3530168985198548e-07,5.713486461900175e-05
6,1,test,0.1991836726665496,0.0060974620282649,0.0004874037695117,1.7452019164920785e-05,1.66903521403583e-06,0.0048562833108007,0.0001672986691119,1.1450531019363552e-05,9.332313197774056e-07,1.762719534781354e-07,0.0048514627851545,0.0008085230947472,5.742797384300502e-06,2.284961055920576e-06,6.293332148743502e-07,0.0002388097927905,1.2702901585726067e-05,6.10793222222128e-07,2.808337118409554e-09,6.0311827837722376e-05,0.1974476873874664,0.0241431985050439,5.605231194749649e-07,9.333501793662437e-08,4.228834768582601e-06,0.0003242858219891,6.815442247898318e-06,5.280944392893616e-08,2.119367570330155e-09,1.65961027960293e-05,0.728140115737915,0.1040210723876953,1.1101966634896598e-07,3.7300875277423984e-08,1.4694962374051102e-05
7,1,test,0.2755278348922729,0.0286006648093462,0.0004361123719718,1.8003211152972654e-05,4.59518632851541e-05,0.1787427216768264,0.0098098153248429,0.0001313646207563,8.935256119002588e-06,1.149486706708558e-06,0.6062579154968262,0.0188035480678081,0.0001420263870386,1.4963762623665389e-05,1.1261132385698149e-05,8.073529170360416e-05,7.094068905644235e-07,5.4546315908510223e-08,1.115076364577305e-09,6.716603820677847e-05,0.6766661405563354,0.0348685942590236,3.562057599992841e-07,4.823130339559612e-08,7.608624855492962e-06,9.616335591999814e-05,3.94108792534098e-06,3.790291458471984e-08,1.541008431971136e-09,1.1456135325715875e-05,0.7266248464584351,0.0802084729075431,3.4729517039977515e-08,1.7770476645750932e-08,1.0377643775427714e-05
8,1,test,0.0691429674625396,0.0052323937416076,0.0003302593540865,8.30299632070819e-06,3.454401667113416e-05,0.0429586395621299,0.0016488725086674,0.00010286943143,6.296476385614369e-06,3.818697678070748e-06,0.362101137638092,0.0171626564115285,0.0001091676167561,8.977361176221166e-06,0.0001546851271996,5.721058187191375e-05,9.786111149878708e-06,1.7610513225463365e-07,1.2508845070868801e-09,0.0001072097002179,0.3697469234466553,0.0496852546930313,1.673705014582083e-06,7.886860231565151e-08,7.1255913098866586e-06,0.0001771382812876,5.30285069544334e-06,1.88486808383459e-08,8.202585277672371e-10,2.005818714678753e-06,0.7099989056587219,0.1050852015614509,1.7431838728043658e-07,5.2450996435027264e-08,2.143362507922575e-05
9,1,test,0.3439374268054962,0.0198378656059503,0.0009505167254246,0.0001520705554867,4.8518599214730784e-05,0.0588017217814922,0.0073865624144673,0.0001747049827827,1.6142483218573034e-05,3.572806463125744e-06,0.0355191342532634,0.0046747187152504,5.7851433666655794e-05,6.910917363711633e-06,4.21215190726798e-06,8.267351222457364e-05,9.937425602402072e-06,2.173885036427237e-07,1.458963727607454e-09,2.6237939891871065e-05,0.2799977362155914,0.1063724905252456,5.006148171560199e-07,6.39524344592246e-08,1.4548443687090185e-05,0.0001449743140256,7.382870535366237e-06,4.198564695911956e-08,1.4171940287965867e-09,2.958818004117348e-05,0.6445074081420898,0.1454520523548126,1.3026713929775724e-07,7.752655761805728e-08,1.066364893631544e-05
