uid,stance,set,distilbert-base-uncased_but,bert-base-uncased_but,bert-large-uncased_but,roberta-base_but,xlm-roberta-base_but,roberta-large_but,xlm-roberta-large_but
3,1,train,0.007148437667638,0.0059526558034121,0.0030616105068475,4.379271558718756e-06,7.743219612166286e-07,2.7423316169006284e-06,2.196160266976221e-06
8,0,val,0.0104829194024205,0.011873154900968,0.0340404510498046,0.0001094600957003,3.265529448981397e-05,0.0005682521150447,7.449583790730685e-05
9,0,val,0.0214816611260175,0.0065343836322426,0.0037023762706667,0.0003914978005923,2.578547719167545e-05,0.000144381148857,5.7431756431469694e-05
10,0,train,0.1391300857067108,0.0019530217396095,0.0031016170978546,0.0030074114911258,0.0004163289268035,0.0022613003384321,0.0003813603834714
14,1,train,0.046167217195034,0.0038587171584367,0.0049942512996494,0.0007002943311817,3.400984496693127e-05,0.0001208411849802,0.0003802200080826
15,1,train,0.0133275277912616,0.0040418249554932,0.0036735679022967,2.1970620309730293e-06,1.3540171494241804e-05,2.717739846502809e-07,2.975418738060398e-07
16,0,train,0.0352205522358417,0.0139246126636862,0.0126009369269013,2.92736285700812e-06,3.690986204674118e-06,2.893980490625836e-05,7.201542757684365e-06
17,0,train,0.0194882825016975,0.0298960693180561,0.0230037309229373,1.2398509170452598e-05,4.3463081965455785e-05,0.000223251292482,8.934808647609316e-06
23,0,train,0.2384299337863922,0.0988998562097549,0.2985493242740631,0.0061215325258672,9.64931314229034e-05,0.0090261427685618,0.0003839168057311
26,0,test,0.0036994770634919,0.0039199111051857,0.0016545988619327,0.0003396171377971,1.4249802006816026e-05,0.0003213963937014,2.625902561703697e-05
28,0,train,0.0020717654842883,0.0029379327315837,0.0013280407292768,4.574313788907602e-05,1.694669117568992e-05,0.0003454764082562,1.0987940186168998e-05
35,1,train,0.0355322211980819,0.0621418170630931,0.041340198367834,0.0001303342432947,1.7330203263554722e-05,4.254391683389258e-07,4.152346718910849e-06
39,1,train,0.0037196357734501,0.0002497009991202,0.0004593144985847,7.75436365074711e-06,1.249015213033999e-06,1.200132737722015e-05,8.3279846876394e-06
41,1,test,0.0484879612922668,0.0141813494265079,0.0048083630390465,2.0668774595833384e-05,2.5564240786479786e-06,8.985758904600516e-05,9.13485655473778e-06
42,0,train,0.0058078067377209,3.933790503651835e-05,0.0001388017699355,3.208915131835965e-06,1.958688471859205e-06,4.423211976245511e-06,8.93066589924274e-06
47,1,test,0.012679798528552,0.0003761785919778,0.0013163153780624,8.677948790136725e-05,6.624356046813773e-06,0.0001085404946934,1.3928599400969688e-05
48,1,train,0.0474304258823394,0.0018073050305247,0.0066594867967069,2.228903031209484e-05,9.424054042028727e-06,1.408680645909044e-06,1.0756011761259288e-05
51,1,train,0.0003784407454077,0.0054468470625579,0.0015745154814794,1.044397095029126e-06,4.636020548787201e-06,3.965853466070257e-05,1.3578604921349324e-05
54,1,train,0.000783952884376,2.1064572138129734e-05,7.246681889228057e-06,2.902682467720297e-07,1.0113478765561013e-07,3.313735703613929e-07,4.75325947491001e-08
55,1,train,0.0301378760486841,0.00075169862248,0.0015293481992557,2.1538597138714977e-05,2.0237182525306707e-06,6.260458758333698e-05,2.847266659955494e-05
57,0,train,0.041196696460247,0.0083022285252809,0.0027853031642735,0.0003332476189825,9.60329907684354e-06,4.184230056125671e-05,4.23941201006528e-05
58,0,train,0.3250041604042053,0.0125620998442173,0.0373474471271038,0.0024627435486763,0.0001944432588061,0.0010054557351395,0.0002013886842178
59,0,test,0.0106071978807449,0.011249721981585,0.0060452311299741,0.0001426485105184,3.499532613204792e-05,0.0002396430936641,3.767285306821577e-05
60,1,train,0.0028003705665469,0.0031523399520665,0.0001496843324275,2.553724925746792e-06,3.2591133276582696e-06,2.679165390873095e-06,6.518612281070091e-07
61,0,train,0.0376778058707714,0.0012214003363624,0.0001351587998215,0.0001778456353349,1.7611568182474002e-05,0.000165391160408,0.0004378331650514
62,0,test,0.0534305498003959,0.3116726875305176,0.2574070990085602,0.0001461378560634,2.817155836964957e-05,7.202380220405757e-05,2.6106235964107327e-05
67,1,test,0.0013746572658419,0.0486235469579696,0.0095150703564286,8.498500392306596e-06,1.7721617041388527e-05,9.071604267774092e-07,1.6926005628192795e-06
