uid,stance,set,distilbert-base-uncased_but,bert-base-uncased_but,bert-large-uncased_but,roberta-base_but,xlm-roberta-base_but,roberta-large_but,xlm-roberta-large_but
0,1,test,0.0083947088569402,0.0010981194209307,4.676685784943402e-05,4.3845059849445533e-07,4.877784249401884e-06,3.322803721061973e-08,2.1148179030205938e-07
1,0,test,0.0038146637380123,0.0006037630955688,0.0005017009098082,2.602025404030428e-07,1.8854118025046773e-05,2.4397684228461003e-06,1.203865508614399e-06
2,0,test,0.0124743124470114,0.0368304885923862,0.0039774891920387,8.490224900015164e-06,2.027758455369621e-05,0.0006711427704431,1.6646128642605618e-05
3,1,test,0.0012644630623981,0.0001450793497497,1.92571351362858e-05,5.075026976442133e-08,4.005952973784588e-07,4.5351409738714223e-08,1.0208852074811149e-07
4,1,test,0.0052837170660495,0.0048664156347513,0.0002662947226781,1.0101143743668217e-07,3.591941094782669e-06,8.48702725875228e-08,3.945082838185954e-08
5,0,test,0.1112099960446357,0.0104221180081367,0.0087251868098974,3.474160985206254e-05,1.556175629957579e-05,4.282805093680509e-05,2.731282791046397e-07
6,1,test,0.0008116836543194,1.6082396541605704e-05,6.189242867549183e-06,6.497617022205304e-08,1.60358797529625e-06,8.09004205848396e-08,6.104739469492415e-08
7,1,test,0.0019623092375695,0.000783373019658,5.285515362629667e-05,2.1147944551103137e-07,9.688805135965597e-08,8.504650850227335e-08,2.162500578606341e-08
8,1,test,0.0020525464788079,0.0003423147136345,0.00011178854038,1.1606596217461629e-07,3.0775338473176816e-06,6.116356843222094e-08,1.3729827230690717e-07
9,1,test,0.0038661179132759,0.0008326263632625,1.4929489225323778e-05,3.30581784169226e-08,4.658453178763011e-07,3.184549157708716e-08,6.987395551050214e-08
10,0,test,0.0176818259060382,0.0028901724144816,0.003246430074796,1.0298759889337816e-06,5.678406523657031e-06,3.9365932025248185e-05,3.3898340916493908e-06
