uid,stance,set,distilbert-base-uncased_but,bert-base-uncased_but,bert-large-uncased_but,roberta-base_but,xlm-roberta-base_but,roberta-large_but,xlm-roberta-large_but
3695,1,dev,0.0049288473092019,0.0130237471312284,0.0014139723498374,2.8033446142217144e-07,1.8314523231310888e-06,2.12742634175811e-07,6.483856651584574e-08
24076,1,dev,0.0337725430727005,0.005996520165354,0.0005961211281828,8.809336577542126e-06,7.439986802637577e-06,9.12876600978052e-08,1.1798573495980236e-06
24077,1,dev,0.0088243791833519,0.0039642928168177,0.0008152928203344,1.650207792636138e-07,1.3010155726078665e-06,2.0723464899674584e-07,6.673781882682307e-08
3698,0,dev,0.012216655537486,0.0032513136975467,0.000184102973435,1.0094705658048042e-06,6.815141659899382e-06,0.0001954928156919,3.4319186852371786e-06
24082,0,dev,0.0039057980757206,0.0061221742071211,0.0002446876605972,6.970315553189721e-06,3.706084953591926e-06,5.222596155363135e-05,6.2865096879249904e-06
24083,0,dev,0.0020014266483485,0.0013339223805814,0.0005559759447351,1.5932389487716137e-06,3.138588340334536e-07,3.778447353397496e-05,6.377732916007517e-06
3697,1,dev,0.0092570874840021,0.0034656964708119,0.0007247205357998,8.100795980681141e-07,1.233554485224886e-05,5.921922820562031e-06,1.7299560113315238e-06
24080,1,dev,0.0019158641807734,0.0023946436122059,0.0019449410028755,3.221220197247021e-07,2.3211731559058535e-07,1.536147067326965e-07,4.606628465353424e-07
24081,1,dev,0.0070989159867167,0.0146186780184507,0.0014086334267631,1.311422721528288e-07,9.040262511916808e-07,5.254769916973601e-07,3.48507597891512e-07
3696,1,dev,0.0001545661798445,0.0005204609478823,1.261759734916268e-05,1.0199353361883824e-08,2.5136262138403254e-07,1.1574608826947497e-08,7.506946531066205e-08
24078,1,dev,0.0086972648277878,0.0011429963633418,0.0002649142697919,1.7050316500899498e-06,7.693596870694819e-09,4.8109214390024135e-08,3.837034512343962e-07
24079,1,dev,0.0091629344969987,0.0123031241819262,0.0024737387429922,2.023690512942267e-07,2.179593593609752e-06,7.583825833989978e-08,5.2847717313397886e-08
3699,0,dev,0.0092375269159674,0.0098013849928975,0.0024509076029062,3.959944024245488e-06,1.999015512410552e-05,6.741528341080993e-05,3.0839004466542974e-05
24084,0,dev,0.0037728394381701,0.0042621400207281,0.0029734368436038,5.6169283197959885e-06,8.056806109379977e-06,4.85231721540913e-05,2.519670124456752e-05
24085,0,dev,0.0462555065751075,0.0100112939253449,0.0005614642286673,2.7216541639063507e-05,1.7948486856766976e-05,0.0001572102628415,1.5026525034045337e-05
3700,0,dev,0.0033950305078178,0.0015329595189541,0.0001397465384798,1.1867288094435937e-06,4.570419775973279e-08,1.3272168871480972e-05,1.8943170516649843e-06
1242,0,train,0.0034650126472115,0.0050522214733064,0.0004130321613047,1.640648588363547e-05,7.620477390446467e-06,0.0001069925056071,3.467891701802728e-06
21983,0,train,0.0312713682651519,0.0414162315428257,0.0145348850637674,4.912018539471319e-06,6.839376874268055e-05,7.045263919280842e-05,9.244432476407384e-06
21984,0,train,0.0071655623614788,0.0290884096175432,0.0103405406698584,1.3328643944987562e-05,1.6946138202911243e-05,1.9222985429223627e-05,3.041717945961864e-06
7579,1,test,0.0245815273374319,0.0040001380257308,0.0001521356607554,6.158997507554886e-07,7.843705702725856e-07,1.4925220057193656e-05,2.360906364629045e-06
7583,0,test,0.1766038835048675,0.119774580001831,0.127267375588417,0.0002669746463652,1.50689829752082e-05,0.0001657344691921,0.000183949508937
7581,1,test,0.0236308854073286,0.0048574833199381,0.0017841603839769,3.021546262971242e-06,4.097616965736961e-06,3.708502845256589e-05,8.049699317780323e-06
7578,1,test,0.0048920498229563,9.796369704417884e-05,6.369536276906729e-05,1.260700202010412e-07,1.0885183883146965e-06,9.66659172263462e-07,3.0776789117226144e-07
7580,1,test,0.0004758018185384,0.0004120035737287,0.0002491275663487,3.542012905199954e-07,8.485545066605482e-08,1.0075887502125624e-07,2.6474927494746225e-07
7584,1,train,0.0115717044100165,0.0593792423605918,0.0189890246838331,4.547698395640509e-08,5.369665245780197e-07,9.013029739435297e-06,6.68472779352669e-08
26958,1,train,0.0312032289803028,0.0050832540728151,0.0019112166482955,1.0675124713088735e-06,2.223110726617961e-07,4.94064915983472e-05,3.774256018829192e-09
26959,1,train,0.0185017194598913,0.069455936551094,0.0043803341686725,2.7045510364587244e-07,7.121499265849707e-07,1.792613693396561e-05,2.252532027569032e-07
7587,0,train,0.036386203020811,0.0628137812018394,0.0362391881644725,1.4555139387084637e-05,4.8637972213327885e-05,9.877837146632372e-05,1.814118877518922e-05
26962,0,train,0.0839579179883003,0.0460685081779956,0.017301807180047,3.473016079169611e-07,1.0792136890813708e-06,0.0001459330960642,1.2370577451292777e-06
26963,0,train,0.0478515699505806,0.0618803314864635,0.0077523663640022,3.023347380803898e-05,0.0001257704861927,0.0001480797654949,1.3495335224433802e-05
5143,1,train,0.0120898634195327,0.0015920191071927,0.0034802486188709,2.3019107175059617e-05,0.000198010719032,8.507228699272673e-07,3.922915493603796e-05
26481,1,train,0.0700832083821296,0.0138192307204008,0.0077135488390922,2.841420609911438e-05,5.420075103756972e-05,7.399721084766497e-07,4.206627181702061e-06
26482,1,train,0.0023225683253258,0.0017281285254284,0.00294492370449,1.5308124829971348e-06,5.71702116758388e-07,3.8436130722629975e-08,1.2479762290240617e-06
6653,1,train,0.0006751008913852,1.3147314348316286e-05,0.0001223215804202,1.775760836153495e-07,8.813978524813137e-07,8.605037038478258e-08,7.414411129502696e-07
5142,1,train,0.0085322428494691,0.0002381014201091,0.0004255296080373,6.587190910067875e-06,2.187003701692447e-05,0.000111980640213,5.893250272492878e-05
7089,1,train,0.0066049601882696,0.0058313556946814,0.0008959083934314,0.0003562075144145,5.567570724451798e-07,0.0004915772587992,3.917001322406577e-06
5487,1,train,0.0040620220825076,0.000923610990867,6.732809561071917e-05,3.045430503334501e-07,1.5037410321383504e-06,6.790166935388697e-07,3.414997138406761e-07
25819,1,train,0.0046881227754056,0.0014295090222731,5.258027886156924e-05,6.831816790509038e-06,2.714335278142244e-05,7.159612141549587e-05,2.3136467461881693e-06
2213,1,train,0.0015567961381748,0.0003409173514228,0.0014105709269642,7.690265192650259e-06,2.1017376639065333e-06,7.433344580931589e-05,2.830275661835913e-05
2214,0,train,0.1928213536739349,0.1670259088277816,0.5386180281639099,0.0001250763452844,9.749297169037165e-05,0.0001212552379001,4.167297811363824e-05
23007,0,train,0.048268549144268,0.0253449697047472,0.0101006710901856,4.55408517154865e-05,0.000108857442683,0.00019254333165,5.351017171051353e-05
23008,0,train,0.0479558371007442,0.0799827873706817,0.0795240253210067,0.0001593616761965,0.0002440177631797,0.0001204826839966,0.0004496756300795
23009,0,train,0.111534371972084,0.230721890926361,0.3031885325908661,0.0002962142752949,0.000182762829354,0.0001630502665648,0.000225133364438
2216,0,train,0.015523032285273,0.0053983940742909,0.0029509351588785,0.0001272256777156,5.170163422008045e-05,0.000452591542853,9.045851766131818e-05
5215,1,dev,0.0128083769232034,0.0012349407188594,0.0013942813966423,8.156266630976461e-06,3.3154785342048854e-05,9.893390597426333e-06,7.842199920560233e-06
24183,1,test,0.0758451521396637,0.0103740291669964,0.0017166594043374,0.0004336433194112,1.7473299521952868e-05,7.221195119200274e-06,1.1253756383666769e-05
3724,1,test,0.0018221493810415,0.0011761994101107,0.0007607328006997,1.2912636520923115e-05,9.658123417466412e-06,1.6746665778555323e-06,4.938353868055856e-07
24180,1,test,0.0109314629808068,0.0171110946685075,0.0006156602175906,1.7170417777379043e-05,2.0818430130020715e-05,6.474077508755727e-06,2.9130831080692587e-06
3796,1,test,0.0018221493810415,0.0011761994101107,0.0007607328006997,1.2912636520923115e-05,9.658123417466412e-06,1.6746665778555323e-06,4.938353868055856e-07
24181,1,test,0.0026960889808833,0.0011921674013137,0.0010130748851224,3.1748008041176945e-05,7.585673301946372e-06,5.667731102221296e-07,3.883868942011759e-07
24182,1,test,0.0057082758285105,0.0062722759321331,0.0003186981484759,3.273155743954703e-05,1.6932452126638964e-05,1.5238164451147895e-05,2.52561198976764e-06
3798,1,test,0.0002875358622986,0.0005766412359662,0.0001219631667481,8.506098311045207e-06,5.288403372105677e-06,1.0062179853775888e-06,1.0175889286756501e-07
3726,1,test,0.0003325392899569,0.0005338389310054,0.0001321680319961,7.556864602520363e-06,6.590099474124145e-06,1.846906116043101e-06,9.593035343868905e-08
3801,0,test,0.0488008745014667,0.0041545527055859,0.0013837877195328,0.0011489029275253,0.0001471801660954,9.673857857706024e-05,0.0002397069038124
3799,0,test,0.0193282961845397,0.0008502924465574,0.0006431725341826,0.0008114847005344,4.16689072153531e-05,7.59110480430536e-06,5.932622116233688e-06
24187,0,test,0.1393439322710037,0.0315234959125518,0.0329692065715789,0.0003119308676104,0.0005440948880277,3.144545917166397e-05,0.0001658106339164
24186,0,test,0.0242331996560096,0.0225360747426748,0.0041479836218059,2.567985029600095e-05,2.6120545953745022e-05,3.706509005496628e-06,6.319523890851997e-06
3727,0,test,0.0193282961845397,0.0008502924465574,0.0006431725341826,0.0008114847005344,4.16689072153531e-05,7.59110480430536e-06,5.932622116233688e-06
3800,0,test,0.0372309871017932,0.0072365561500191,0.0085451817139983,0.0001852198474807,0.0021094619296491,3.323752753203735e-05,0.0016385443741455
24188,0,test,0.0106793586164712,0.0025503362994641,0.0033498869743198,3.848841515718959e-05,0.0001488596317358,1.0032249520008918e-05,0.0007513122400268
24189,0,test,0.0218892004340887,0.0122375516220927,0.0043980432674288,1.5657366020604968e-05,5.839026198373176e-05,1.0808360002556585e-06,0.0003178117331117
3797,1,test,0.0027572053950279,0.0007914482848718,0.0003385743766557,3.644213575171307e-05,1.911448089231272e-05,5.861464615009027e-06,2.341496383451158e-06
24185,1,test,0.0071492106653749,0.0033177176956087,0.000498442328535,1.1545067764018313e-06,2.335066528758034e-05,2.6923644327325743e-05,1.2434174095687922e-05
24184,1,test,0.0172975417226552,0.0019369573565199,0.000148880877532,1.8660631440070568e-06,2.8104941520723514e-06,2.856177445664798e-07,4.628439455700573e-06
