uid,stance,set,distilbert-base-uncased_because,distilbert-base-uncased_for,distilbert-base-uncased_so,bert-base-uncased_because,bert-base-uncased_for,bert-base-uncased_so,bert-large-uncased_because,bert-large-uncased_for,bert-large-uncased_so,roberta-base_because,roberta-base_for,roberta-base_so,xlm-roberta-base_because,xlm-roberta-base_for,xlm-roberta-base_so,roberta-large_because,roberta-large_for,roberta-large_so,xlm-roberta-large_because,xlm-roberta-large_for,xlm-roberta-large_so
0,1,test,0.3070015907287597,0.0005528818583115,0.0005620075389742,0.0233925003558397,9.930932719726115e-05,1.71057581610512e-05,0.0158678833395242,5.022545519750565e-05,0.0003333608037792,0.0001209224428748,2.773151095425419e-07,8.866466669132933e-05,0.3867540955543518,1.1117582516817492e-06,0.0002608200884424,0.0001466763351345,5.177117401444775e-08,1.949692887137644e-05,0.6776633858680725,3.230190657177445e-07,0.0001095452171284
1,0,test,0.3422404825687408,0.0002109637716785,0.0005246932269074,0.1368124485015869,0.0001817828742787,0.0001832911802921,0.562662661075592,0.0003802803985308,0.002962979953736,6.487757491413504e-05,4.25175024076907e-08,0.0001017328031593,0.3633873462677002,6.452534080381156e-07,2.203778967668768e-05,0.0001159535095212,3.1066591077433265e-08,4.373228512122296e-05,0.7416455149650574,2.069478597377384e-07,3.822876169579104e-05
2,0,test,0.1564400345087051,0.0006971630500629,0.0001279936695937,0.1011664047837257,0.0002777994668576,2.00255926756654e-05,0.1234199926257133,0.0003098583547398,0.0003180548665113,8.278231689473614e-05,2.3798415327291885e-07,1.5852305295993574e-05,0.3457006812095642,2.2324911697069183e-06,7.167839157773415e-06,8.275055733975023e-05,2.0481945739447846e-07,6.881636181788053e-06,0.3709448575973511,3.422564418542607e-07,1.3475750165525824e-05
3,1,test,0.4491264224052429,0.0015788335585966,7.225006265798584e-05,0.0207122508436441,0.000156086665811,2.776493829514948e-06,0.0803243964910507,6.954616401344538e-05,4.1050366235140245e-06,8.08293407317251e-05,2.458508845393226e-07,3.593614746932872e-05,0.306784987449646,6.660972076133476e-07,3.8092377508291975e-05,0.0001413401041645,2.6946191056254065e-08,2.6528301532380283e-05,0.6118184328079224,1.3125888642662178e-07,3.117577944067307e-05
4,1,test,0.086026594042778,0.0007174087222665,0.000520559202414,0.5328395962715149,0.0009257901692762,0.0001271950750378,0.3365735113620758,0.0004441126366145,0.0003614104643929,3.9435908547602594e-05,2.869770412416983e-07,1.4366060895554256e-05,0.4705975353717804,1.5974934512996697e-06,0.0001886363170342,8.334450831171125e-05,3.037744704670331e-07,6.533248324558372e-06,0.6891686320304871,8.520038363712956e-08,0.0001211340859299
5,0,test,0.0788493230938911,0.0008439184166491,0.0001803843333618,0.0361271165311336,7.783110777381808e-05,6.664673128398135e-05,0.1982146352529525,0.0002220264577772,0.0002795029140543,8.764001540839672e-05,6.491091397720083e-08,2.4266488253488205e-05,0.2024242728948593,4.023633266569959e-07,3.402516813366674e-05,5.892278204555623e-05,3.6166316164099044e-08,2.254903620269033e-06,0.6510593295097351,8.826274466855467e-08,5.713486461900175e-05
6,1,test,0.1991836726665496,0.0004874037695117,1.66903521403583e-06,0.0048562833108007,1.1450531019363552e-05,1.762719534781354e-07,0.0048514627851545,5.742797384300502e-06,6.293332148743502e-07,0.0002388097927905,6.10793222222128e-07,6.0311827837722376e-05,0.1974476873874664,5.605231194749649e-07,4.228834768582601e-06,0.0003242858219891,5.280944392893616e-08,1.65961027960293e-05,0.728140115737915,1.1101966634896598e-07,1.4694962374051102e-05
7,1,test,0.2755278348922729,0.0004361123719718,4.59518632851541e-05,0.1787427216768264,0.0001313646207563,1.149486706708558e-06,0.6062579154968262,0.0001420263870386,1.1261132385698149e-05,8.073529170360416e-05,5.4546315908510223e-08,6.716603820677847e-05,0.6766661405563354,3.562057599992841e-07,7.608624855492962e-06,9.616335591999814e-05,3.790291458471984e-08,1.1456135325715875e-05,0.7266248464584351,3.4729517039977515e-08,1.0377643775427714e-05
8,1,test,0.0691429674625396,0.0003302593540865,3.454401667113416e-05,0.0429586395621299,0.00010286943143,3.818697678070748e-06,0.362101137638092,0.0001091676167561,0.0001546851271996,5.721058187191375e-05,1.7610513225463365e-07,0.0001072097002179,0.3697469234466553,1.673705014582083e-06,7.1255913098866586e-06,0.0001771382812876,1.88486808383459e-08,2.005818714678753e-06,0.7099989056587219,1.7431838728043658e-07,2.143362507922575e-05
9,1,test,0.3439374268054962,0.0009505167254246,4.8518599214730784e-05,0.0588017217814922,0.0001747049827827,3.572806463125744e-06,0.0355191342532634,5.7851433666655794e-05,4.21215190726798e-06,8.267351222457364e-05,2.173885036427237e-07,2.6237939891871065e-05,0.2799977362155914,5.006148171560199e-07,1.4548443687090185e-05,0.0001449743140256,4.198564695911956e-08,2.958818004117348e-05,0.6445074081420898,1.3026713929775724e-07,1.066364893631544e-05
10,0,test,0.1881415694952011,0.0019777386914938,8.533058280590922e-05,0.0759463906288147,0.0002716074232012,7.165491751948139e-06,0.0477541051805019,0.0001292250526603,4.22364246333018e-05,5.2203875384293497e-05,6.84464751543601e-08,3.563467180356383e-05,0.259682685136795,2.8178743605167256e-07,4.900798012386076e-05,0.0001021616117213,6.58935022102014e-08,2.862210749299265e-06,0.6340118050575256,1.4778380830193782e-07,0.0001066750701284
11,0,test,0.3388816118240356,0.001830281689763,0.0006943916669115,0.2140693366527557,0.0007770639494992,6.543810286530061e-06,0.6264329552650452,0.0005836967611685,6.473124085459858e-05,5.623252582154237e-05,5.1204125384174404e-08,8.281390364572871e-06,0.4184915125370025,2.812763284509856e-07,2.242878053948516e-06,0.0001454511220799,6.034452582071026e-08,4.756656380777713e-06,0.7934696078300476,2.000460028739326e-07,4.735710535896942e-05
12,0,test,0.0642884746193885,0.0003272967878729,0.0005842093960382,0.0322128869593143,0.0001678533153608,0.000155114888912,0.2430161237716674,0.0002026870206464,0.0013769544893875,7.219415419967845e-05,6.20841689169538e-08,1.7226780983037315e-05,0.2707360982894897,6.598889967790456e-07,0.0001006342718028,4.782984251505695e-05,9.256109656519133e-09,1.204858335768222e-06,0.6828888058662415,9.440121573334181e-08,2.088750625262037e-05
13,0,test,0.5565107464790344,0.0079054562374949,0.0002243620692752,0.195107027888298,0.0005556009127758,7.441338311764412e-06,0.2885182499885559,0.0001559885859023,3.566583473002538e-05,0.0001003053839667,1.03693764685886e-07,0.0002204981137765,0.3315232098102569,6.408321837625408e-07,3.792647476075217e-05,0.0002905583532992,3.000386072926631e-07,1.5942421669024043e-05,0.7227518558502197,1.2360072787487297e-07,0.0001399531174683
14,0,test,0.3255989253520965,0.0005623414763249,0.0002026049769483,0.3487806022167206,0.0001897436886793,0.0001681315188761,0.2405848950147628,6.610833224840462e-05,0.0002721658092923,0.0001462802465539,1.1459072624120381e-07,0.0001106678246287,0.4013804793357849,6.408641297639406e-07,3.700856905197725e-05,0.0003231805749237,2.112500681050733e-07,1.3228417628852183e-05,0.6383370757102966,4.193528297946614e-07,4.808128869626671e-05
15,0,test,0.2193138748407364,9.393194341100752e-05,0.0002800070506054,0.0209927819669246,4.729792271973565e-05,3.122454654658213e-05,0.3377767205238342,0.0002783031086437,0.0002735865709837,0.0001071228107321,2.301431401008358e-08,1.7487789591541514e-05,0.3425284624099731,1.013634118862683e-06,5.113130464451388e-05,0.0001673455990385,1.5028632560643018e-07,1.0532173291721849e-05,0.694231390953064,1.656637351743484e-07,3.262366590206511e-05
16,1,test,0.0666738152503967,0.0023553904611617,7.642497803317383e-05,0.0012579552130773,0.000236833555391,1.7283527995459735e-05,0.0132354451343417,6.197840411914513e-05,4.7369470848934725e-05,8.657547368784435e-06,1.9604764034397704e-08,2.406315161351813e-06,0.0419640764594078,3.233609731978504e-06,2.8449436285882257e-05,2.5207751605194065e-05,2.492973294465628e-07,1.912929519676254e-06,0.3778268992900848,9.1703020643763e-07,1.3821942957292777e-05
17,1,test,0.3179130554199219,0.0026938943192362,0.0001051869039656,0.0049484600313007,2.9298500521690585e-05,5.785996108897962e-06,0.0221932306885719,6.540821050293744e-05,6.049756848369725e-05,3.077457222389057e-05,1.5106292039490654e-07,1.4028143596078737e-05,0.2347864210605621,9.830439012148418e-06,7.004004874033853e-05,8.176840492524207e-05,4.869589247391559e-07,4.720551714854082e-06,0.4075658619403839,6.677703640889376e-05,1.6926998796407133e-05
18,1,test,0.2492912858724594,0.0010482650250196,0.0012211946304887,0.607575535774231,0.0004270465287845,8.295373118016869e-05,0.766716480255127,0.0002513343060854,0.0008142166770994,4.211364284856245e-05,8.084315084033734e-08,0.0002508903271518,0.4570374488830566,1.6308567865053192e-06,5.31095611222554e-06,0.000189166443306,7.576469585046652e-08,4.065645043738186e-06,0.6401305198669434,1.30558007072068e-07,6.641358595516067e-06
19,0,test,0.8766533136367798,0.0003534252173267,0.0009682700037956,0.6548385620117188,0.0002885548747144,0.0001193303905893,0.5752264857292175,0.0011413355823606,0.0001738676364766,6.097664663684554e-05,3.853386232322009e-08,2.1967454813420773e-05,0.5128955245018005,5.951376351731597e-07,3.1650924938730896e-05,0.0002073453797493,9.291598956906456e-08,4.36383288615616e-06,0.6740977764129639,1.8035116511327945e-07,1.954173058038577e-05
20,1,test,0.0667466446757316,0.0001305933110415,1.4859725524729583e-05,0.0716377943754196,4.67411991849076e-05,3.899482635461027e-06,0.1057121604681015,5.591644730884582e-05,4.139188604312949e-06,9.331694309366868e-05,1.6650072609536437e-07,2.244400639028754e-05,0.3963834643363952,6.668661285402777e-07,4.513734438660322e-06,0.0002081904240185,5.093886201734678e-08,2.5138303954008734e-06,0.6783024668693542,2.42580796339098e-07,2.518261226214236e-06
21,1,test,0.2351491451263427,0.0068221795372664,0.0001598981616552,0.0628814399242401,0.0001852814457379,1.295230322284624e-05,0.0502441637217998,0.0001354408159386,0.0002383388782618,2.501725975889713e-05,6.279985598212079e-08,5.015687747800257e-06,0.2092449069023132,7.047656822578574e-07,3.674578329082578e-05,0.0001001646523945,3.333454401399649e-08,3.261429810663685e-06,0.384439617395401,1.1090828166970824e-07,4.666287622967502e-06
22,1,test,0.3288941383361816,0.0038640603888779,3.4113250876544043e-05,0.0013891300186514,3.880578151438385e-05,8.041723049245775e-06,0.028482861816883,0.0001807751395972,0.0002677151060197,1.49220113598858e-06,8.800712159029445e-09,7.00864038662985e-05,0.0225186478346586,3.5675026310855174e-07,4.063079541083425e-05,7.836480108380783e-06,8.716936505948071e-09,2.605752115414361e-06,0.016985785216093,2.422778607069631e-06,5.135258470545523e-05
23,0,test,0.556483268737793,0.0003679908404592,0.0001986443239729,0.2778699398040771,0.0010913193691521,0.000321104977047,0.3769482672214508,0.0008813496679067,0.0014015837805345,6.099184611230157e-05,4.0491521247076896e-08,4.297352006688016e-06,0.3182088732719421,6.098993026171229e-07,6.840314745204523e-05,7.512288721045479e-05,4.723478852497465e-08,5.372696705308044e-06,0.6814095377922058,8.353202929356487e-08,1.9221415641368367e-05
