uid,stance,set,distilbert-base-uncased_if,distilbert-base-uncased_as,distilbert-base-uncased_and,distilbert-base-uncased_but,distilbert-base-uncased_when,distilbert-base-uncased_then,bert-base-uncased_if,bert-base-uncased_and,bert-base-uncased_as,bert-base-uncased_when,bert-base-uncased_but,bert-base-uncased_then,bert-large-uncased_as,bert-large-uncased_if,bert-large-uncased_and,bert-large-uncased_when,bert-large-uncased_but,bert-large-uncased_then,roberta-base_as,roberta-base_if,roberta-base_but,roberta-base_and,roberta-base_when,roberta-base_then,xlm-roberta-base_when,xlm-roberta-base_as,xlm-roberta-base_and,xlm-roberta-base_if,xlm-roberta-base_but,xlm-roberta-base_then,roberta-large_as,roberta-large_if,roberta-large_when,roberta-large_and,roberta-large_but,roberta-large_then,xlm-roberta-large_when,xlm-roberta-large_as,xlm-roberta-large_and,xlm-roberta-large_if,xlm-roberta-large_but,xlm-roberta-large_then
0,1,test,0.034247700124979,0.0147045440971851,0.0139143634587526,0.0083947088569402,0.007376910187304,0.0001204981526825,0.008152961730957,0.0049995151348412,0.0038824283983558,0.0033569987863302,0.0010981194209307,1.8517162970965728e-05,0.0033976500853896,0.0003128556418232,0.0002664818603079,0.0001143314220826,4.676685784943402e-05,1.897620336421824e-07,1.2405624147504568e-05,3.488890570224612e-06,4.3845059849445533e-07,3.326179012219655e-07,2.191491148550995e-07,8.512439642061053e-10,0.0058272504247725,7.670997001696378e-05,2.489173311914783e-05,7.0224823502940126e-06,4.877784249401884e-06,1.9651490390515397e-07,1.0794619811349548e-05,3.869578222293058e-07,2.2996653115114898e-07,1.0672429340274905e-07,3.322803721061973e-08,2.4574459134285576e-10,0.0019989991560578,6.970823505980661e-06,6.979627755754336e-07,2.744754681316408e-07,2.1148179030205938e-07,1.0336796307797158e-08
1,0,test,0.0522319190204143,0.0171291027218103,0.0087364828214049,0.0038146637380123,0.0027954091783612,4.818855813937262e-06,0.0046208119019865,0.0040806960314512,0.0233280546963214,0.0008640980231575,0.0006037630955688,2.8352694698696723e-06,0.1145729199051857,0.0630174800753593,0.0057781203649938,0.008612428791821,0.0005017009098082,1.780981506271928e-06,3.3339733818138484e-06,1.3995383596920874e-05,2.602025404030428e-07,1.3285555269249016e-06,2.106620740960352e-06,6.74400812972209e-10,0.0083674667403101,3.631704385043122e-05,3.1478975870413706e-05,3.779298594963621e-06,1.8854118025046773e-05,1.0575868714113312e-07,1.7847762137535028e-05,1.0461219517310385e-06,1.476535203437379e-06,2.701958464967902e-06,2.4397684228461003e-06,9.938683209753663e-10,0.007871912792325,3.6573815123119857e-06,3.637623876784346e-06,1.5329397911045817e-06,1.203865508614399e-06,4.149206311865328e-09
2,0,test,0.01994239538908,0.011716934852302,0.0176120307296514,0.0124743124470114,0.0016338060377165,4.185853322269395e-05,0.0010055460734292,0.0598250702023506,0.0504894405603408,0.0008135618409141,0.0368304885923862,3.2620588171994314e-05,0.0486758798360824,0.0002244125789729,0.0236927960067987,0.0001915364555316,0.0039774891920387,4.054520559293451e-06,8.839700967655517e-06,1.221816035013035e-07,8.490224900015164e-06,4.914088549412554e-06,3.306998621610546e-07,7.735171392297955e-10,0.0012224989477545,3.693852704600431e-05,4.935441029374488e-05,9.203564559356892e-07,2.027758455369621e-05,2.2019989387445094e-07,9.08316815184662e-06,1.0289033980370733e-07,4.358899786893744e-06,4.144769263803028e-05,0.0006711427704431,1.5641328232618434e-08,0.0021947405766695,1.1106280908279588e-05,1.0258512702421284e-05,2.904249356561195e-07,1.6646128642605618e-05,6.503358296328088e-09
3,1,test,0.0130099896341562,0.0143892830237746,0.004744853824377,0.0012644630623981,0.0061611584387719,7.642734999535605e-06,0.0010922319488599,0.0019357956480234,0.0032525439746677,0.0007247163448482,0.0001450793497497,1.4211417465048726e-06,0.014039859175682,0.0004029476549476,0.0002266688825329,0.0002698712341953,1.92571351362858e-05,5.962379390211936e-08,1.92818115465343e-05,2.437748776173976e-07,5.075026976442133e-08,3.347330732594856e-07,8.278976082465307e-08,9.198809075572356e-11,0.0009363045101054,7.175469363573939e-05,2.572692210378591e-06,6.519391035908484e-07,4.005952973784588e-07,1.7968217136399293e-08,1.2146730114181992e-05,2.157084253440189e-07,2.808585861657775e-07,3.737529539193929e-07,4.5351409738714223e-08,1.9598533906872717e-10,0.001977602019906,5.671584858646384e-06,1.241573841070931e-06,1.1752289452715561e-07,1.0208852074811149e-07,4.677625398130658e-09
4,1,test,0.019236983731389,0.0116403456777334,0.0215912964195013,0.0052837170660495,0.0070391632616519,3.694296538014896e-05,0.0118824504315853,0.0215786658227443,0.1290524899959564,0.006275768391788,0.0048664156347513,2.6267918656230904e-05,0.101573072373867,0.0008611885132268,0.0057629416696727,0.0005822399398311,0.0002662947226781,2.5983624709624564e-06,1.5477531633223407e-05,6.896220270391495e-07,1.0101143743668217e-07,2.626707100716885e-07,4.317155699595787e-08,5.76061420787255e-10,0.0018828199245035,5.507249079528265e-05,1.528549546492286e-05,1.2226605576870495e-06,3.591941094782669e-06,1.3850696234385398e-07,3.378333349246532e-05,7.190798214651295e-07,1.8949990021610574e-07,1.25196913813852e-06,8.48702725875228e-08,1.0159335595005814e-09,0.0010882486822083,6.287347787292674e-06,9.652521839598194e-07,1.7540166652452174e-07,3.945082838185954e-08,1.768729496198773e-09
5,0,test,0.0486685410141944,0.0692788287997245,0.0245173294097185,0.1112099960446357,0.0086232014000415,2.5968673071474768e-05,0.0056703533045947,0.0120045961812138,0.036477230489254,0.0029073073528707,0.0104221180081367,3.145391474390636e-06,0.1988179832696914,0.0433058440685272,0.0071473494172096,0.0124291945248842,0.0087251868098974,2.6598556814860785e-06,1.4652487152488902e-05,1.0796790093081654e-06,3.474160985206254e-05,3.312966146040708e-05,3.974764695158228e-06,1.7659443907191983e-09,0.0039107669144868,1.0542473319219424e-05,3.49666370311752e-05,1.5736718523839954e-06,1.556175629957579e-05,4.935727204724572e-08,2.898498860304244e-05,1.1589130508582457e-06,2.3303678062802646e-06,1.5646908650523983e-05,4.282805093680509e-05,1.4523144908906716e-09,0.0073373545892536,5.258204964775359e-06,1.554138748360856e-06,5.140199164088699e-07,2.731282791046397e-07,1.8702532855741083e-09
6,1,test,0.0448794364929199,0.0084052979946136,0.0029160343110561,0.0008116836543194,0.0093247443437576,1.7838428902905434e-06,0.0001262310397578,0.0001667353062657,0.0002310648851562,0.0001254451053682,1.6082396541605704e-05,2.168657857737344e-07,0.0012574947904795,2.4404014766332693e-05,7.93613726273179e-05,3.0660736229037866e-05,6.189242867549183e-06,2.5604043329963133e-08,3.305519567220472e-05,4.970925715497287e-07,6.497617022205304e-08,9.467127597417856e-07,3.159278776365682e-07,5.995474255948707e-11,0.0003691097081173,2.7541977033251897e-05,7.157453183026519e-06,4.811190592590719e-07,1.60358797529625e-06,5.9499829063724974e-08,1.0844034477486277e-05,1.840967911448388e-07,7.813342790541355e-07,7.338612135754374e-07,8.09004205848396e-08,1.2765816181925516e-10,0.0013487990945577,6.605892849620432e-06,5.546464194594591e-07,2.114286559162793e-07,6.104739469492415e-08,1.8499809462113603e-09
7,1,test,0.0107874637469649,0.0224041957408189,0.0136564401909708,0.0019623092375695,0.0061289658769965,2.342679908906576e-05,0.0184392966330051,0.008690227754414,0.0217135436832904,0.0051433220505714,0.000783373019658,1.0763062164187431e-05,0.0673828050494194,0.0368845090270042,0.0003669380384963,0.0073887868784368,5.285515362629667e-05,5.109546918902197e-07,1.003847864922136e-05,4.135012659389759e-06,2.1147944551103137e-07,1.9655550431707525e-07,6.578615625585371e-07,3.597134257127266e-10,0.0127261597663164,1.4675158126919996e-05,1.31417300508474e-06,2.0677209704444977e-06,9.688805135965597e-08,2.052887992931573e-08,1.471324412705144e-05,5.999337417961215e-07,5.789856345472799e-07,3.022553869413969e-07,8.504650850227335e-08,4.114946161593024e-10,0.0080899521708488,4.093359166290611e-06,3.4660581604839535e-07,5.460013881020132e-07,2.162500578606341e-08,1.0464986655023267e-09
8,1,test,0.0058394013904035,0.0084088500589132,0.0096195237711071,0.0020525464788079,0.0015514702536165,1.105763567466056e-05,0.0001860092161223,0.0026217284612357,0.0094708139076828,0.0001512482267571,0.0003423147136345,2.5376721168868244e-06,0.0730198994278907,0.0003474612603895,0.0012422293657436,0.0002835685445461,0.00011178854038,3.3789018516472424e-07,1.3382305041886866e-05,8.857529820716081e-08,1.1606596217461629e-07,3.107443262706511e-07,3.318002228525074e-08,5.03509213489739e-11,0.0007739082793705,6.70520676067099e-05,1.6563786630285904e-05,4.6139530240907334e-07,3.0775338473176816e-06,7.190332951267919e-08,1.083092502085492e-05,5.60346400391154e-08,2.253544835184585e-07,1.0253139635096886e-06,6.116356843222094e-08,1.0309673947883624e-10,0.0003997918101958,8.675371645949781e-06,2.0241054698999505e-06,7.679791025339e-08,1.3729827230690717e-07,4.7766444133401365e-09
9,1,test,0.0127448923885822,0.0200912244617939,0.0134382145479321,0.0038661179132759,0.0079683046787977,3.566593659343198e-05,0.0038872696459293,0.0083891712129116,0.0141345020383596,0.0021008329931646,0.0008326263632625,9.514352313999552e-06,0.0096356784924864,0.0007026413222774,0.0001862931239884,0.0004397094598971,1.4929489225323778e-05,4.778040008091011e-08,2.888963354052976e-05,7.56280314817559e-07,3.30581784169226e-08,3.917469939551666e-07,3.105998018781975e-07,1.0779325348986288e-10,0.0038164688739925,3.3056225220207125e-05,9.217771548719613e-06,2.1230555375950644e-06,4.658453178763011e-07,5.249017931419076e-08,1.845301449066028e-05,3.1181943427327496e-07,5.730841508011508e-07,6.077661964809522e-07,3.184549157708716e-08,2.61885679808671e-10,0.0038217238616198,5.032203716837103e-06,9.57380507315975e-07,3.2334048682969296e-07,6.987395551050214e-08,3.375609347600061e-09
