,feature_name,varimp
82,roberta-large_and,253
76,roberta-large_but,238
87,roberta-large_yet,208
14,distilbert-base-uncased_rather,161
84,roberta-large_nor,141
78,roberta-large_as,140
89,roberta-large_rather,129
88,roberta-large_still,127
102,xlm-roberta-large_rather,126
95,xlm-roberta-large_and,125
12,distilbert-base-uncased_yet,123
44,bert-large-uncased_still,122
57,roberta-base_yet,119
13,distilbert-base-uncased_still,115
85,roberta-large_instead,113
10,distilbert-base-uncased_then,112
43,bert-large-uncased_rather,111
39,bert-large-uncased_instead,110
104,xlm-roberta-large_still,110
91,xlm-roberta-large_although,108
8,distilbert-base-uncased_instead,108
75,roberta-large_while,108
92,xlm-roberta-large_instead,105
56,roberta-base_nor,105
103,xlm-roberta-large_yet,103
72,xlm-roberta-base_rather,103
96,xlm-roberta-large_but,102
73,xlm-roberta-base_still,101
86,roberta-large_then,100
29,bert-base-uncased_still,99
74,xlm-roberta-base_yet,99
41,bert-large-uncased_nor,99
61,xlm-roberta-base_although,99
79,roberta-large_if,98
50,roberta-base_as,98
64,xlm-roberta-base_while,98
53,roberta-base_then,98
48,roberta-base_and,97
47,roberta-base_if,97
58,roberta-base_rather,96
55,roberta-base_instead,96
42,bert-large-uncased_yet,96
62,xlm-roberta-base_instead,96
24,bert-base-uncased_instead,96
71,xlm-roberta-base_nor,95
83,roberta-large_or,95
11,distilbert-base-uncased_nor,95
45,roberta-base_while,95
26,bert-base-uncased_nor,94
27,bert-base-uncased_yet,94
99,xlm-roberta-large_or,93
31,bert-large-uncased_and,93
6,distilbert-base-uncased_and,92
81,roberta-large_although,92
77,roberta-large_when,91
49,roberta-base_but,90
25,bert-base-uncased_then,90
28,bert-base-uncased_rather,90
60,xlm-roberta-base_when,89
66,xlm-roberta-base_and,88
68,xlm-roberta-base_or,88
90,xlm-roberta-large_when,87
67,xlm-roberta-base_but,87
100,xlm-roberta-large_then,87
9,distilbert-base-uncased_or,86
101,xlm-roberta-large_nor,84
40,bert-large-uncased_then,84
59,roberta-base_still,83
65,xlm-roberta-base_if,82
3,distilbert-base-uncased_but,79
52,roberta-base_although,78
70,xlm-roberta-base_then,78
46,roberta-base_when,78
23,bert-base-uncased_or,78
19,bert-base-uncased_but,78
94,xlm-roberta-large_as,76
4,distilbert-base-uncased_although,75
1,distilbert-base-uncased_when,73
5,distilbert-base-uncased_while,73
2,distilbert-base-uncased_as,72
30,bert-large-uncased_if,71
98,xlm-roberta-large_though,71
32,bert-large-uncased_while,71
63,xlm-roberta-base_as,69
97,xlm-roberta-large_if,68
15,bert-base-uncased_and,67
7,distilbert-base-uncased_though,66
21,bert-base-uncased_although,66
38,bert-large-uncased_or,65
93,xlm-roberta-large_while,65
0,distilbert-base-uncased_if,63
51,roberta-base_though,63
18,bert-base-uncased_while,62
35,bert-large-uncased_but,61
69,xlm-roberta-base_though,60
54,roberta-base_or,60
37,bert-large-uncased_though,58
34,bert-large-uncased_when,57
20,bert-base-uncased_when,55
17,bert-base-uncased_if,55
