,feature_name,varimp
108,roberta-large_but,206
114,roberta-large_and,202
123,roberta-large_yet,200
122,roberta-large_so,145
124,roberta-large_still,126
106,roberta-large_since,115
20,distilbert-base-uncased_rather,113
143,xlm-roberta-large_rather,107
118,roberta-large_nor,106
146,xlm-roberta-large_still,104
101,xlm-roberta-base_rather,100
137,xlm-roberta-large_with,99
113,roberta-large_although,97
102,xlm-roberta-base_so,95
120,roberta-large_instead,95
97,xlm-roberta-base_for,94
38,bert-base-uncased_so,94
19,distilbert-base-uncased_still,91
11,distilbert-base-uncased_instead,89
133,xlm-roberta-large_and,88
100,xlm-roberta-base_given,87
79,roberta-base_nor,85
103,xlm-roberta-base_still,83
81,roberta-base_yet,82
104,xlm-roberta-base_yet,82
107,roberta-large_while,82
134,xlm-roberta-large_but,82
119,roberta-large_with,81
59,bert-large-uncased_so,80
74,roberta-base_then,80
78,roberta-base_instead,80
121,roberta-large_then,79
82,roberta-base_rather,79
144,xlm-roberta-large_so,79
142,xlm-roberta-large_given,78
125,roberta-large_rather,78
62,bert-large-uncased_still,77
61,bert-large-uncased_rather,76
16,distilbert-base-uncased_nor,76
18,distilbert-base-uncased_yet,76
80,roberta-base_so,75
60,bert-large-uncased_yet,75
88,xlm-roberta-base_instead,73
56,bert-large-uncased_instead,73
99,xlm-roberta-base_nor,73
130,xlm-roberta-large_instead,72
40,bert-base-uncased_rather,72
83,roberta-base_still,71
15,distilbert-base-uncased_then,70
116,roberta-large_for,70
69,roberta-base_as,70
87,xlm-roberta-base_although,69
34,bert-base-uncased_instead,69
90,xlm-roberta-base_while,69
32,bert-base-uncased_or,68
41,bert-base-uncased_still,68
132,xlm-roberta-large_as,68
95,xlm-roberta-base_or,66
36,bert-base-uncased_then,66
13,distilbert-base-uncased_given,65
17,distilbert-base-uncased_so,65
145,xlm-roberta-large_yet,65
139,xlm-roberta-large_for,65
117,roberta-large_or,65
110,roberta-large_as,65
140,xlm-roberta-large_then,64
21,bert-base-uncased_and,63
66,roberta-base_if,63
67,roberta-base_and,63
44,bert-large-uncased_and,63
92,xlm-roberta-base_and,61
129,xlm-roberta-large_although,61
105,roberta-large_because,61
141,xlm-roberta-large_nor,61
73,roberta-base_given,61
39,bert-base-uncased_yet,61
10,distilbert-base-uncased_for,61
136,xlm-roberta-large_though,60
115,roberta-large_given,60
14,distilbert-base-uncased_with,60
94,xlm-roberta-base_with,60
68,roberta-base_but,60
109,roberta-large_when,60
98,xlm-roberta-base_then,59
91,xlm-roberta-base_if,59
75,roberta-base_or,59
89,xlm-roberta-base_as,58
3,distilbert-base-uncased_since,58
12,distilbert-base-uncased_or,57
65,roberta-base_because,57
135,xlm-roberta-large_if,56
33,bert-base-uncased_with,55
4,distilbert-base-uncased_as,55
138,xlm-roberta-large_or,55
85,xlm-roberta-base_when,54
126,xlm-roberta-large_because,54
84,xlm-roberta-base_because,54
37,bert-base-uncased_nor,54
63,roberta-base_while,53
7,distilbert-base-uncased_while,52
