,feature_name,varimp
62,roberta-large_but,348
66,roberta-large_and,273
71,roberta-large_so,167
56,xlm-roberta-base_for,167
82,xlm-roberta-large_given,160
83,xlm-roberta-large_so,157
35,bert-large-uncased_so,155
23,bert-base-uncased_so,154
76,xlm-roberta-large_and,153
10,distilbert-base-uncased_then,151
79,xlm-roberta-large_with,151
59,xlm-roberta-base_so,149
41,roberta-base_as,148
11,distilbert-base-uncased_so,141
77,xlm-roberta-large_but,141
70,roberta-large_then,137
58,xlm-roberta-base_given,135
8,distilbert-base-uncased_given,134
80,xlm-roberta-large_for,133
61,roberta-large_since,132
47,roberta-base_so,130
44,roberta-base_then,129
17,bert-base-uncased_but,129
5,distilbert-base-uncased_but,128
7,distilbert-base-uncased_for,127
22,bert-base-uncased_then,125
68,roberta-large_for,124
9,distilbert-base-uncased_with,122
36,roberta-base_when,122
34,bert-large-uncased_then,122
74,xlm-roberta-large_when,122
53,xlm-roberta-base_and,121
69,roberta-large_with,120
6,distilbert-base-uncased_and,120
63,roberta-large_when,119
64,roberta-large_as,119
75,xlm-roberta-large_as,118
54,xlm-roberta-base_but,115
60,roberta-large_because,114
39,roberta-base_and,114
67,roberta-large_given,110
49,xlm-roberta-base_when,109
51,xlm-roberta-base_as,108
40,roberta-base_but,107
48,xlm-roberta-base_because,107
45,roberta-base_for,107
52,xlm-roberta-base_if,106
78,xlm-roberta-large_if,106
0,distilbert-base-uncased_because,106
31,bert-large-uncased_with,106
1,distilbert-base-uncased_if,104
38,roberta-base_if,104
55,xlm-roberta-base_with,104
26,bert-large-uncased_and,103
2,distilbert-base-uncased_when,103
57,xlm-roberta-base_then,101
12,bert-base-uncased_and,101
43,roberta-base_given,98
3,distilbert-base-uncased_since,98
81,xlm-roberta-large_then,97
25,bert-large-uncased_if,96
37,roberta-base_because,94
65,roberta-large_if,94
73,xlm-roberta-large_since,93
46,roberta-base_with,93
42,roberta-base_since,93
21,bert-base-uncased_given,92
32,bert-large-uncased_given,92
50,xlm-roberta-base_since,88
30,bert-large-uncased_but,87
19,bert-base-uncased_for,84
72,xlm-roberta-large_because,84
4,distilbert-base-uncased_as,83
24,bert-large-uncased_because,83
20,bert-base-uncased_with,83
33,bert-large-uncased_for,82
18,bert-base-uncased_when,80
28,bert-large-uncased_as,69
15,bert-base-uncased_if,69
16,bert-base-uncased_since,68
29,bert-large-uncased_when,65
13,bert-base-uncased_because,59
14,bert-base-uncased_as,55
27,bert-large-uncased_since,52
