,feature_name,varimp
81,roberta-large_but,44
75,roberta-large_as,43
82,roberta-large_although,40
97,xlm-roberta-large_but,38
78,roberta-large_and,36
87,roberta-large_yet,23
62,xlm-roberta-base_as,19
101,xlm-roberta-large_nor,18
46,roberta-base_if,18
4,distilbert-base-uncased_when,18
91,xlm-roberta-large_although,16
103,xlm-roberta-large_yet,16
12,distilbert-base-uncased_yet,16
33,bert-large-uncased_when,16
37,bert-large-uncased_or,15
8,distilbert-base-uncased_or,15
17,bert-base-uncased_as,15
86,roberta-large_instead,15
29,bert-base-uncased_rather,14
73,xlm-roberta-base_still,14
42,bert-large-uncased_yet,13
61,xlm-roberta-base_although,13
51,roberta-base_though,13
77,roberta-large_when,13
102,xlm-roberta-large_rather,12
9,distilbert-base-uncased_then,12
65,xlm-roberta-base_while,12
53,roberta-base_or,12
90,xlm-roberta-large_when,11
50,roberta-base_although,11
11,distilbert-base-uncased_nor,11
80,roberta-large_or,11
58,roberta-base_still,11
92,xlm-roberta-large_as,11
84,roberta-large_nor,11
96,xlm-roberta-large_if,10
55,roberta-base_nor,10
93,xlm-roberta-large_instead,10
98,xlm-roberta-large_or,10
27,bert-base-uncased_yet,10
2,distilbert-base-uncased_and,10
49,roberta-base_when,9
63,xlm-roberta-base_and,9
69,xlm-roberta-base_though,9
0,distilbert-base-uncased_if,9
39,bert-large-uncased_instead,9
36,bert-large-uncased_although,9
79,roberta-large_while,9
31,bert-large-uncased_if,9
83,roberta-large_though,9
22,bert-base-uncased_although,9
21,bert-base-uncased_or,9
18,bert-base-uncased_when,9
6,distilbert-base-uncased_although,9
59,roberta-base_rather,9
68,xlm-roberta-base_or,8
74,xlm-roberta-base_yet,8
52,roberta-base_while,8
1,distilbert-base-uncased_as,8
48,roberta-base_and,8
32,bert-large-uncased_and,8
40,bert-large-uncased_then,8
57,roberta-base_yet,7
7,distilbert-base-uncased_though,7
85,roberta-large_then,7
76,roberta-large_if,7
72,xlm-roberta-base_rather,7
41,bert-large-uncased_nor,6
3,distilbert-base-uncased_but,6
100,xlm-roberta-large_then,6
15,bert-base-uncased_if,6
23,bert-base-uncased_though,6
38,bert-large-uncased_though,6
30,bert-large-uncased_as,6
43,bert-large-uncased_rather,6
70,xlm-roberta-base_then,6
99,xlm-roberta-large_though,5
47,roberta-base_but,5
88,roberta-large_rather,5
94,xlm-roberta-large_while,5
95,xlm-roberta-large_and,5
67,xlm-roberta-base_but,5
28,bert-base-uncased_still,5
64,xlm-roberta-base_instead,5
54,roberta-base_then,5
5,distilbert-base-uncased_while,5
60,xlm-roberta-base_when,5
44,bert-large-uncased_still,5
20,bert-base-uncased_while,5
16,bert-base-uncased_and,4
10,distilbert-base-uncased_instead,4
89,roberta-large_still,4
71,xlm-roberta-base_nor,4
25,bert-base-uncased_instead,4
26,bert-base-uncased_nor,4
56,roberta-base_instead,4
45,roberta-base_as,4
35,bert-large-uncased_while,4
104,xlm-roberta-large_still,4
34,bert-large-uncased_but,3
