,feature_name,varimp
68,roberta-large_but,99
79,xlm-roberta-large_but,52
60,roberta-large_because,31
66,roberta-large_and,31
39,roberta-base_if,24
64,roberta-large_when,24
8,distilbert-base-uncased_given,23
51,xlm-roberta-base_as,22
45,roberta-base_with,21
19,bert-base-uncased_for,19
0,distilbert-base-uncased_because,18
23,bert-base-uncased_so,18
47,roberta-base_so,18
62,roberta-large_since,18
28,bert-large-uncased_and,18
61,roberta-large_as,17
16,bert-base-uncased_when,17
57,xlm-roberta-base_then,16
65,roberta-large_given,16
69,roberta-large_with,16
33,bert-large-uncased_given,15
9,distilbert-base-uncased_then,15
6,distilbert-base-uncased_when,15
63,roberta-large_if,14
7,distilbert-base-uncased_for,14
34,bert-large-uncased_then,14
52,xlm-roberta-base_and,13
41,roberta-base_and,13
78,xlm-roberta-large_if,13
42,roberta-base_for,13
83,xlm-roberta-large_so,13
22,bert-base-uncased_given,13
44,roberta-base_given,12
72,xlm-roberta-large_because,12
11,distilbert-base-uncased_so,12
71,roberta-large_so,11
35,bert-large-uncased_so,11
5,distilbert-base-uncased_but,11
55,xlm-roberta-base_for,11
40,roberta-base_but,11
48,xlm-roberta-base_because,11
24,bert-large-uncased_because,11
74,xlm-roberta-large_when,10
70,roberta-large_then,10
30,bert-large-uncased_for,10
18,bert-base-uncased_but,10
26,bert-large-uncased_since,10
32,bert-large-uncased_with,10
29,bert-large-uncased_when,10
13,bert-base-uncased_if,9
21,bert-base-uncased_with,9
20,bert-base-uncased_then,9
27,bert-large-uncased_if,9
80,xlm-roberta-large_with,9
2,distilbert-base-uncased_since,9
10,distilbert-base-uncased_with,9
77,xlm-roberta-large_for,9
73,xlm-roberta-large_since,8
14,bert-base-uncased_and,8
49,xlm-roberta-base_since,7
1,distilbert-base-uncased_if,7
76,xlm-roberta-large_and,7
38,roberta-base_since,7
15,bert-base-uncased_as,7
82,xlm-roberta-large_given,7
17,bert-base-uncased_since,7
58,xlm-roberta-base_given,7
25,bert-large-uncased_as,7
81,xlm-roberta-large_then,7
53,xlm-roberta-base_if,7
4,distilbert-base-uncased_and,6
59,xlm-roberta-base_so,6
75,xlm-roberta-large_as,5
43,roberta-base_when,5
36,roberta-base_because,5
31,bert-large-uncased_but,5
56,xlm-roberta-base_with,5
37,roberta-base_as,4
46,roberta-base_then,4
12,bert-base-uncased_because,4
3,distilbert-base-uncased_as,3
54,xlm-roberta-base_but,3
50,xlm-roberta-base_when,3
67,roberta-large_for,2
