,feature_name,varimp
67,roberta-large_but,496
62,roberta-large_and,336
75,xlm-roberta-large_and,153
68,roberta-large_given,148
79,xlm-roberta-large_but,147
63,roberta-large_for,141
8,distilbert-base-uncased_given,129
48,xlm-roberta-base_because,127
60,roberta-large_because,126
69,roberta-large_then,125
53,xlm-roberta-base_but,124
77,xlm-roberta-large_if,122
6,distilbert-base-uncased_but,122
43,roberta-base_when,120
71,roberta-large_so,120
41,roberta-base_but,119
70,roberta-large_with,118
55,xlm-roberta-base_for,117
64,roberta-large_if,115
23,bert-base-uncased_so,112
37,roberta-base_and,111
11,distilbert-base-uncased_so,110
4,distilbert-base-uncased_and,110
49,xlm-roberta-base_since,109
47,roberta-base_so,109
2,distilbert-base-uncased_if,107
65,roberta-large_when,106
57,xlm-roberta-base_with,105
44,roberta-base_given,105
9,distilbert-base-uncased_then,104
7,distilbert-base-uncased_for,103
30,bert-large-uncased_but,101
61,roberta-large_as,99
52,xlm-roberta-base_as,99
17,bert-base-uncased_but,99
83,xlm-roberta-large_so,98
81,xlm-roberta-large_given,97
35,bert-large-uncased_so,97
58,xlm-roberta-base_given,96
74,xlm-roberta-large_when,96
76,xlm-roberta-large_as,95
38,roberta-base_as,95
34,bert-large-uncased_given,95
32,bert-large-uncased_then,95
20,bert-base-uncased_then,95
3,distilbert-base-uncased_when,94
82,xlm-roberta-large_then,93
45,roberta-base_then,93
56,xlm-roberta-base_then,92
12,bert-base-uncased_and,92
36,roberta-base_because,90
66,roberta-large_since,90
51,xlm-roberta-base_and,88
33,bert-large-uncased_with,88
80,xlm-roberta-large_with,85
19,bert-base-uncased_for,85
24,bert-large-uncased_and,84
54,xlm-roberta-base_if,83
10,distilbert-base-uncased_with,83
59,xlm-roberta-base_so,83
46,roberta-base_with,79
40,roberta-base_since,79
0,distilbert-base-uncased_because,78
78,xlm-roberta-large_for,77
25,bert-large-uncased_as,75
72,xlm-roberta-large_because,75
42,roberta-base_for,74
1,distilbert-base-uncased_as,74
39,roberta-base_if,73
15,bert-base-uncased_if,72
50,xlm-roberta-base_when,72
73,xlm-roberta-large_since,71
22,bert-base-uncased_with,70
5,distilbert-base-uncased_since,70
27,bert-large-uncased_when,68
16,bert-base-uncased_when,66
18,bert-base-uncased_since,61
14,bert-base-uncased_because,61
26,bert-large-uncased_if,60
28,bert-large-uncased_because,60
31,bert-large-uncased_for,60
13,bert-base-uncased_as,59
21,bert-base-uncased_given,58
29,bert-large-uncased_since,58
