,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5206124673612696,2023-08-23 14:51:57.496867,2023-08-23 14:51:58.276638,0 days 00:00:00.779771,,,,,DecisionTreeClassifier,,gini,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6008579055378112,2023-08-23 14:51:57.497293,2023-08-23 14:51:59.267010,0 days 00:00:01.769717,,0.6000000000000001,1.0,,LightGBM,,,,,0.7000000000000001,,,,4.427388106478341e-07,0.0248330598163231,,70.0,,,,,,,,,,107.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5849275727058354,2023-08-23 14:51:57.497651,2023-08-23 14:51:59.856745,0 days 00:00:02.359094,0.002671089590614987,,,dart,XGBoost,0.36694695690110113,,,0.7053081599509318,,0.08140624062913117,lossguide,1.250157329137799e-05,,,3.0,,6.0,,,,,,,,forest,,0.0013507913066352288,,,weighted,0.10659848850768128,0.7259509888150195,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.3573487031700288,2023-08-23 14:51:57.498006,2023-08-23 14:52:10.213542,0 days 00:00:12.715536,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016218499279462076,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5517976262670017,2023-08-23 14:51:57.500979,2023-08-23 14:52:05.996554,0 days 00:00:08.495575,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,78.0,24.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.4963575018935481,2023-08-23 14:51:57.504297,2023-08-23 14:52:00.729069,0 days 00:00:03.224772,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,82.0,5.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.3573487031700288,2023-08-23 14:51:57.504676,2023-08-23 14:52:08.587441,0 days 00:00:11.082765,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003663357906384561,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5632361315869308,2023-08-23 14:51:57.505027,2023-08-23 14:51:58.210355,0 days 00:00:00.705328,,,,,DecisionTreeClassifier,,log_loss,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5830726638622226,2023-08-23 14:51:58.267682,2023-08-23 14:52:00.612819,0 days 00:00:02.345137,,1.0,1.0,,LightGBM,,,,,0.7000000000000001,,,,8.864382756207268e-06,3.0773869987277706e-05,,90.0,,,,,,,,,,210.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.36838150289017335,2023-08-23 14:51:58.353403,2023-08-23 14:51:59.607881,0 days 00:00:01.254478,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,68.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
