,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.3573487031700288,2023-08-23 14:29:04.582236,2023-08-23 14:29:05.308948,0 days 00:00:00.726712,0.11625628413708505,,,gblinear,XGBoost,0.8272369032128652,,,,,,,6.000328593775014e-06,,,,,,,,,,,,,,,,,,,,0.43605555413619146,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.49451193215020095,2023-08-23 14:29:04.585758,2023-08-23 14:33:21.441171,0 days 00:04:16.855413,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,lbfgs,3.0,60.0,60.0,20.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5194066076622099,2023-08-23 14:29:04.589676,2023-08-23 14:29:05.208272,0 days 00:00:00.618596,,,,,DecisionTreeClassifier,,entropy,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.4604242508991096,2023-08-23 14:29:04.593309,2023-08-23 14:32:55.465000,0 days 00:03:50.871691,,,,,MLPClassifier,,,,,,,,,,,,,,relu,adam,1.0,90.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.3573487031700288,2023-08-23 14:29:04.594220,2023-08-23 14:29:41.405255,0 days 00:00:36.811035,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,sgd,1.0,70.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5192000297386714,2023-08-23 14:29:04.638374,2023-08-23 14:29:09.211922,0 days 00:00:04.573548,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,35.0,19.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.3573487031700288,2023-08-23 14:29:04.654070,2023-08-23 14:29:13.578957,0 days 00:00:08.924887,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.721123500977275,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.3573487031700288,2023-08-23 14:29:04.673268,2023-08-23 14:29:14.959879,0 days 00:00:10.286611,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6749629774668156,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5368371112282552,2023-08-23 14:29:05.300837,2023-08-23 14:29:12.210508,0 days 00:00:06.909671,,0.9,2.0,,LightGBM,,,,,0.7000000000000001,,,,0.014659091463528458,0.09719607595423255,,90.0,,,,,,,,,,49.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.3921625027394258,2023-08-23 14:29:05.421533,2023-08-23 14:32:41.169169,0 days 00:03:35.747636,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,adam,1.0,70.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
