,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.3573487031700288,2023-08-23 14:39:34.582537,2023-08-23 14:39:36.581512,0 days 00:00:01.998975,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,lbfgs,2.0,90.0,40.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5670380846375516,2023-08-23 14:39:34.585659,2023-08-23 14:39:40.209313,0 days 00:00:05.623654,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,44.0,30.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5367568440392596,2023-08-23 14:39:34.586712,2023-08-23 14:39:38.263559,0 days 00:00:03.676847,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,59.0,6.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5308341673856773,2023-08-23 14:39:34.591812,2023-08-23 14:39:34.741562,0 days 00:00:00.149750,,,,,DecisionTreeClassifier,,gini,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.38853512050163197,2023-08-23 14:39:34.595031,2023-08-23 14:39:35.314432,0 days 00:00:00.719401,2.8535285796821414e-06,,,gblinear,XGBoost,0.3585183240079859,,,,,,,0.0001344063131062641,,,,,,,,,,,,,,,,,,,,0.8116606363926919,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.39249241151375613,2023-08-23 14:39:34.597293,2023-08-23 14:41:47.935269,0 days 00:02:13.337976,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,adam,1.0,70.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.3573487031700288,2023-08-23 14:39:34.600584,2023-08-23 14:39:42.271077,0 days 00:00:07.670493,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14892457601488454,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.3919693258067952,2023-08-23 14:39:34.605293,2023-08-23 14:39:36.433566,0 days 00:00:01.828273,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,70.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.3573487031700288,2023-08-23 14:39:34.864628,2023-08-23 14:39:44.067221,0 days 00:00:09.202593,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043635643174840116,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.549382016967334,2023-08-23 14:39:35.404559,2023-08-23 14:39:35.692705,0 days 00:00:00.288146,,,,,DecisionTreeClassifier,,gini,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.3573487031700288,2023-08-23 14:39:35.797097,2023-08-23 14:39:36.508970,0 days 00:00:00.711873,0.0005848090244898826,,,gblinear,XGBoost,0.556254278276578,,,,,,,1.096710532674201e-07,,,,,,,,,,,,,,,,,,,,0.7449831657727328,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.3651589595375722,2023-08-23 14:39:36.510138,2023-08-23 14:39:37.454136,0 days 00:00:00.943998,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,26.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
