,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.40116561018502384,2023-08-23 14:46:39.448660,2023-08-23 14:46:39.550146,0 days 00:00:00.101486,1.5141786996964544e-06,,,gblinear,XGBoost,0.450365773188786,,,,,,,2.0219599359035994e-08,,,,,,,,,,,,,,,,,,,,0.44504566764874787,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5517269444677704,2023-08-23 14:46:39.451836,2023-08-23 14:46:41.204679,0 days 00:00:01.752843,,0.4,3.0,,LightGBM,,,,,0.7000000000000001,,,,6.808452821629456e-05,0.3315565454700401,,50.0,,,,,,,,,,187.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.3573487031700288,2023-08-23 14:46:39.457361,2023-08-23 14:46:40.506704,0 days 00:00:01.049343,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,lbfgs,1.0,90.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5222677500024994,2023-08-23 14:46:39.461492,2023-08-23 14:46:40.008066,0 days 00:00:00.546574,0.0738924385620405,,,dart,XGBoost,0.6452980133837252,,,1.9396328493831364e-06,,1.3532938507447666e-06,lossguide,6.015215467607663e-08,,,9.0,,8.0,,,,,,,,tree,,4.852855417533983e-05,,,weighted,0.00021483626437807297,0.296394297412184,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.3573487031700288,2023-08-23 14:46:39.464893,2023-08-23 14:46:48.156329,0 days 00:00:08.691436,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1582517848845104,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.37558775966079727,2023-08-23 14:46:39.465607,2023-08-23 14:46:39.894194,0 days 00:00:00.428587,,,,,DecisionTreeClassifier,,log_loss,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.50547419269656,2023-08-23 14:46:39.470049,2023-08-23 14:46:40.219929,0 days 00:00:00.749880,,0.7000000000000001,1.0,,LightGBM,,,,,0.5,,,,0.001546685517210596,2.5253959355937074e-08,,100.0,,,,,,,,,,8.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.3573487031700288,2023-08-23 14:46:39.475958,2023-08-23 14:46:41.746326,0 days 00:00:02.270368,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,57.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.3573487031700288,2023-08-23 14:46:39.659092,2023-08-23 14:46:39.756820,0 days 00:00:00.097728,1.583777029095643e-07,,,gblinear,XGBoost,0.32923839772551444,,,,,,,0.004678427548409701,,,,,,,,,,,,,,,,,,,,0.5140424692744292,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.4081075468161948,2023-08-23 14:46:39.846572,2023-08-23 14:46:43.957599,0 days 00:00:04.111027,,,,,MLPClassifier,,,,,,,,,,,,,,relu,adam,3.0,20.0,10.0,20.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.3596554199569275,2023-08-23 14:46:40.098359,2023-08-23 14:46:50.218185,0 days 00:00:10.119826,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.923327422700847,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.3573487031700288,2023-08-23 14:46:40.099414,2023-08-23 14:46:48.628714,0 days 00:00:08.529300,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7778324753681697,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.3573487031700288,2023-08-23 14:46:40.291675,2023-08-23 14:46:46.467857,0 days 00:00:06.176182,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,adam,2.0,80.0,80.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5330460301932687,2023-08-23 14:46:40.577819,2023-08-23 14:46:41.923714,0 days 00:00:01.345895,,0.9,1.0,,LightGBM,,,,,0.6000000000000001,,,,8.83481098094665e-07,1.5565042210916238e-06,,40.0,,,,,,,,,,32.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.4660726186656135,2023-08-23 14:46:41.307825,2023-08-23 14:46:41.484335,0 days 00:00:00.176510,0.00022983247018943414,,,gbtree,XGBoost,0.4949435930711082,,,0.275130443586035,,5.7527939731532767e-08,lossguide,2.97052473644348e-06,,,3.0,,4.0,,,,,,,,,,,,,,,0.8921125828135419,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.3573487031700288,2023-08-23 14:46:41.584840,2023-08-23 14:46:49.068104,0 days 00:00:07.483264,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012014166100151309,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.3573487031700288,2023-08-23 14:46:41.852993,2023-08-23 14:46:48.713014,0 days 00:00:06.860021,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22602094168548925,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.3596554199569275,2023-08-23 14:46:42.008619,2023-08-23 14:47:00.743366,0 days 00:00:18.734747,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.97533693814225,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.556632494563529,2023-08-23 14:46:44.062687,2023-08-23 14:46:48.482706,0 days 00:00:04.420019,,1.0,3.0,,LightGBM,,,,,0.7000000000000001,,,,5.12469588985919e-07,0.0405261838361826,,30.0,,,,,,,,,,205.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5434863523573201,2023-08-23 14:46:46.548916,2023-08-23 14:46:51.202487,0 days 00:00:04.653571,,1.0,3.0,,LightGBM,,,,,0.7000000000000001,,,,4.0243359585350036e-07,0.9864641755476599,,30.0,,,,,,,,,,200.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
