,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5885757525899207,2023-08-23 16:43:50.777029,2023-08-23 17:20:49.873527,0 days 00:36:59.096498,,,,,MLPClassifier,,,,,,,,,,,,,,identity,sgd,3.0,100.0,90.0,40.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.4353292058018675,2023-08-23 16:43:50.782256,2023-08-23 16:45:08.914541,0 days 00:01:18.132285,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09122861038680416,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7043701630811341,2023-08-23 16:43:50.786630,2023-08-23 16:43:52.444765,0 days 00:00:01.658135,0.00015638362375925753,,,gbtree,XGBoost,0.608697869371017,,,1.63352024675768e-05,,0.0013843651249498446,depthwise,0.11555791212615683,,,7.0,,9.0,,,,,,,,,,,,,,,0.5400921039749044,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6174288686064291,2023-08-23 16:43:50.792598,2023-08-23 16:43:51.444676,0 days 00:00:00.652078,,,,,DecisionTreeClassifier,,entropy,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5884942601466621,2023-08-23 16:43:50.800352,2023-08-23 16:47:51.271532,0 days 00:04:00.471180,,,,,MLPClassifier,,,,,,,,,,,,,,identity,lbfgs,2.0,20.0,70.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6967493174929991,2023-08-23 16:43:50.809781,2023-08-23 16:43:52.565411,0 days 00:00:01.755630,5.874116283356129e-07,,,dart,XGBoost,0.7520313951801136,,,0.00012718312528532045,,1.568247817883854e-07,lossguide,4.942888284468634e-08,,,5.0,,8.0,,,,,,,,forest,,6.211015526252063e-07,,,weighted,0.0009641594337463174,0.9785946302280324,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7324911732874404,2023-08-23 16:43:50.821202,2023-08-23 16:43:59.691911,0 days 00:00:08.870709,,0.7000000000000001,2.0,,LightGBM,,,,,0.9,,,,3.4898912033270426e-06,0.0004855119294447998,,40.0,,,,,,,,,,228.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6942179785335499,2023-08-23 16:43:50.859965,2023-08-23 17:11:09.319932,0 days 00:27:18.459967,,,,,MLPClassifier,,,,,,,,,,,,,,relu,adam,3.0,10.0,30.0,100.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.3358178053830228,2023-08-23 16:43:51.560683,2023-08-23 16:52:35.687229,0 days 00:08:44.126546,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,sgd,3.0,90.0,40.0,60.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6255552221114652,2023-08-23 16:43:52.520814,2023-08-23 16:43:53.846870,0 days 00:00:01.326056,,,,,DecisionTreeClassifier,,entropy,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
