,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6342470901146458,2023-08-23 15:52:24.395952,2023-08-23 15:52:51.482737,0 days 00:00:27.086785,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,92.0,23.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.3358178053830228,2023-08-23 15:52:24.396256,2023-08-23 15:53:49.608539,0 days 00:01:25.212283,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001887088374640477,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.3358178053830228,2023-08-23 15:52:24.397419,2023-08-23 15:54:08.816954,0 days 00:01:44.419535,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,sgd,2.0,80.0,80.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6659102208175611,2023-08-23 15:52:24.400770,2023-08-23 15:52:26.406387,0 days 00:00:02.005617,,0.6000000000000001,1.0,,LightGBM,,,,,1.0,,,,3.8574273038908455e-08,1.5390094814335475e-08,,60.0,,,,,,,,,,51.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5864409968484421,2023-08-23 15:52:24.404371,2023-08-23 15:52:25.509184,0 days 00:00:01.104813,,,,,DecisionTreeClassifier,,entropy,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5694530539570144,2023-08-23 15:52:24.404815,2023-08-23 15:52:25.623269,0 days 00:00:01.218454,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,18.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.590371727458025,2023-08-23 15:52:24.409103,2023-08-23 15:52:29.166221,0 days 00:00:04.757118,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,98.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.3358178053830228,2023-08-23 15:52:24.409816,2023-08-23 15:53:53.529100,0 days 00:01:29.119284,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002890208296090736,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5268676133599541,2023-08-23 15:52:25.609879,2023-08-23 15:52:58.819068,0 days 00:00:33.209189,,,,,MLPClassifier,,,,,,,,,,,,,,identity,lbfgs,4.0,90.0,70.0,60.0,60.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.621113387662461,2023-08-23 15:52:25.728651,2023-08-23 15:52:38.737941,0 days 00:00:13.009290,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,80.0,8.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
