,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.3358178053830228,2023-08-23 16:07:31.987129,2023-08-23 16:07:33.445602,0 days 00:00:01.458473,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,lbfgs,2.0,30.0,70.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.4872855485966133,2023-08-23 16:07:31.990518,2023-08-23 16:08:35.890746,0 days 00:01:03.900228,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00995469334823,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.4836189035909778,2023-08-23 16:07:31.993420,2023-08-23 16:08:43.484232,0 days 00:01:11.490812,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.98763614936365,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7119419586355791,2023-08-23 16:07:31.994685,2023-08-23 16:07:32.696611,0 days 00:00:00.701926,3.803756662603044e-06,,,dart,XGBoost,0.718340620038183,,,0.004231004671017308,,0.07438217313395873,lossguide,0.36130070373721196,,,7.0,,4.0,,,,,,,,tree,,0.06569517264240382,,,weighted,0.004297412397048292,0.32321725715752037,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.36105537143186095,2023-08-23 16:07:32.001691,2023-08-23 16:08:41.818865,0 days 00:01:09.817174,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07009668397185975,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6310578760003062,2023-08-23 16:07:32.011768,2023-08-23 16:07:32.346794,0 days 00:00:00.335026,,,,,DecisionTreeClassifier,,gini,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.3358178053830228,2023-08-23 16:07:32.015599,2023-08-23 16:08:57.026275,0 days 00:01:25.010676,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02662299377267238,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7022927278078426,2023-08-23 16:07:32.022150,2023-08-23 16:07:33.264655,0 days 00:00:01.242505,5.92386891036294e-06,,,gbtree,XGBoost,0.838958382340018,,,0.0002361747210690051,,6.141026555135384e-08,lossguide,1.6246874705021222e-07,,,9.0,,2.0,,,,,,,,,,,,,,,0.6339104223276517,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7213769917440889,2023-08-23 16:07:32.448506,2023-08-23 16:07:34.925667,0 days 00:00:02.477161,,0.7000000000000001,1.0,,LightGBM,,,,,1.0,,,,5.291982919747217e-05,1.849050340909236e-08,,70.0,,,,,,,,,,70.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.3358178053830228,2023-08-23 16:07:32.800887,2023-08-23 16:07:32.868494,0 days 00:00:00.067607,0.0423314052765565,,,gblinear,XGBoost,0.8626998665781362,,,,,,,0.0003823454125902102,,,,,,,,,,,,,,,,,,,,0.4522224330590908,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
