,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6426398005036529,2023-08-23 16:27:54.334883,2023-08-23 16:27:57.769084,0 days 00:00:03.434201,,0.5,1.0,,LightGBM,,,,,0.8,,,,1.8922324492352623e-07,5.1455144360049543e-05,,70.0,,,,,,,,,,91.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.4602268082063299,2023-08-23 16:27:54.337731,2023-08-23 16:29:38.644888,0 days 00:01:44.307157,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,sgd,1.0,90.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6481805631416198,2023-08-23 16:27:54.341608,2023-08-23 16:28:13.185536,0 days 00:00:18.843928,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,62.0,16.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6482938364999346,2023-08-23 16:27:54.344633,2023-08-23 16:27:57.239486,0 days 00:00:02.894853,,0.5,2.0,,LightGBM,,,,,1.0,,,,0.18563839350906142,0.00022943471537253648,,60.0,,,,,,,,,,59.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6119464407782149,2023-08-23 16:27:54.367553,2023-08-23 16:27:55.431542,0 days 00:00:01.063989,,,,,DecisionTreeClassifier,,gini,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.3455732354141167,2023-08-23 16:27:54.371126,2023-08-23 16:28:43.231461,0 days 00:00:48.860335,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,sgd,3.0,50.0,10.0,60.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6499384898766948,2023-08-23 16:27:54.375612,2023-08-23 16:28:13.496176,0 days 00:00:19.120564,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,61.0,15.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6028375741462013,2023-08-23 16:27:54.383904,2023-08-23 16:27:55.760419,0 days 00:00:01.376515,,,,,DecisionTreeClassifier,,entropy,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6443959186733776,2023-08-23 16:27:55.642318,2023-08-23 16:28:04.376578,0 days 00:00:08.734260,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,54.0,6.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.594249657981091,2023-08-23 16:27:55.862920,2023-08-23 16:28:01.659930,0 days 00:00:05.797010,5.712055406770849e-07,,,dart,XGBoost,0.9273304160795992,,,0.0021293305385734064,,9.510139213140617e-07,lossguide,0.0003121663342730188,,,5.0,,9.0,,,,,,,,forest,,0.00025528947107729465,,,uniform,0.05911409011698942,0.9903700706180036,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6600289810733877,2023-08-23 16:27:57.344887,2023-08-23 16:28:09.385117,0 days 00:00:12.040230,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,53.0,11.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.46769727621203616,2023-08-23 16:27:57.873880,2023-08-23 16:28:48.940375,0 days 00:00:51.066495,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7911314750919816,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5698864971986245,2023-08-23 16:28:01.780776,2023-08-23 16:28:03.172273,0 days 00:00:01.391497,,,,,DecisionTreeClassifier,,gini,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.3358178053830228,2023-08-23 16:28:03.320918,2023-08-23 16:28:37.719008,0 days 00:00:34.398090,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012809200975503289,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6380747702797585,2023-08-23 16:28:04.475483,2023-08-23 16:28:06.873901,0 days 00:00:02.398418,,0.4,2.0,,LightGBM,,,,,0.8,,,,1.0679323772595428e-05,5.7589012094062325e-08,,90.0,,,,,,,,,,69.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5803009064573403,2023-08-23 16:28:07.005479,2023-08-23 16:32:43.716089,0 days 00:04:36.710610,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,adam,1.0,100.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6125663815165168,2023-08-23 16:28:09.461000,2023-08-23 16:28:10.200891,0 days 00:00:00.739891,,,,,DecisionTreeClassifier,,log_loss,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6172624977210575,2023-08-23 16:28:10.338378,2023-08-23 16:28:15.091266,0 days 00:00:04.752888,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,14.0,31.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.42398885103422296,2023-08-23 16:28:13.322289,2023-08-23 16:30:59.532339,0 days 00:02:46.210050,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,sgd,1.0,80.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6484422706596483,2023-08-23 16:28:13.612012,2023-08-23 16:28:20.899098,0 days 00:00:07.287086,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,24.0,16.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6340008130608579,2023-08-23 16:28:15.228671,2023-08-23 16:43:02.500707,0 days 00:14:47.272036,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,adam,2.0,20.0,50.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6384118242295369,2023-08-23 16:28:21.004959,2023-08-23 16:29:49.180931,0 days 00:01:28.175972,,,,,MLPClassifier,,,,,,,,,,,,,,relu,lbfgs,2.0,10.0,10.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5669816113166382,2023-08-23 16:28:37.826131,2023-08-23 16:43:15.994771,0 days 00:14:38.168640,,,,,MLPClassifier,,,,,,,,,,,,,,identity,adam,4.0,80.0,90.0,80.0,40.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6070028975565945,2023-08-23 16:28:43.376543,2023-08-23 16:28:52.924560,0 days 00:00:09.548017,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,98.0,3.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
