,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.649156626506024,2023-08-23 12:55:43.128641,2023-08-23 12:55:43.336825,0 days 00:00:00.208184,,,,,DecisionTreeClassifier,,gini,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6985507246376812,2023-08-23 12:55:43.129289,2023-08-23 12:55:43.485622,0 days 00:00:00.356333,1.7028748431836115e-07,,,dart,XGBoost,0.4338732769562692,,,0.0258754963306027,,0.36554945308236514,lossguide,3.9656207762800925e-07,,,7.0,,9.0,,,,,,,,tree,,2.901270322137417e-08,,,uniform,1.0506990561106692e-06,0.5252357361928797,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6146924949719488,2023-08-23 12:55:43.130519,2023-08-23 13:29:21.217675,0 days 00:33:38.087156,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86539910.07436067,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6015325670498085,2023-08-23 12:55:43.132896,2023-08-23 13:47:59.818186,0 days 00:52:16.685290,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66273004.80585607,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.3696969696969697,2023-08-23 12:55:43.133535,2023-08-23 12:55:43.220389,0 days 00:00:00.086854,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2971554225075606e-06,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7159663865546219,2023-08-23 12:55:43.134203,2023-08-23 12:55:43.399462,0 days 00:00:00.265259,4.755384207185981e-05,,,gbtree,XGBoost,0.3903605600791668,,,0.00015176331865675175,,0.19598514222290087,lossguide,0.00028277367958366153,,,9.0,,4.0,,,,,,,,,,,,,,,0.34359469820263766,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7765625,2023-08-23 12:55:43.138517,2023-08-23 12:55:44.041549,0 days 00:00:00.903032,,0.6000000000000001,3.0,,LightGBM,,,,,0.8,,,,6.587249977685285e-07,0.0010885589112801647,,30.0,,,,,,,,,,46.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5978982849211857,2023-08-23 12:55:43.139072,2023-08-23 12:55:43.286195,0 days 00:00:00.147123,,,,,DecisionTreeClassifier,,gini,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7128205128205128,2023-08-23 12:55:43.264362,2023-08-23 12:55:44.592414,0 days 00:00:01.328052,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,42.0,16.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7244627612599353,2023-08-23 12:55:43.389328,2023-08-23 12:55:45.383934,0 days 00:00:01.994606,,0.9,3.0,,LightGBM,,,,,0.9,,,,0.740070099266795,0.5942865518359928,,10.0,,,,,,,,,,39.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6559398496240602,2023-08-23 12:55:43.394960,2023-08-23 12:55:43.891077,0 days 00:00:00.496117,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,20.0,12.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.655324790101635,2023-08-23 12:55:43.448789,2023-08-23 12:55:44.252937,0 days 00:00:00.804148,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,63.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.3696969696969697,2023-08-23 12:55:43.537249,2023-08-23 12:55:43.582329,0 days 00:00:00.045080,0.15719285211544326,,,gblinear,XGBoost,0.5227677917901363,,,,,,,0.25929965930441,,,,,,,,,,,,,,,,,,,,0.5936114309787797,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.3696969696969697,2023-08-23 12:55:43.625596,2023-08-23 12:55:43.685070,0 days 00:00:00.059474,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054578400839727266,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.7238562091503268,2023-08-23 12:55:43.731167,2023-08-23 12:55:44.479142,0 days 00:00:00.747975,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,26.0,25.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.3696969696969697,2023-08-23 12:55:43.936539,2023-08-23 12:56:05.448439,0 days 00:00:21.511900,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,adam,2.0,50.0,80.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.7063331988705123,2023-08-23 12:55:44.144807,2023-08-23 12:55:46.689999,0 days 00:00:02.545192,,1.0,1.0,,LightGBM,,,,,0.5,,,,0.00697022587203514,1.9982602462771053e-07,,10.0,,,,,,,,,,66.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.7765625,2023-08-23 12:55:44.366984,2023-08-23 12:55:45.191036,0 days 00:00:00.824052,,0.6000000000000001,3.0,,LightGBM,,,,,0.8,,,,6.119211245696042e-07,0.0014646373528512187,,30.0,,,,,,,,,,38.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.7765625,2023-08-23 12:55:44.572090,2023-08-23 12:55:45.778140,0 days 00:00:01.206050,,0.6000000000000001,3.0,,LightGBM,,,,,0.8,,,,9.510086026360216e-07,0.0009713392448171885,,30.0,,,,,,,,,,34.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.7765625,2023-08-23 12:55:44.687634,2023-08-23 12:55:45.869344,0 days 00:00:01.181710,,0.6000000000000001,3.0,,LightGBM,,,,,0.8,,,,4.682050765286651e-07,0.002313365522036224,,30.0,,,,,,,,,,35.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.7765625,2023-08-23 12:55:45.288049,2023-08-23 12:55:46.367042,0 days 00:00:01.078993,,0.6000000000000001,3.0,,LightGBM,,,,,0.8,,,,4.148796447465358e-07,0.0005638032772672476,,30.0,,,,,,,,,,32.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.7097288676236045,2023-08-23 12:55:45.508793,2023-08-23 12:55:46.473801,0 days 00:00:00.965008,,0.5,3.0,,LightGBM,,,,,0.7000000000000001,,,,1.1420857590166237e-07,0.0003880851682834545,,30.0,,,,,,,,,,37.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5636363636363636,2023-08-23 12:55:45.959824,2023-08-23 12:58:56.570754,0 days 00:03:10.610930,,,,,MLPClassifier,,,,,,,,,,,,,,identity,adam,4.0,80.0,40.0,100.0,50.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6095383054287165,2023-08-23 12:55:45.991049,2023-08-23 12:57:07.331665,0 days 00:01:21.340616,,,,,MLPClassifier,,,,,,,,,,,,,,relu,lbfgs,1.0,40.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
