,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6518412242945959,2023-08-23 12:12:28.648288,2023-08-23 12:12:28.803709,0 days 00:00:00.155421,,,,,DecisionTreeClassifier,,gini,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.3696969696969697,2023-08-23 12:12:28.649015,2023-08-23 12:12:44.477053,0 days 00:00:15.828038,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,adam,2.0,100.0,40.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7765625,2023-08-23 12:12:28.652023,2023-08-23 12:12:29.991871,0 days 00:00:01.339848,,1.0,2.0,,LightGBM,,,,,1.0,,,,6.798963553819252e-07,1.1422011716899447e-06,,20.0,,,,,,,,,,21.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6663750364537766,2023-08-23 12:12:28.652474,2023-08-23 12:12:29.116683,0 days 00:00:00.464209,,0.4,3.0,,LightGBM,,,,,0.6000000000000001,,,,3.1214937051072683e-06,0.0003995298588075996,,80.0,,,,,,,,,,188.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.606060606060606,2023-08-23 12:12:28.654217,2023-08-23 12:12:28.708438,0 days 00:00:00.054221,,,,,DecisionTreeClassifier,,gini,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6095383054287165,2023-08-23 12:12:28.655495,2023-08-23 12:12:29.393929,0 days 00:00:00.738434,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,22.0,12.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7674735102556626,2023-08-23 12:12:28.656702,2023-08-23 12:12:29.535306,0 days 00:00:00.878604,,0.8,1.0,,LightGBM,,,,,0.6000000000000001,,,,6.757405220150642e-07,0.0013629299349473198,,60.0,,,,,,,,,,54.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7948717948717948,2023-08-23 12:12:28.657369,2023-08-23 12:12:30.633881,0 days 00:00:01.976512,,1.0,2.0,,LightGBM,,,,,0.6000000000000001,,,,0.05769453194297437,0.00250518132822882,,20.0,,,,,,,,,,236.0,,,,,,,,,COMPLETE,1.0,0.8076923076923077,0.7880289744567289,0.8128364389233955,0.7948717948717948,0.6744186046511628,0.8285714285714286,0.7435897435897435,0.9016393442622951,0.7971014492753623,0.8461538461538461,0.555719557195572,0.5508615049073065,0.5556821057960011,0.5433511579267938,0.40458015267175573,0.5555555555555556,0.46819787985865724,0.6971428571428572,0.5558086560364465,0.6185044359949303
8,8,0.3696969696969697,2023-08-23 12:12:28.794233,2023-08-23 12:12:29.665993,0 days 00:00:00.871760,,,,,MLPClassifier,,,,,,,,,,,,,,identity,sgd,1.0,40.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6767919799498747,2023-08-23 12:12:28.876721,2023-08-23 12:12:28.979552,0 days 00:00:00.102831,,,,,DecisionTreeClassifier,,entropy,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
