,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6601307189542484,2023-08-23 12:16:48.802306,2023-08-23 12:16:50.818839,0 days 00:00:02.016533,,0.4,2.0,,LightGBM,,,,,0.6000000000000001,,,,1.4914128012656304e-06,7.757883971483545e-05,,10.0,,,,,,,,,,200.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7289125221561881,2023-08-23 12:16:48.804856,2023-08-23 12:16:49.169037,0 days 00:00:00.364181,,0.4,3.0,,LightGBM,,,,,0.8,,,,0.0015298403280453701,0.8601014326103585,,100.0,,,,,,,,,,147.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6636556261849003,2023-08-23 12:16:48.807599,2023-08-23 12:16:50.403915,0 days 00:00:01.596316,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,64.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6685514547136835,2023-08-23 12:16:48.810322,2023-08-23 12:16:49.297772,0 days 00:00:00.487450,,0.6000000000000001,3.0,,LightGBM,,,,,0.7000000000000001,,,,0.0005089812747198257,0.0001772063106471368,,90.0,,,,,,,,,,63.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7026143790849673,2023-08-23 12:16:48.812776,2023-08-23 12:21:16.169505,0 days 00:04:27.356729,,,,,MLPClassifier,,,,,,,,,,,,,,relu,adam,2.0,60.0,100.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6254211688160799,2023-08-23 12:16:48.817506,2023-08-23 12:16:48.911096,0 days 00:00:00.093590,,,,,DecisionTreeClassifier,,entropy,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.3696969696969697,2023-08-23 12:16:48.822358,2023-08-23 12:16:58.613246,0 days 00:00:09.790888,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,sgd,1.0,90.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.3696969696969697,2023-08-23 12:16:48.836176,2023-08-23 12:17:04.039562,0 days 00:00:15.203386,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,adam,1.0,80.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6840277777777779,2023-08-23 12:16:49.040367,2023-08-23 12:16:49.667879,0 days 00:00:00.627512,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,24.0,6.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6614583333333333,2023-08-23 12:16:49.243938,2023-08-23 12:16:51.277114,0 days 00:00:02.033176,0.04881067432874048,,,dart,XGBoost,0.7027956330455993,,,0.11195954531757257,,0.14263921507660954,depthwise,0.6232792278458984,,,3.0,,8.0,,,,,,,,tree,,0.0036419666983956247,,,weighted,0.091331720288542,0.6767369829372096,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
