,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5168408826945412,2023-08-23 12:36:30.449328,2023-08-23 12:36:30.708626,0 days 00:00:00.259298,,,,,DecisionTreeClassifier,,entropy,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.4871794871794872,2023-08-23 12:36:30.450799,2023-08-23 12:36:30.564927,0 days 00:00:00.114128,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214274163.59717795,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6142355889724311,2023-08-23 12:36:30.452949,2023-08-23 12:36:31.283981,0 days 00:00:00.831032,,1.0,2.0,,LightGBM,,,,,1.0,,,,3.094602848532168e-05,7.83632616462209e-08,,90.0,,,,,,,,,,105.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6285714285714286,2023-08-23 12:36:30.457567,2023-08-23 12:36:30.783328,0 days 00:00:00.325761,0.00020321935856596295,,,dart,XGBoost,0.6055240278588712,,,0.0028948667635242432,,0.4027564346105389,lossguide,0.02700905783504084,,,5.0,,6.0,,,,,,,,forest,,1.1865661465432969e-05,,,weighted,0.021211603546675787,0.8252351280383279,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.3696969696969697,2023-08-23 12:36:30.462139,2023-08-23 12:36:30.493575,0 days 00:00:00.031436,2.4480742998382237e-05,,,gblinear,XGBoost,0.4346469036561156,,,,,,,0.07613170508112976,,,,,,,,,,,,,,,,,,,,0.5967080892340801,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.3696969696969697,2023-08-23 12:36:30.465043,2023-08-23 12:36:30.609398,0 days 00:00:00.144355,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00208984630942547,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.3696969696969697,2023-08-23 12:36:30.465920,2023-08-23 12:36:30.608745,0 days 00:00:00.142825,5.1176223620290693e-05,,,gblinear,XGBoost,0.44741723029924246,,,,,,,0.45798499148253013,,,,,,,,,,,,,,,,,,,,0.8207849904452684,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5933834586466165,2023-08-23 12:36:30.470683,2023-08-23 12:36:31.386520,0 days 00:00:00.915837,,0.7000000000000001,2.0,,LightGBM,,,,,0.6000000000000001,,,,0.06117622125506227,0.1250438527462437,,70.0,,,,,,,,,,105.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6257575757575758,2023-08-23 12:36:30.556645,2023-08-23 12:36:30.834359,0 days 00:00:00.277714,,,,,DecisionTreeClassifier,,gini,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5360364826013682,2023-08-23 12:36:30.694238,2023-08-23 12:36:30.885964,0 days 00:00:00.191726,,,,,DecisionTreeClassifier,,entropy,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6102564102564102,2023-08-23 12:36:30.699626,2023-08-23 12:36:31.709550,0 days 00:00:01.009924,,0.7000000000000001,3.0,,LightGBM,,,,,0.7000000000000001,,,,0.0027195232532208147,3.334094653813454e-07,,30.0,,,,,,,,,,51.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5772776841479133,2023-08-23 12:36:30.703641,2023-08-23 12:36:33.871126,0 days 00:00:03.167485,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,82.0,21.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.3696969696969697,2023-08-23 12:36:30.752197,2023-08-23 12:36:32.182818,0 days 00:00:01.430621,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,lbfgs,3.0,80.0,50.0,70.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.3696969696969697,2023-08-23 12:36:30.830966,2023-08-23 12:36:32.240164,0 days 00:00:01.409198,,,,,MLPClassifier,,,,,,,,,,,,,,identity,adam,1.0,10.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.3696969696969697,2023-08-23 12:36:30.952675,2023-08-23 12:36:38.149091,0 days 00:00:07.196416,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,adam,2.0,40.0,50.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5516791979949874,2023-08-23 12:36:30.965034,2023-08-23 12:36:31.065806,0 days 00:00:00.100772,,,,,DecisionTreeClassifier,,log_loss,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.4674659672786311,2023-08-23 12:36:31.132900,2023-08-23 12:36:35.982044,0 days 00:00:04.849144,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110319.52639395541,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.3696969696969697,2023-08-23 12:36:31.384449,2023-08-23 12:36:32.097671,0 days 00:00:00.713222,,,,,MLPClassifier,,,,,,,,,,,,,,identity,sgd,1.0,10.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
