,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6471676775984373,2023-08-23 11:17:30.515345,2023-08-23 11:17:30.577202,0 days 00:00:00.061857,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,19.0,13.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.3696969696969697,2023-08-23 11:17:30.619168,2023-08-23 11:17:30.645584,0 days 00:00:00.026416,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20968129180888745,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6939624556062911,2023-08-23 11:17:30.687474,2023-08-23 11:17:32.539918,0 days 00:00:01.852444,,1.0,2.0,,LightGBM,,,,,0.6000000000000001,,,,0.4124772854851205,0.00109381261448275,,10.0,,,,,,,,,,232.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6323464427750773,2023-08-23 11:17:32.577717,2023-08-23 11:17:32.615291,0 days 00:00:00.037574,0.5223196752385058,,,dart,XGBoost,0.7651647489940063,,,7.653400280022968e-05,,1.105805632005312e-08,depthwise,3.245166834591025e-07,,,5.0,,4.0,,,,,,,,forest,,4.130586355937543e-08,,,uniform,2.4155570829986806e-05,0.33587177582531136,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6249653259361997,2023-08-23 11:17:32.652959,2023-08-23 11:17:32.662391,0 days 00:00:00.009432,,,,,DecisionTreeClassifier,,log_loss,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5987905327911583,2023-08-23 11:17:32.697981,2023-08-23 11:17:32.712477,0 days 00:00:00.014496,2.2139681633872877e-06,,,gbtree,XGBoost,0.5612491303394764,,,0.0044674950906576135,,0.0007249726254654493,lossguide,5.2551053866591996e-08,,,3.0,,6.0,,,,,,,,,,,,,,,0.48011090519305305,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6985507246376812,2023-08-23 11:17:32.748807,2023-08-23 11:17:32.959993,0 days 00:00:00.211186,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,74.0,14.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7327027860594222,2023-08-23 11:17:32.999676,2023-08-23 11:17:33.050448,0 days 00:00:00.050772,0.01405921622166347,,,dart,XGBoost,0.4698023429214055,,,2.3674913392186376e-07,,4.377362458057781e-08,lossguide,0.004096382378733372,,,7.0,,4.0,,,,,,,,tree,,2.0542052095548694e-08,,,weighted,0.00898359402846233,0.22014906386785374,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6899352318289298,2023-08-23 11:17:33.089579,2023-08-23 11:17:33.122554,0 days 00:00:00.032975,1.1811435447789176e-08,,,gbtree,XGBoost,0.4989894463728101,,,6.533076027239432e-07,,0.0003208898189942054,lossguide,8.784708709012751e-08,,,5.0,,8.0,,,,,,,,,,,,,,,0.8305041824860964,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6638515274736733,2023-08-23 11:17:33.161950,2023-08-23 11:17:33.334997,0 days 00:00:00.173047,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,67.0,9.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.3696969696969697,2023-08-23 11:17:33.373327,2023-08-23 11:17:33.590399,0 days 00:00:00.217072,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,adam,3.0,70.0,30.0,60.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6813725490196079,2023-08-23 11:17:33.652305,2023-08-23 11:17:33.942392,0 days 00:00:00.290087,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,99.0,32.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6185188856944581,2023-08-23 11:17:33.980020,2023-08-23 11:17:34.004436,0 days 00:00:00.024416,,,,,DecisionTreeClassifier,,gini,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6461553416933994,2023-08-23 11:17:34.041213,2023-08-23 11:17:34.074533,0 days 00:00:00.033320,,0.4,3.0,,LightGBM,,,,,1.0,,,,2.2153220685555182e-08,1.0090468490194298e-08,,100.0,,,,,,,,,,19.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.3696969696969697,2023-08-23 11:17:34.112037,2023-08-23 11:17:34.207325,0 days 00:00:00.095288,,,,,MLPClassifier,,,,,,,,,,,,,,relu,sgd,1.0,10.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
