,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6232935980243162,2023-08-23 15:34:48.714597,2023-08-23 15:34:49.252472,0 days 00:00:00.537875,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.618345202237923,2023-08-23 15:34:48.717864,2023-08-23 15:34:51.698196,0 days 00:00:02.980332,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,16.0,30.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6281005956444438,2023-08-23 15:34:48.721622,2023-08-23 15:34:49.019534,0 days 00:00:00.297912,4.906277708185864e-07,,,gbtree,XGBoost,0.33067514661093445,,,6.941780567962442e-07,,6.842859652683717e-06,depthwise,1.6705629662560604e-05,,,5.0,,6.0,,,,,,,,,,,,,,,0.5005436319696354,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6275131941009242,2023-08-23 15:34:48.732990,2023-08-23 15:34:50.002904,0 days 00:00:01.269914,2.984640184975001e-05,,,gbtree,XGBoost,0.9594372117036352,,,0.10138045012548086,,0.47431622651594535,depthwise,3.0799211035829893e-07,,,9.0,,3.0,,,,,,,,,,,,,,,0.9615617912417944,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6440975932230246,2023-08-23 15:34:48.742541,2023-08-23 15:35:01.725422,0 days 00:00:12.982881,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,96.0,11.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6428654438033972,2023-08-23 15:34:48.748135,2023-08-23 15:35:00.576085,0 days 00:00:11.827950,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,88.0,12.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.38489478091001506,2023-08-23 15:34:48.757302,2023-08-23 15:35:54.248699,0 days 00:01:05.491397,,,,,MLPClassifier,,,,,,,,,,,,,,identity,sgd,1.0,80.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6412394566153752,2023-08-23 15:34:48.764516,2023-08-23 15:34:49.564592,0 days 00:00:00.800076,0.04528597415924651,,,gbtree,XGBoost,0.5550447817156767,,,0.0028656198015960047,,0.012254770930722015,lossguide,0.11884092276445755,,,5.0,,2.0,,,,,,,,,,,,,,,0.4957103703983293,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.3357921744708146,2023-08-23 15:34:49.109942,2023-08-23 15:34:59.691816,0 days 00:00:10.581874,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04326159280823899,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.3357921744708146,2023-08-23 15:34:49.368409,2023-08-23 15:34:52.364639,0 days 00:00:02.996230,,,,,MLPClassifier,,,,,,,,,,,,,,relu,sgd,1.0,10.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5555035465045156,2023-08-23 15:34:49.652826,2023-08-23 15:51:37.462869,0 days 00:16:47.810043,,,,,MLPClassifier,,,,,,,,,,,,,,identity,sgd,2.0,40.0,70.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6340504266816503,2023-08-23 15:34:50.125107,2023-08-23 15:34:50.979392,0 days 00:00:00.854285,,,,,DecisionTreeClassifier,,log_loss,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6178727533708217,2023-08-23 15:34:51.087163,2023-08-23 15:34:53.056211,0 days 00:00:01.969048,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,45.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.4412301203702478,2023-08-23 15:34:51.770972,2023-08-23 15:34:51.876724,0 days 00:00:00.105752,1.0152085007396298e-05,,,gblinear,XGBoost,0.6566953903999246,,,,,,,0.0130296693716858,,,,,,,,,,,,,,,,,,,,0.9991969812146364,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.4353945923265497,2023-08-23 15:34:52.005850,2023-08-23 15:36:17.271162,0 days 00:01:25.265312,,,,,MLPClassifier,,,,,,,,,,,,,,identity,sgd,1.0,90.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.48765928652628154,2023-08-23 15:34:52.484726,2023-08-23 15:35:05.176566,0 days 00:00:12.691840,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.80878279598058,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6488033299860863,2023-08-23 15:34:53.156933,2023-08-23 15:34:55.352980,0 days 00:00:02.196047,,0.9,1.0,,LightGBM,,,,,1.0,,,,8.72437262376821e-07,0.5191189018595086,,100.0,,,,,,,,,,119.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6549776564051638,2023-08-23 15:34:55.493042,2023-08-23 15:34:57.523615,0 days 00:00:02.030573,,0.9,1.0,,LightGBM,,,,,1.0,,,,5.366107554667621e-07,0.7875477394468382,,100.0,,,,,,,,,,118.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6497067309453269,2023-08-23 15:34:57.632958,2023-08-23 15:34:59.951428,0 days 00:00:02.318470,,0.9,1.0,,LightGBM,,,,,1.0,,,,4.0307208964367027e-07,0.8588070891417118,,100.0,,,,,,,,,,116.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6538891015526529,2023-08-23 15:34:59.777613,2023-08-23 15:35:03.325179,0 days 00:00:03.547566,,0.9,1.0,,LightGBM,,,,,1.0,,,,4.4109274846515217e-07,0.5906497153169438,,100.0,,,,,,,,,,113.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.655161750713606,2023-08-23 15:35:00.050247,2023-08-23 15:35:02.997287,0 days 00:00:02.947040,,0.9,1.0,,LightGBM,,,,,1.0,,,,3.091374498518598e-07,0.41453893290251637,,100.0,,,,,,,,,,117.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
