,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5882473187533254,2023-08-23 15:07:52.247310,2023-08-23 15:07:53.725025,0 days 00:00:01.477715,,0.5,3.0,,LightGBM,,,,,0.9,,,,7.863182012733257e-06,2.173573053489722e-05,,40.0,,,,,,,,,,214.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5918166705813503,2023-08-23 15:07:52.250037,2023-08-23 15:07:52.367752,0 days 00:00:00.117715,,,,,DecisionTreeClassifier,,entropy,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.4697223314116003,2023-08-23 15:07:52.253637,2023-08-23 15:07:56.980251,0 days 00:00:04.726614,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.8717521174563,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.586229450275819,2023-08-23 15:07:52.256557,2023-08-23 15:07:52.787745,0 days 00:00:00.531188,4.37824565499993e-06,,,dart,XGBoost,0.9042949646194358,,,1.3802230386507956e-06,,0.0012057635046754526,lossguide,0.0025120200741897657,,,7.0,,4.0,,,,,,,,forest,,4.1546870427814954e-05,,,uniform,4.221513365250123e-05,0.7494955480947314,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.3357921744708146,2023-08-23 15:07:52.262114,2023-08-23 15:07:52.313401,0 days 00:00:00.051287,3.6000934796230552e-06,,,gblinear,XGBoost,0.2689862072462254,,,,,,,0.2564535024751496,,,,,,,,,,,,,,,,,,,,0.8144617588856602,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.3357921744708146,2023-08-23 15:07:52.265286,2023-08-23 15:07:57.050594,0 days 00:00:04.785308,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.107999492268013,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5418611301453012,2023-08-23 15:07:52.266012,2023-08-23 15:07:52.710101,0 days 00:00:00.444089,,,,,DecisionTreeClassifier,,entropy,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5611582195282696,2023-08-23 15:07:52.271689,2023-08-23 15:07:52.471541,0 days 00:00:00.199852,,,,,DecisionTreeClassifier,,log_loss,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5825331036005194,2023-08-23 15:07:52.359968,2023-08-23 15:07:54.053201,0 days 00:00:01.693233,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,38.0,18.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.3357921744708146,2023-08-23 15:07:52.418141,2023-08-23 15:07:59.576915,0 days 00:00:07.158774,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010018271538084964,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
