,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.46157738240994034,2023-08-23 15:13:12.034206,2023-08-23 15:13:20.651614,0 days 00:00:08.617408,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.43919133806642,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6409312763340399,2023-08-23 15:13:12.035254,2023-08-23 15:13:15.570042,0 days 00:00:03.534788,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,40.0,17.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6431443720864027,2023-08-23 15:13:12.036108,2023-08-23 15:13:17.322457,0 days 00:00:05.286349,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,73.0,12.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6178297884537531,2023-08-23 15:13:12.036461,2023-08-23 15:13:12.137108,0 days 00:00:00.100647,,,,,DecisionTreeClassifier,,gini,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.3357921744708146,2023-08-23 15:13:12.037048,2023-08-23 15:13:56.968888,0 days 00:00:44.931840,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,sgd,1.0,70.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6320226303558132,2023-08-23 15:13:12.038116,2023-08-23 15:13:12.349904,0 days 00:00:00.311788,,,,,DecisionTreeClassifier,,log_loss,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.54477686119793,2023-08-23 15:13:12.040648,2023-08-23 15:13:12.219522,0 days 00:00:00.178874,1.1117890246544424e-08,,,gblinear,XGBoost,0.5705176638779759,,,,,,,8.597379908174228e-08,,,,,,,,,,,,,,,,,,,,0.9697667476068055,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6314615286633748,2023-08-23 15:13:12.041154,2023-08-23 15:13:12.551421,0 days 00:00:00.510267,4.5992260859076885e-08,,,dart,XGBoost,0.5205832918416913,,,0.0008638869988119379,,0.0001274229831562003,lossguide,2.5835184300995628e-08,,,9.0,,10.0,,,,,,,,tree,,0.09593162776811763,,,uniform,0.10729080747484468,0.3848559290171582,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.34716146694680095,2023-08-23 15:13:12.305240,2023-08-23 15:13:18.822393,0 days 00:00:06.517153,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04959297213491551,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6431628542445522,2023-08-23 15:13:12.308753,2023-08-23 15:13:18.627212,0 days 00:00:06.318459,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,76.0,18.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
