,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.3357921744708146,2023-08-23 15:25:11.919312,2023-08-23 15:25:13.890602,0 days 00:00:01.971290,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,lbfgs,2.0,80.0,60.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5494366836268596,2023-08-23 15:25:11.922227,2023-08-23 15:25:12.401072,0 days 00:00:00.478845,,,,,DecisionTreeClassifier,,log_loss,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.3357921744708146,2023-08-23 15:25:11.924641,2023-08-23 15:25:19.529102,0 days 00:00:07.604461,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7773902249262516,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5855287097008951,2023-08-23 15:25:11.927686,2023-08-23 15:25:13.226649,0 days 00:00:01.298963,,0.6000000000000001,3.0,,LightGBM,,,,,0.4,,,,0.000601133549254756,3.6714633300516737e-07,,60.0,,,,,,,,,,158.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5886439158466601,2023-08-23 15:25:11.930408,2023-08-23 15:25:14.895902,0 days 00:00:02.965494,,0.9,3.0,,LightGBM,,,,,0.4,,,,0.7694640101198138,3.497433299490293e-06,,40.0,,,,,,,,,,137.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.48954177293606704,2023-08-23 15:25:11.933831,2023-08-23 15:25:22.694351,0 days 00:00:10.760520,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.1530119567433,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5608833933388615,2023-08-23 15:25:11.936395,2023-08-23 15:25:15.605556,0 days 00:00:03.669161,,0.5,1.0,,LightGBM,,,,,0.9,,,,0.01518089885579134,3.167606972428204e-05,,20.0,,,,,,,,,,113.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.3357921744708146,2023-08-23 15:25:11.955181,2023-08-23 15:25:49.531978,0 days 00:00:37.576797,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,sgd,2.0,70.0,30.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5824328507629892,2023-08-23 15:25:12.464383,2023-08-23 15:25:14.788432,0 days 00:00:02.324049,1.0919374993757103e-08,,,gbtree,XGBoost,0.9363055293213793,,,3.0221475387117865e-05,,0.00022079957993407302,lossguide,1.582274315930778e-06,,,3.0,,5.0,,,,,,,,,,,,,,,0.9320563061905027,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5797319084379705,2023-08-23 15:25:13.340795,2023-08-23 15:25:17.369662,0 days 00:00:04.028867,,0.8,1.0,,LightGBM,,,,,0.5,,,,2.7996318423856226e-05,0.0011050450640045484,,30.0,,,,,,,,,,155.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
