,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6828289537950571,2023-08-23 17:57:39.196243,2023-08-23 17:57:54.357684,0 days 00:00:15.161441,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,91.0,23.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6921908573700988,2023-08-23 17:57:39.200502,2023-08-23 17:57:40.537465,0 days 00:00:01.336963,,0.5,1.0,,LightGBM,,,,,0.4,,,,2.226528551125249e-08,0.00012277140560593863,,90.0,,,,,,,,,,53.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5681202711352558,2023-08-23 17:57:39.204392,2023-08-23 17:59:12.248804,0 days 00:01:33.044412,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,lbfgs,1.0,10.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.3573487031700288,2023-08-23 17:57:39.208337,2023-08-23 17:57:52.418180,0 days 00:00:13.209843,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015257871692024687,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.64662604463393,2023-08-23 17:57:39.211357,2023-08-23 17:57:39.671057,0 days 00:00:00.459700,,,,,DecisionTreeClassifier,,gini,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6482351944779692,2023-08-23 17:57:39.216085,2023-08-23 17:57:44.184206,0 days 00:00:04.968121,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,90.0,3.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5763653459505994,2023-08-23 17:57:39.221799,2023-08-23 18:07:43.012237,0 days 00:10:03.790438,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,adam,3.0,100.0,30.0,80.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.3573487031700288,2023-08-23 17:57:39.230558,2023-08-23 17:57:52.938424,0 days 00:00:13.707866,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28877053987587686,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.3573487031700288,2023-08-23 17:57:39.767470,2023-08-23 17:57:40.679623,0 days 00:00:00.912153,3.3134369122710666e-06,,,gblinear,XGBoost,0.3235371541602861,,,,,,,0.011526135092527557,,,,,,,,,,,,,,,,,,,,0.8652971709173014,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6473055064082338,2023-08-23 17:57:40.644044,2023-08-23 17:57:41.223764,0 days 00:00:00.579720,4.48457644238922e-05,,,dart,XGBoost,0.2562709594868485,,,4.2262849486968024e-07,,2.535268636014062e-06,lossguide,0.005957513496811968,,,9.0,,5.0,,,,,,,,tree,,0.5467348879769416,,,weighted,1.2054123401947598e-07,0.581254453830504,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
