,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5185099781988931,2023-08-23 17:45:31.683066,2023-08-23 17:45:32.133138,0 days 00:00:00.450072,,,,,DecisionTreeClassifier,,entropy,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.3744974921445509,2023-08-23 17:45:31.685418,2023-08-23 17:45:32.827433,0 days 00:00:01.142015,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,33.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.4454987599446001,2023-08-23 17:45:31.687798,2023-08-23 17:45:33.461034,0 days 00:00:01.773236,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,33.0,4.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.43247467961967756,2023-08-23 17:45:31.690945,2023-08-23 17:48:41.032877,0 days 00:03:09.341932,,,,,MLPClassifier,,,,,,,,,,,,,,identity,adam,4.0,10.0,60.0,60.0,80.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.3573487031700288,2023-08-23 17:45:31.693929,2023-08-23 17:45:31.809196,0 days 00:00:00.115267,2.529480818748004e-08,,,gblinear,XGBoost,0.8768728407137383,,,,,,,0.007878427235136397,,,,,,,,,,,,,,,,,,,,0.451656604527291,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.4561475535402433,2023-08-23 17:45:31.695516,2023-08-23 17:45:31.953011,0 days 00:00:00.257495,2.3531905402230693e-07,,,dart,XGBoost,0.7861762506736178,,,0.040569742280102974,,1.5877746530416316e-07,depthwise,0.0011921547664530015,,,3.0,,3.0,,,,,,,,tree,,8.147110033274126e-08,,,weighted,2.3760449994407916e-05,0.47040792173660817,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.36419206428062295,2023-08-23 17:45:31.698426,2023-08-23 17:45:32.901412,0 days 00:00:01.202986,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,35.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.3573487031700288,2023-08-23 17:45:31.700984,2023-08-23 17:45:38.127371,0 days 00:00:06.426387,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28221566555751193,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.4866341960278664,2023-08-23 17:45:31.897365,2023-08-23 17:45:32.249746,0 days 00:00:00.352381,1.7195705340129874e-05,,,dart,XGBoost,0.31682211115460684,,,0.0009932440430636016,,5.273271946749164e-05,depthwise,0.013228372520883533,,,9.0,,6.0,,,,,,,,tree,,0.1578311602995745,,,uniform,0.0009405768569039212,0.9741333043771558,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.3903391419988238,2023-08-23 17:45:32.080996,2023-08-23 17:45:32.969869,0 days 00:00:00.888873,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,26.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5464765758883405,2023-08-23 17:45:32.190929,2023-08-23 17:45:35.529077,0 days 00:00:03.338148,,0.4,3.0,,LightGBM,,,,,0.6000000000000001,,,,0.0010433642551704312,8.593753824471995e-05,,10.0,,,,,,,,,,115.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.3573487031700288,2023-08-23 17:45:32.356001,2023-08-23 17:47:26.991555,0 days 00:01:54.635554,,,,,MLPClassifier,,,,,,,,,,,,,,relu,sgd,2.0,30.0,60.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5249373433583959,2023-08-23 17:45:32.959650,2023-08-23 17:45:35.145664,0 days 00:00:02.186014,,0.5,2.0,,LightGBM,,,,,0.5,,,,2.610840369828694e-07,0.0002960857580018231,,50.0,,,,,,,,,,239.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.3573487031700288,2023-08-23 17:45:33.062766,2023-08-23 17:45:42.463592,0 days 00:00:09.400826,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04335799608075785,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.543446304781325,2023-08-23 17:45:33.092933,2023-08-23 17:45:33.677577,0 days 00:00:00.584644,,0.5,2.0,,LightGBM,,,,,0.6000000000000001,,,,0.01600680687794014,0.005804526077493593,,90.0,,,,,,,,,,8.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.45760956186699053,2023-08-23 17:45:33.556775,2023-08-23 17:45:33.851658,0 days 00:00:00.294883,,,,,DecisionTreeClassifier,,gini,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.3573487031700288,2023-08-23 17:45:33.780653,2023-08-23 17:45:43.809981,0 days 00:00:10.029328,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09232532231005264,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5037026760614801,2023-08-23 17:45:33.952112,2023-08-23 17:45:34.336763,0 days 00:00:00.384651,,0.5,2.0,,LightGBM,,,,,0.6000000000000001,,,,0.027807225118365846,0.003142679771287531,,90.0,,,,,,,,,,2.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5090208549935784,2023-08-23 17:45:34.412614,2023-08-23 17:45:35.294735,0 days 00:00:00.882121,,,,,DecisionTreeClassifier,,entropy,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.4997678555592072,2023-08-23 17:45:35.209284,2023-08-23 17:45:37.696628,0 days 00:00:02.487344,,0.5,2.0,,LightGBM,,,,,0.5,,,,4.429401676352099e-08,0.0008683331891671177,,40.0,,,,,,,,,,228.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
