,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5308341673856773,2023-08-23 17:49:22.835678,2023-08-23 17:49:22.930242,0 days 00:00:00.094564,,,,,DecisionTreeClassifier,,entropy,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5145762945498458,2023-08-23 17:49:22.838658,2023-08-23 17:49:23.266169,0 days 00:00:00.427511,0.014242701954749182,,,gbtree,XGBoost,0.6209968753570267,,,8.991751507364914e-07,,3.091103558653655e-08,lossguide,1.5821677113899386e-08,,,7.0,,8.0,,,,,,,,,,,,,,,0.8917451692466023,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5464820681293754,2023-08-23 17:49:22.840152,2023-08-23 17:49:23.055769,0 days 00:00:00.215617,,,,,DecisionTreeClassifier,,log_loss,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.49830821167532524,2023-08-23 17:49:22.844543,2023-08-23 17:49:23.106133,0 days 00:00:00.261590,,,,,DecisionTreeClassifier,,gini,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.4135180152537916,2023-08-23 17:49:22.849833,2023-08-23 17:49:25.764982,0 days 00:00:02.915149,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,adam,1.0,40.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5638439685314686,2023-08-23 17:49:22.853992,2023-08-23 17:49:27.331599,0 days 00:00:04.477607,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,77.0,10.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5575102538521228,2023-08-23 17:49:22.867745,2023-08-23 17:49:24.614729,0 days 00:00:01.746984,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,29.0,9.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.3573487031700288,2023-08-23 17:49:22.871004,2023-08-23 17:49:29.646530,0 days 00:00:06.775526,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2659895601954345,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5489194411435688,2023-08-23 17:49:23.016546,2023-08-23 17:49:23.395408,0 days 00:00:00.378862,0.013220223459212544,,,dart,XGBoost,0.55385086640237,,,4.5630746954506094e-06,,1.9265049417398807e-07,depthwise,0.01135059429544335,,,7.0,,9.0,,,,,,,,forest,,0.010146837768462577,,,weighted,0.49094798294908315,0.6472735975006034,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5025633333717929,2023-08-23 17:49:23.100138,2023-08-23 17:49:23.317812,0 days 00:00:00.217674,,,,,DecisionTreeClassifier,,gini,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
