,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.35688536409516947,2023-08-23 17:52:46.224916,2023-08-23 17:52:46.820509,0 days 00:00:00.595593,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,36.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.3984020766547918,2023-08-23 17:52:46.227801,2023-08-23 17:52:46.609973,0 days 00:00:00.382172,6.910406556944844e-08,,,gbtree,XGBoost,0.5819770642634154,,,0.0023257978255125347,,1.0465091793360958e-05,lossguide,0.05242209340684905,,,3.0,,6.0,,,,,,,,,,,,,,,0.311606596397657,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5150667909288599,2023-08-23 17:52:46.235965,2023-08-23 17:52:47.290627,0 days 00:00:01.054662,,0.4,2.0,,LightGBM,,,,,0.8,,,,2.8062722826099926e-05,1.1793250815608539e-06,,70.0,,,,,,,,,,41.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.3573487031700288,2023-08-23 17:52:46.243799,2023-08-23 17:52:52.023537,0 days 00:00:05.779738,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04279396000067554,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5095264009725,2023-08-23 17:52:46.252041,2023-08-23 17:52:54.017069,0 days 00:00:07.765028,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,95.0,15.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.39003449481058244,2023-08-23 17:52:46.253715,2023-08-23 17:52:47.098212,0 days 00:00:00.844497,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,32.0,4.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.4934504429469221,2023-08-23 17:52:46.260293,2023-08-23 17:52:46.438381,0 days 00:00:00.178088,,,,,DecisionTreeClassifier,,gini,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.3821437432801257,2023-08-23 17:52:46.263229,2023-08-23 17:52:46.488518,0 days 00:00:00.225289,,,,,DecisionTreeClassifier,,log_loss,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.4489692597093955,2023-08-23 17:52:46.546671,2023-08-23 17:52:46.693426,0 days 00:00:00.146755,0.2432688208653927,,,gbtree,XGBoost,0.9290908478066913,,,0.14673310404265053,,0.0004679096967496144,depthwise,0.0008364616757242518,,,3.0,,2.0,,,,,,,,,,,,,,,0.5207653332532356,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.3573487031700288,2023-08-23 17:52:46.548985,2023-08-23 17:52:48.468882,0 days 00:00:01.919897,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,99.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5214038971448912,2023-08-23 17:52:46.651517,2023-08-23 17:52:48.126701,0 days 00:00:01.475184,,0.7000000000000001,3.0,,LightGBM,,,,,0.9,,,,7.674830899768567e-06,0.06430114194215569,,80.0,,,,,,,,,,112.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.3573487031700288,2023-08-23 17:52:46.735649,2023-08-23 17:52:53.702986,0 days 00:00:06.967337,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015862616099135904,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.4798336336484585,2023-08-23 17:52:46.868378,2023-08-23 17:52:51.374639,0 days 00:00:04.506261,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,99.0,8.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.40569534632034626,2023-08-23 17:52:47.143028,2023-08-23 17:52:48.921574,0 days 00:00:01.778546,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,56.0,4.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.37398825809393527,2023-08-23 17:52:47.342955,2023-08-23 17:52:49.459437,0 days 00:00:02.116482,,,,,MLPClassifier,,,,,,,,,,,,,,identity,lbfgs,1.0,40.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.3573487031700288,2023-08-23 17:52:48.207248,2023-08-23 17:52:54.221712,0 days 00:00:06.014464,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3255768529092413,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.4179589944023054,2023-08-23 17:52:48.575536,2023-08-23 17:56:47.500511,0 days 00:03:58.924975,,,,,MLPClassifier,,,,,,,,,,,,,,identity,adam,3.0,50.0,80.0,40.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.3573487031700288,2023-08-23 17:52:49.020817,2023-08-23 17:52:55.073289,0 days 00:00:06.052472,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04673959701378352,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5301966292134832,2023-08-23 17:52:49.568729,2023-08-23 17:52:50.728617,0 days 00:00:01.159888,,0.6000000000000001,2.0,,LightGBM,,,,,0.9,,,,1.3078683433883785e-05,0.045637918872100405,,80.0,,,,,,,,,,54.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5554155892660315,2023-08-23 17:52:50.808979,2023-08-23 17:52:52.182479,0 days 00:00:01.373500,,0.7000000000000001,3.0,,LightGBM,,,,,1.0,,,,4.871014892026442e-06,0.6828685056100305,,90.0,,,,,,,,,,108.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.525456872133316,2023-08-23 17:52:51.469090,2023-08-23 17:52:53.042673,0 days 00:00:01.573583,,0.7000000000000001,3.0,,LightGBM,,,,,1.0,,,,5.178888064963145e-06,0.2926497297239224,,90.0,,,,,,,,,,114.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5119558103615278,2023-08-23 17:52:52.106984,2023-08-23 17:52:53.622068,0 days 00:00:01.515084,,0.7000000000000001,3.0,,LightGBM,,,,,1.0,,,,3.4123998563183625e-06,0.43351342533040177,,90.0,,,,,,,,,,118.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.521658405345351,2023-08-23 17:52:52.282782,2023-08-23 17:52:53.775248,0 days 00:00:01.492466,,0.7000000000000001,1.0,,LightGBM,,,,,1.0,,,,3.040408795892168e-08,0.8062889624541316,,100.0,,,,,,,,,,102.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5086406480352971,2023-08-23 17:52:53.130644,2023-08-23 17:52:54.585462,0 days 00:00:01.454818,,0.5,1.0,,LightGBM,,,,,0.6000000000000001,,,,3.296902243518844e-08,0.4046911905595546,,20.0,,,,,,,,,,21.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5204301075268817,2023-08-23 17:52:53.687938,2023-08-23 17:52:57.896842,0 days 00:00:04.208904,,1.0,1.0,,LightGBM,,,,,0.5,,,,0.03751109765941474,0.0010318284185488048,,30.0,,,,,,,,,,253.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.3573487031700288,2023-08-23 17:52:53.881255,2023-08-23 17:56:31.515827,0 days 00:03:37.634572,,,,,MLPClassifier,,,,,,,,,,,,,,relu,sgd,4.0,90.0,80.0,80.0,50.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.3573487031700288,2023-08-23 17:52:53.887299,2023-08-23 17:56:46.854262,0 days 00:03:52.966963,,,,,MLPClassifier,,,,,,,,,,,,,,relu,sgd,4.0,100.0,30.0,50.0,40.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
