,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5391881918819188,2023-08-23 18:09:21.023367,2023-08-23 18:09:21.213046,0 days 00:00:00.189679,,,,,DecisionTreeClassifier,,log_loss,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.3573487031700288,2023-08-23 18:09:21.025995,2023-08-23 18:09:21.098069,0 days 00:00:00.072074,0.00014272774203621962,,,gblinear,XGBoost,0.4001725540415378,,,,,,,0.0025538324823000482,,,,,,,,,,,,,,,,,,,,0.5203834673763988,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5476647655079284,2023-08-23 18:09:21.027929,2023-08-23 18:09:21.149725,0 days 00:00:00.121796,,,,,DecisionTreeClassifier,,gini,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.601847381509788,2023-08-23 18:09:21.028366,2023-08-23 18:09:24.217164,0 days 00:00:03.188798,,1.0,1.0,,LightGBM,,,,,0.8,,,,0.1842277400279755,0.2917361086125919,,60.0,,,,,,,,,,115.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5747441720384798,2023-08-23 18:09:21.039952,2023-08-23 18:09:21.263041,0 days 00:00:00.223089,0.0028452134391231568,,,gbtree,XGBoost,0.8410399946708089,,,0.00014096420191164353,,0.0002700912594709064,lossguide,0.008057081182889721,,,3.0,,6.0,,,,,,,,,,,,,,,0.6728849698156572,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5844925787122319,2023-08-23 18:09:21.041446,2023-08-23 18:09:22.677140,0 days 00:00:01.635694,,1.0,1.0,,LightGBM,,,,,0.9,,,,0.00093478850926092,3.46543180052337e-05,,30.0,,,,,,,,,,40.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5466848185935176,2023-08-23 18:09:21.041835,2023-08-23 18:09:21.328162,0 days 00:00:00.286327,,,,,DecisionTreeClassifier,,log_loss,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5632493677288821,2023-08-23 18:09:21.048316,2023-08-23 18:09:25.611963,0 days 00:00:04.563647,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,64.0,9.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.3573487031700288,2023-08-23 18:09:21.140515,2023-08-23 18:09:25.414588,0 days 00:00:04.274073,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.27080461577157,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5885776608973967,2023-08-23 18:09:21.198002,2023-08-23 18:09:21.511797,0 days 00:00:00.313795,,,,,DecisionTreeClassifier,,entropy,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5810250421694564,2023-08-23 18:09:21.255424,2023-08-23 18:09:21.408778,0 days 00:00:00.153354,,,,,DecisionTreeClassifier,,gini,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.3573487031700288,2023-08-23 18:09:21.309408,2023-08-23 18:09:39.422010,0 days 00:00:18.112602,,,,,MLPClassifier,,,,,,,,,,,,,,identity,sgd,1.0,70.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5730975361416952,2023-08-23 18:09:21.383863,2023-08-23 18:09:23.712332,0 days 00:00:02.328469,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,22.0,18.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5893423028861576,2023-08-23 18:09:21.509609,2023-08-23 18:09:21.743236,0 days 00:00:00.233627,2.0924903827828688e-08,,,dart,XGBoost,0.9721528649701352,,,0.0021517110458956325,,1.5708975623961282e-06,lossguide,9.988727122767657e-07,,,3.0,,3.0,,,,,,,,forest,,0.0002931399557888184,,,weighted,0.7562803786098857,0.5655562007065457,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5663319849366361,2023-08-23 18:09:21.603496,2023-08-23 18:09:25.836117,0 days 00:00:04.232621,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,48.0,12.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5636243729458571,2023-08-23 18:09:21.825790,2023-08-23 18:09:23.789250,0 days 00:00:01.963460,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,58.0,3.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.3573487031700288,2023-08-23 18:09:22.746632,2023-08-23 18:11:28.148985,0 days 00:02:05.402353,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,adam,3.0,70.0,70.0,20.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.3573487031700288,2023-08-23 18:09:23.859163,2023-08-23 18:09:26.963615,0 days 00:00:03.104452,,,,,MLPClassifier,,,,,,,,,,,,,,relu,lbfgs,3.0,90.0,80.0,20.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.3573487031700288,2023-08-23 18:09:23.869031,2023-08-23 18:09:28.577347,0 days 00:00:04.708316,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05476786606216342,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5889747276068902,2023-08-23 18:09:24.303620,2023-08-23 18:09:26.595867,0 days 00:00:02.292247,,0.8,2.0,,LightGBM,,,,,0.5,,,,0.9859229613092436,0.9534675975770838,,90.0,,,,,,,,,,204.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.3573487031700288,2023-08-23 18:09:25.532741,2023-08-23 18:09:28.409404,0 days 00:00:02.876663,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,lbfgs,3.0,80.0,80.0,20.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5960208382418388,2023-08-23 18:09:25.764410,2023-08-23 18:09:28.860143,0 days 00:00:03.095733,,0.8,3.0,,LightGBM,,,,,0.5,,,,0.9233791289155506,0.1785576825519345,,90.0,,,,,,,,,,201.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5999092381811755,2023-08-23 18:09:25.973592,2023-08-23 18:09:28.240610,0 days 00:00:02.267018,,0.6000000000000001,1.0,,LightGBM,,,,,0.5,,,,0.5015563990409734,0.40172394548676477,,90.0,,,,,,,,,,204.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.3573487031700288,2023-08-23 18:09:26.701485,2023-08-23 18:11:32.548740,0 days 00:02:05.847255,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,sgd,4.0,30.0,70.0,60.0,50.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5377368992825363,2023-08-23 18:09:27.062135,2023-08-23 18:09:27.898035,0 days 00:00:00.835900,1.3167651668642735e-08,,,dart,XGBoost,0.925582746917765,,,0.6371213618979457,,1.4402473654156424e-08,lossguide,2.9449046537134293e-08,,,7.0,,2.0,,,,,,,,forest,,0.00040790756807201764,,,weighted,0.9602611752729318,0.22715658519556015,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5968558496955488,2023-08-23 18:09:28.084330,2023-08-23 18:09:29.955254,0 days 00:00:01.870924,,0.4,1.0,,LightGBM,,,,,0.8,,,,1.5730345011258246e-07,0.38496958599502523,,70.0,,,,,,,,,,116.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.6048297938069791,2023-08-23 18:09:28.343980,2023-08-23 18:09:30.339984,0 days 00:00:01.996004,,0.5,1.0,,LightGBM,,,,,0.7000000000000001,,,,0.8683103778900148,0.9350466124490023,,80.0,,,,,,,,,,145.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5871758865528767,2023-08-23 18:09:28.546198,2023-08-23 18:09:30.563398,0 days 00:00:02.017200,,0.5,1.0,,LightGBM,,,,,0.7000000000000001,,,,0.6391964261799796,0.4612167668783588,,80.0,,,,,,,,,,146.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
