,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6674743709226467,2023-08-23 18:12:01.256179,2023-08-23 18:12:01.511728,0 days 00:00:00.255549,0.003648913641552899,,,gbtree,XGBoost,0.850076171563044,,,1.5802592564758272e-07,,0.027608720941467997,lossguide,3.1131152069788893e-07,,,3.0,,2.0,,,,,,,,,,,,,,,0.5400817775697833,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.3573487031700288,2023-08-23 18:12:01.258063,2023-08-23 18:12:06.327323,0 days 00:00:05.069260,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00723804051838,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6674743709226467,2023-08-23 18:12:01.261127,2023-08-23 18:12:01.624365,0 days 00:00:00.363238,4.3836309759074447e-07,,,gbtree,XGBoost,0.4762615810920971,,,0.011778028715188776,,1.6500135995107102e-06,depthwise,0.0008133133725315979,,,7.0,,2.0,,,,,,,,,,,,,,,0.8292227663107663,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6533151203903205,2023-08-23 18:12:01.263246,2023-08-23 18:12:01.326683,0 days 00:00:00.063437,,,,,DecisionTreeClassifier,,log_loss,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6601512440108526,2023-08-23 18:12:01.265863,2023-08-23 18:12:06.093573,0 days 00:00:04.827710,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,62.0,24.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6451596345344421,2023-08-23 18:12:01.267963,2023-08-23 18:12:01.455238,0 days 00:00:00.187275,,,,,DecisionTreeClassifier,,entropy,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.3573487031700288,2023-08-23 18:12:01.276727,2023-08-23 18:12:06.706029,0 days 00:00:05.429302,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007604679505877481,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6882551020408163,2023-08-23 18:12:01.279956,2023-08-23 18:12:03.079358,0 days 00:00:01.799402,,0.9,3.0,,LightGBM,,,,,0.6000000000000001,,,,0.028879427633389618,1.4709960102509095e-06,,100.0,,,,,,,,,,167.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6658607185424825,2023-08-23 18:12:01.374444,2023-08-23 18:12:01.400565,0 days 00:00:00.026121,,,,,DecisionTreeClassifier,,entropy,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6813633699829273,2023-08-23 18:12:01.443530,2023-08-23 18:12:04.443512,0 days 00:00:02.999982,,0.5,3.0,,LightGBM,,,,,0.6000000000000001,,,,4.55364319682024e-05,9.866902831802092e-07,,30.0,,,,,,,,,,178.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
