,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.396711986681465,2023-08-23 18:19:47.483599,2023-08-23 18:19:54.408055,0 days 00:00:06.924456,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.606080553008233,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5741036213576782,2023-08-23 18:19:47.485970,2023-08-23 18:19:50.687685,0 days 00:00:03.201715,9.172884533555552e-05,,,dart,XGBoost,0.6474693342757545,,,1.3626600038334982e-06,,3.536653604202269e-07,lossguide,0.10141434974173341,,,5.0,,6.0,,,,,,,,tree,,0.08199023079382367,,,uniform,0.2549392716495923,0.20015737690109134,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5506975126820487,2023-08-23 18:19:47.486977,2023-08-23 18:19:47.956527,0 days 00:00:00.469550,,,,,DecisionTreeClassifier,,entropy,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.551947468851723,2023-08-23 18:19:47.490509,2023-08-23 18:24:28.527896,0 days 00:04:41.037387,,,,,MLPClassifier,,,,,,,,,,,,,,relu,lbfgs,4.0,20.0,10.0,100.0,10.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.3573487031700288,2023-08-23 18:19:47.497869,2023-08-23 18:19:55.310803,0 days 00:00:07.812934,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013299388585529884,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5440204475135644,2023-08-23 18:19:47.528359,2023-08-23 18:19:47.809661,0 days 00:00:00.281302,,,,,DecisionTreeClassifier,,log_loss,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5421578019892354,2023-08-23 18:19:47.530217,2023-08-23 18:19:48.051627,0 days 00:00:00.521410,,,,,DecisionTreeClassifier,,entropy,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5858997560783696,2023-08-23 18:19:47.534540,2023-08-23 18:19:53.827371,0 days 00:00:06.292831,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,81.0,20.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.3573487031700288,2023-08-23 18:19:47.900855,2023-08-23 18:22:13.459114,0 days 00:02:25.558259,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,adam,3.0,80.0,50.0,30.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5718624596742465,2023-08-23 18:19:48.124050,2023-08-23 18:19:53.114689,0 days 00:00:04.990639,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,59.0,26.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5764268699627231,2023-08-23 18:19:48.124533,2023-08-23 18:19:49.462241,0 days 00:00:01.337708,,0.4,3.0,,LightGBM,,,,,0.6000000000000001,,,,0.4322006864458859,3.470075744561185e-08,,50.0,,,,,,,,,,129.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5839806273002808,2023-08-23 18:19:49.528774,2023-08-23 18:19:50.578056,0 days 00:00:01.049282,,0.6000000000000001,2.0,,LightGBM,,,,,0.4,,,,0.00027415228881070224,1.3997763686456335e-08,,90.0,,,,,,,,,,231.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5716416629107377,2023-08-23 18:19:50.657720,2023-08-23 18:19:50.901792,0 days 00:00:00.244072,0.17798297221199186,,,dart,XGBoost,0.502015532828549,,,0.00029662560369728304,,0.0004656984858733224,lossguide,2.264220606927925e-07,,,7.0,,6.0,,,,,,,,forest,,0.5443575666457967,,,uniform,0.00026372533839277997,0.4335668719270886,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5418023634201663,2023-08-23 18:19:50.808130,2023-08-23 18:19:51.308615,0 days 00:00:00.500485,,,,,DecisionTreeClassifier,,log_loss,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5521249583749583,2023-08-23 18:19:50.961831,2023-08-23 18:19:51.094415,0 days 00:00:00.132584,,,,,DecisionTreeClassifier,,gini,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.3573487031700288,2023-08-23 18:19:51.213353,2023-08-23 18:19:56.888872,0 days 00:00:05.675519,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2991456252688317,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5843983744237031,2023-08-23 18:19:51.418959,2023-08-23 18:19:54.298218,0 days 00:00:02.879259,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,90.0,6.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5856545997145453,2023-08-23 18:19:53.206854,2023-08-23 18:19:54.715790,0 days 00:00:01.508936,,0.8,1.0,,LightGBM,,,,,0.4,,,,9.182169130064109e-07,1.6280234261918253e-08,,100.0,,,,,,,,,,256.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5843451399251289,2023-08-23 18:19:53.916725,2023-08-23 18:19:59.278044,0 days 00:00:05.361319,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,97.0,10.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5736749032165559,2023-08-23 18:19:54.390180,2023-08-23 18:19:57.500963,0 days 00:00:03.110783,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,99.0,5.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5854530143804211,2023-08-23 18:19:54.515560,2023-08-23 18:19:58.523663,0 days 00:00:04.008103,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,100.0,7.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5734087023762533,2023-08-23 18:19:54.830197,2023-08-23 18:25:22.532195,0 days 00:05:27.701998,,,,,MLPClassifier,,,,,,,,,,,,,,relu,lbfgs,3.0,60.0,70.0,40.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.3573487031700288,2023-08-23 18:19:55.404520,2023-08-23 18:19:58.453930,0 days 00:00:03.049410,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,lbfgs,4.0,60.0,40.0,10.0,70.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.46128307151715586,2023-08-23 18:19:56.969932,2023-08-23 18:23:06.180375,0 days 00:03:09.210443,,,,,MLPClassifier,,,,,,,,,,,,,,identity,adam,3.0,60.0,20.0,70.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.3573487031700288,2023-08-23 18:19:57.630876,2023-08-23 18:21:30.697222,0 days 00:01:33.066346,,,,,MLPClassifier,,,,,,,,,,,,,,identity,sgd,2.0,90.0,100.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5747257958106547,2023-08-23 18:19:58.606835,2023-08-23 18:20:00.566835,0 days 00:00:01.960000,,1.0,1.0,,LightGBM,,,,,1.0,,,,1.2355663873904105e-08,0.10725378485067139,,100.0,,,,,,,,,,251.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5823145836961359,2023-08-23 18:19:58.612940,2023-08-23 18:20:00.282943,0 days 00:00:01.670003,,1.0,1.0,,LightGBM,,,,,1.0,,,,2.637911358720277e-08,0.3097380792639305,,100.0,,,,,,,,,,255.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5734219491790875,2023-08-23 18:19:59.358341,2023-08-23 18:20:01.271135,0 days 00:00:01.912794,,1.0,1.0,,LightGBM,,,,,1.0,,,,1.8535655188834253e-08,0.32247191000622544,,100.0,,,,,,,,,,256.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5057715393849848,2023-08-23 18:20:00.442832,2023-08-23 18:20:02.055300,0 days 00:00:01.612468,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,64.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.5092805204745503,2023-08-23 18:20:00.636723,2023-08-23 18:20:02.463119,0 days 00:00:01.826396,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,74.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.5262254568439906,2023-08-23 18:20:01.364771,2023-08-23 18:20:02.952680,0 days 00:00:01.587909,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,62.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
