,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.8867764853069242,2023-08-23 20:08:50.730295,2023-08-23 20:08:53.055049,0 days 00:00:02.324754,0.00019496619981241694,,,dart,XGBoost,0.719000689194315,,,1.2330075966849243e-07,,3.790547313479871e-06,lossguide,0.0004861576942542355,,,7.0,,10.0,,,,,,,,tree,,7.764702063812193e-08,,,uniform,0.0001098459579153344,0.6133449454737111,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5263757714998529,2023-08-23 20:08:50.734872,2023-08-23 20:10:42.606808,0 days 00:01:51.871936,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7715204352032943,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.9128469262112504,2023-08-23 20:08:50.738859,2023-08-23 20:08:53.901448,0 days 00:00:03.162589,,0.4,2.0,,LightGBM,,,,,0.4,,,,2.9142797069994604e-06,3.8416077244688084e-06,,70.0,,,,,,,,,,68.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.8871846756606185,2023-08-23 20:08:50.743848,2023-08-23 20:08:51.936966,0 days 00:00:01.193118,0.002888694221957212,,,dart,XGBoost,0.20349499491874312,,,0.0036789297856738715,,2.4932889570106113e-08,lossguide,2.6904624367322525e-07,,,7.0,,7.0,,,,,,,,tree,,1.550244559811419e-05,,,weighted,0.4756626399071938,0.6955051744920239,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.8254144230574866,2023-08-23 20:08:50.753248,2023-08-23 20:08:52.302412,0 days 00:00:01.549164,,,,,DecisionTreeClassifier,,log_loss,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.8405767404497786,2023-08-23 20:08:50.766378,2023-08-23 20:08:56.373450,0 days 00:00:05.607072,,,,,DecisionTreeClassifier,,entropy,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5236967756652796,2023-08-23 20:08:50.767145,2023-08-23 20:17:40.052615,0 days 00:08:49.285470,,,,,MLPClassifier,,,,,,,,,,,,,,relu,sgd,1.0,100.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.8852648315253328,2023-08-23 20:08:50.768055,2023-08-23 20:09:00.149055,0 days 00:00:09.381000,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,20.0,12.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.9122320867428728,2023-08-23 20:08:52.100584,2023-08-23 20:08:55.647889,0 days 00:00:03.547305,,0.8,3.0,,LightGBM,,,,,1.0,,,,0.07157367828122853,1.2390926377048333e-07,,50.0,,,,,,,,,,33.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.893132287192075,2023-08-23 20:08:52.480614,2023-08-23 20:09:30.583702,0 days 00:00:38.103088,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,96.0,15.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
