,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5612999759737469,2023-08-23 19:16:22.174173,2023-08-23 19:26:41.223209,0 days 00:10:19.049036,,,,,MLPClassifier,,,,,,,,,,,,,,relu,lbfgs,3.0,60.0,100.0,40.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5654037331336549,2023-08-23 19:16:22.177187,2023-08-23 19:38:21.901626,0 days 00:21:59.724439,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,adam,2.0,80.0,90.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.437766237244044,2023-08-23 19:16:22.180420,2023-08-23 19:17:17.345678,0 days 00:00:55.165258,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.66436761552832,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6358591306747834,2023-08-23 19:16:22.183829,2023-08-23 19:16:23.805674,0 days 00:00:01.621845,,1.0,2.0,,LightGBM,,,,,1.0,,,,0.6419845158450871,0.00014647846865096741,,30.0,,,,,,,,,,43.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6067891305106394,2023-08-23 19:16:22.184153,2023-08-23 19:16:22.536152,0 days 00:00:00.351999,,,,,DecisionTreeClassifier,,gini,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6272025057402416,2023-08-23 19:16:22.186809,2023-08-23 19:16:31.496597,0 days 00:00:09.309788,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,50.0,14.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5484176032376141,2023-08-23 19:16:22.187880,2023-08-23 19:16:26.820777,0 days 00:00:04.632897,,,,,MLPClassifier,,,,,,,,,,,,,,identity,sgd,2.0,20.0,20.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.3358178053830228,2023-08-23 19:16:22.189760,2023-08-23 19:17:00.058080,0 days 00:00:37.868320,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004405899083955255,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5773536947026183,2023-08-23 19:16:22.677112,2023-08-23 19:37:51.656828,0 days 00:21:28.979716,,,,,MLPClassifier,,,,,,,,,,,,,,relu,adam,2.0,80.0,80.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.3358178053830228,2023-08-23 19:16:23.915987,2023-08-23 19:16:24.050236,0 days 00:00:00.134249,0.06270260839066318,,,gblinear,XGBoost,0.38507679628582975,,,,,,,0.006313627089599242,,,,,,,,,,,,,,,,,,,,0.6198139953418371,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.3358178053830228,2023-08-23 19:16:24.169113,2023-08-23 19:17:21.296189,0 days 00:00:57.127076,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010310250234479817,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.3358178053830228,2023-08-23 19:16:26.932295,2023-08-23 19:17:08.122218,0 days 00:00:41.189923,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.942386042905364,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5994426286926549,2023-08-23 19:16:31.595253,2023-08-23 19:16:31.909887,0 days 00:00:00.314634,0.000923046589935013,,,dart,XGBoost,0.5299674631618669,,,0.00010506045469142846,,0.010424901529179414,depthwise,0.0008699131728203375,,,5.0,,9.0,,,,,,,,tree,,0.07990126531120169,,,weighted,0.007288086331055936,0.8058987590811533,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6139547325806909,2023-08-23 19:16:32.015312,2023-08-23 19:16:32.445999,0 days 00:00:00.430687,7.905340563533717e-08,,,gbtree,XGBoost,0.7957520646735678,,,7.396626405162702e-08,,0.07991724821368916,lossguide,0.0005811302030071347,,,9.0,,7.0,,,,,,,,,,,,,,,0.42443820443410285,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.3358178053830228,2023-08-23 19:16:32.616486,2023-08-23 19:17:05.814413,0 days 00:00:33.197927,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,sgd,1.0,60.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5116335170289555,2023-08-23 19:17:00.203367,2023-08-23 19:17:00.573815,0 days 00:00:00.370448,,,,,DecisionTreeClassifier,,entropy,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.3358178053830228,2023-08-23 19:17:00.670752,2023-08-23 19:17:52.205879,0 days 00:00:51.535127,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011182149470600825,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6324752613788912,2023-08-23 19:17:05.921030,2023-08-23 19:17:07.372608,0 days 00:00:01.451578,,1.0,2.0,,LightGBM,,,,,1.0,,,,0.8331357108158463,0.00020998433170890348,,30.0,,,,,,,,,,36.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6314566064495211,2023-08-23 19:17:07.484898,2023-08-23 19:17:08.901526,0 days 00:00:01.416628,,1.0,2.0,,LightGBM,,,,,1.0,,,,0.9135090634218016,0.00016173483429805362,,30.0,,,,,,,,,,29.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6294678482926624,2023-08-23 19:17:08.209928,2023-08-23 19:17:10.071757,0 days 00:00:01.861829,,1.0,2.0,,LightGBM,,,,,1.0,,,,0.46407244467202924,0.00019441486206504057,,30.0,,,,,,,,,,31.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
