,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6310578760003062,2023-08-23 19:38:23.011835,2023-08-23 19:38:23.095574,0 days 00:00:00.083739,,,,,DecisionTreeClassifier,,gini,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6598604961978405,2023-08-23 19:38:23.014582,2023-08-23 19:38:23.489151,0 days 00:00:00.474569,0.00010613502172043544,,,gbtree,XGBoost,0.32534361396660066,,,0.0017020654820997043,,0.6370659673554918,lossguide,3.5531729566724974e-06,,,7.0,,3.0,,,,,,,,,,,,,,,0.5841712800445682,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5410707204809195,2023-08-23 19:38:23.016229,2023-08-23 19:38:35.240321,0 days 00:00:12.224092,,,,,MLPClassifier,,,,,,,,,,,,,,identity,lbfgs,2.0,90.0,20.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.3405590333306099,2023-08-23 19:38:23.019651,2023-08-23 19:39:09.101121,0 days 00:00:46.081470,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0801395919109018,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6253541420239317,2023-08-23 19:38:23.023544,2023-08-23 19:38:24.697877,0 days 00:00:01.674333,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,35.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6399623286749723,2023-08-23 19:38:23.027735,2023-08-23 19:38:27.455714,0 days 00:00:04.427979,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,70.0,3.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6771341582115353,2023-08-23 19:38:23.031298,2023-08-23 19:38:25.764141,0 days 00:00:02.732843,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,12.0,16.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6544091595869008,2023-08-23 19:38:23.033929,2023-08-23 19:38:23.226886,0 days 00:00:00.192957,,,,,DecisionTreeClassifier,,gini,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.694161040260065,2023-08-23 19:38:23.172644,2023-08-23 19:38:23.581712,0 days 00:00:00.409068,5.937161551624219e-07,,,dart,XGBoost,0.8296016423370316,,,0.09185361735151654,,0.0010479353672957074,depthwise,2.115621705424908e-08,,,5.0,,2.0,,,,,,,,forest,,0.06274456844139659,,,weighted,0.0006723229411715937,0.20492468034366304,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.4639951443399508,2023-08-23 19:38:23.293803,2023-08-23 19:38:27.040420,0 days 00:00:03.746617,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,sgd,1.0,40.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
