,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5654034405974584,2023-08-23 19:52:39.143516,2023-08-23 19:52:39.478180,0 days 00:00:00.334664,,,,,DecisionTreeClassifier,,log_loss,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.61904977501399,2023-08-23 19:52:39.146793,2023-08-23 19:52:39.722681,0 days 00:00:00.575888,3.102950750331965e-08,,,gbtree,XGBoost,0.3738200549977946,,,9.28272470559704e-06,,0.009345478632989174,lossguide,1.3947403661359514e-06,,,9.0,,3.0,,,,,,,,,,,,,,,0.6863110791639757,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6088891593828369,2023-08-23 19:52:39.147612,2023-08-23 19:52:39.276466,0 days 00:00:00.128854,,,,,DecisionTreeClassifier,,gini,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.615235562605457,2023-08-23 19:52:39.149926,2023-08-23 19:52:41.035309,0 days 00:00:01.885383,,0.5,2.0,,LightGBM,,,,,0.8,,,,1.356002412333962e-08,2.9948051300230006e-05,,20.0,,,,,,,,,,45.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.45206415358600777,2023-08-23 19:52:39.152300,2023-08-23 19:53:13.798792,0 days 00:00:34.646492,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.206140367795449,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5785122069752051,2023-08-23 19:52:39.157417,2023-08-23 20:07:32.590893,0 days 00:14:53.433476,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,adam,4.0,50.0,100.0,60.0,90.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.3358178053830228,2023-08-23 19:52:39.162144,2023-08-23 19:52:47.739093,0 days 00:00:08.576949,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,sgd,3.0,50.0,10.0,10.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6168290147040714,2023-08-23 19:52:39.163270,2023-08-23 19:52:42.956920,0 days 00:00:03.793650,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,17.0,12.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5693556824149448,2023-08-23 19:52:39.369248,2023-08-23 19:53:37.238562,0 days 00:00:57.869314,,,,,MLPClassifier,,,,,,,,,,,,,,identity,lbfgs,3.0,10.0,50.0,50.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6193758697961529,2023-08-23 19:52:39.578680,2023-08-23 19:52:40.009664,0 days 00:00:00.430984,0.3439360791339272,,,gbtree,XGBoost,0.38483598891765514,,,1.5225903618675903e-06,,5.3218859821833005e-06,depthwise,0.002242074946920416,,,3.0,,6.0,,,,,,,,,,,,,,,0.9335502885781821,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5070146359140233,2023-08-23 19:52:39.828553,2023-08-23 19:52:39.895973,0 days 00:00:00.067420,0.0016033903942897576,,,gblinear,XGBoost,0.26963982310031165,,,,,,,3.018675032768917e-05,,,,,,,,,,,,,,,,,,,,0.2999621545430851,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6336894173325527,2023-08-23 19:52:40.078952,2023-08-23 19:52:42.683045,0 days 00:00:02.604093,,0.6000000000000001,2.0,,LightGBM,,,,,0.9,,,,0.0007357288023584654,0.19482057924566923,,80.0,,,,,,,,,,75.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6159554484199885,2023-08-23 19:52:40.104770,2023-08-23 19:52:40.565280,0 days 00:00:00.460510,0.07403865974907295,,,gbtree,XGBoost,0.29904886266043457,,,0.03846379261115364,,0.5423796873619473,lossguide,1.4107590435287655e-06,,,9.0,,4.0,,,,,,,,,,,,,,,0.6558207084908916,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
