,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6046516342869881,2023-08-23 20:40:13.075004,2023-08-23 20:40:13.784998,0 days 00:00:00.709994,,,,,DecisionTreeClassifier,,log_loss,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6275041719072398,2023-08-23 20:40:13.078092,2023-08-23 20:40:14.078562,0 days 00:00:01.000470,,,,,DecisionTreeClassifier,,gini,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.3358178053830228,2023-08-23 20:40:13.080601,2023-08-23 20:40:46.097125,0 days 00:00:33.016524,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021773679240343624,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7263006427238208,2023-08-23 20:40:13.083848,2023-08-23 20:40:15.046031,0 days 00:00:01.962183,,0.6000000000000001,1.0,,LightGBM,,,,,0.9,,,,0.00017436747916541945,0.00023157482503395672,,100.0,,,,,,,,,,50.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.3358178053830228,2023-08-23 20:40:13.086535,2023-08-23 20:40:50.413006,0 days 00:00:37.326471,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2808758371641396,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7183648834019205,2023-08-23 20:40:13.089892,2023-08-23 20:40:17.038489,0 days 00:00:03.948597,,0.7000000000000001,1.0,,LightGBM,,,,,0.4,,,,0.027178479618963365,0.0005333935282415612,,70.0,,,,,,,,,,142.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5962943360255513,2023-08-23 20:40:13.090714,2023-08-23 20:40:13.244926,0 days 00:00:00.154212,,,,,DecisionTreeClassifier,,gini,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.3358178053830228,2023-08-23 20:40:13.096109,2023-08-23 20:40:34.960512,0 days 00:00:21.864403,,,,,MLPClassifier,,,,,,,,,,,,,,identity,sgd,2.0,40.0,60.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6652942484863182,2023-08-23 20:40:13.381166,2023-08-23 20:40:36.011451,0 days 00:00:22.630285,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,98.0,23.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.33543390860451555,2023-08-23 20:40:13.884975,2023-08-23 20:40:31.517070,0 days 00:00:17.632095,,,,,MLPClassifier,,,,,,,,,,,,,,relu,adam,1.0,100.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.3358178053830228,2023-08-23 20:40:14.203225,2023-08-23 20:40:48.067935,0 days 00:00:33.864710,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9349389648893472,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6279278004223228,2023-08-23 20:40:15.115325,2023-08-23 20:40:15.841711,0 days 00:00:00.726386,,,,,DecisionTreeClassifier,,gini,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6994143827594284,2023-08-23 20:40:15.942004,2023-08-23 20:40:16.405997,0 days 00:00:00.463993,1.8404539845886867e-05,,,gbtree,XGBoost,0.3647143439837369,,,0.0016723606295849477,,0.3394270933705371,lossguide,9.623488452233298e-08,,,7.0,,10.0,,,,,,,,,,,,,,,0.262102101439612,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.3358178053830228,2023-08-23 20:40:16.509239,2023-08-23 20:40:47.838532,0 days 00:00:31.329293,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08088519576137569,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
