,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.8670613605052832,2023-08-23 20:46:35.793383,2023-08-23 20:46:36.524268,0 days 00:00:00.730885,0.0012530834360738464,,,gbtree,XGBoost,0.8634370841728991,,,1.313560104929156e-07,,0.5532151106235977,lossguide,6.653496727228202e-07,,,5.0,,8.0,,,,,,,,,,,,,,,0.8881165648517815,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.3358178053830228,2023-08-23 20:46:35.795413,2023-08-23 20:46:35.884938,0 days 00:00:00.089525,1.3223346556075964e-07,,,gblinear,XGBoost,0.7852660741634931,,,,,,,0.0010871224422839602,,,,,,,,,,,,,,,,,,,,0.7922614339172789,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.8746447519017228,2023-08-23 20:46:35.798725,2023-08-23 20:46:36.352805,0 days 00:00:00.554080,1.5941211374859015e-07,,,dart,XGBoost,0.8079429589984628,,,4.5505830103740813e-07,,0.0146407128773694,lossguide,0.05221838501978215,,,5.0,,3.0,,,,,,,,tree,,9.609774421347919e-08,,,weighted,3.3421103230255025e-06,0.4755572262589769,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.8121255844706716,2023-08-23 20:46:35.802464,2023-08-23 20:46:40.201713,0 days 00:00:04.399249,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,93.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.8166527244645106,2023-08-23 20:46:35.805068,2023-08-23 20:46:36.061483,0 days 00:00:00.256415,,,,,DecisionTreeClassifier,,entropy,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.883587428828289,2023-08-23 20:46:35.809764,2023-08-23 20:46:36.232597,0 days 00:00:00.422833,2.3508581676811252e-07,,,gbtree,XGBoost,0.3774183535166648,,,0.00027516877189651606,,2.686252168465312e-06,lossguide,0.0003365358558367202,,,5.0,,10.0,,,,,,,,,,,,,,,0.560918960327381,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.3358178053830228,2023-08-23 20:46:35.813400,2023-08-23 20:47:23.648734,0 days 00:00:47.835334,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.02363168021142,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.8070048523919976,2023-08-23 20:46:35.816932,2023-08-23 20:46:35.961220,0 days 00:00:00.144288,,,,,DecisionTreeClassifier,,gini,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.8168925903586142,2023-08-23 20:46:35.932003,2023-08-23 20:46:36.110239,0 days 00:00:00.178236,,,,,DecisionTreeClassifier,,entropy,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.3952782241968621,2023-08-23 20:46:36.004257,2023-08-23 20:47:08.949190,0 days 00:00:32.944933,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937.5441048662823,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
