,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6016172818113557,2023-08-23 20:52:59.252521,2023-08-23 20:55:40.450788,0 days 00:02:41.198267,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,adam,1.0,100.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6240437957112295,2023-08-23 20:52:59.255812,2023-08-23 20:53:11.007172,0 days 00:00:11.751360,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,40.0,31.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6234408110658687,2023-08-23 20:52:59.258254,2023-08-23 20:53:06.837507,0 days 00:00:07.579253,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,68.0,4.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6024954974425474,2023-08-23 20:52:59.260838,2023-08-23 20:55:22.006537,0 days 00:02:22.745699,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,adam,1.0,90.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.3358178053830228,2023-08-23 20:52:59.264863,2023-08-23 20:53:43.634656,0 days 00:00:44.369793,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010292227460788854,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5477602224844982,2023-08-23 20:52:59.268026,2023-08-23 20:53:05.816064,0 days 00:00:06.548038,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,lbfgs,4.0,20.0,40.0,60.0,10.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6362213282699378,2023-08-23 20:52:59.273080,2023-08-23 20:53:03.800558,0 days 00:00:04.527478,,1.0,2.0,,LightGBM,,,,,1.0,,,,0.2845474355348604,0.004362753906709565,,10.0,,,,,,,,,,127.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6237736030893755,2023-08-23 20:52:59.273518,2023-08-23 20:52:59.689411,0 days 00:00:00.415893,0.05802161941613754,,,gbtree,XGBoost,0.5241274835916996,,,5.1614273244006706e-08,,1.247317343330071e-07,lossguide,6.929053539765733e-06,,,9.0,,9.0,,,,,,,,,,,,,,,0.6124656361291378,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6370617462502041,2023-08-23 20:52:59.865289,2023-08-23 20:53:00.310594,0 days 00:00:00.445305,8.710506633700619e-06,,,dart,XGBoost,0.8160584527597876,,,0.1056710558313379,,0.0336686441818841,depthwise,0.018409478068429623,,,3.0,,10.0,,,,,,,,tree,,0.019074988850002823,,,uniform,2.4295992406838423e-05,0.2864855152271874,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6361998511462699,2023-08-23 20:53:00.401900,2023-08-23 20:53:20.480175,0 days 00:00:20.078275,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,81.0,21.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6229810323455808,2023-08-23 20:53:03.891460,2023-08-23 20:53:04.044489,0 days 00:00:00.153029,,,,,DecisionTreeClassifier,,gini,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.3358178053830228,2023-08-23 20:53:04.116168,2023-08-23 20:53:48.081373,0 days 00:00:43.965205,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.57098039350621,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.635660422270728,2023-08-23 20:53:06.002258,2023-08-23 20:53:11.443754,0 days 00:00:05.441496,,0.7000000000000001,2.0,,LightGBM,,,,,0.6000000000000001,,,,0.10205879603900761,0.17664257799112487,,30.0,,,,,,,,,,220.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6224549841120395,2023-08-23 20:53:06.929488,2023-08-23 20:53:07.305469,0 days 00:00:00.375981,3.799240296735744e-08,,,dart,XGBoost,0.2589130886612185,,,1.3597588470882163e-07,,2.1714085795837446e-06,depthwise,0.0026892343927859166,,,5.0,,7.0,,,,,,,,forest,,0.034953148960239176,,,weighted,2.361688623121757e-07,0.7025042337733485,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.3358178053830228,2023-08-23 20:53:07.405012,2023-08-23 20:53:51.736874,0 days 00:00:44.331862,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.492768210128429,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6142368254526501,2023-08-23 20:53:11.116954,2023-08-23 20:53:11.822437,0 days 00:00:00.705483,,,,,DecisionTreeClassifier,,log_loss,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6218598281408958,2023-08-23 20:53:11.565188,2023-08-23 20:53:14.814395,0 days 00:00:03.249207,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,45.0,4.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5178726780669193,2023-08-23 20:53:11.936484,2023-08-23 20:53:53.204728,0 days 00:00:41.268244,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2255854370007397,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.3358178053830228,2023-08-23 20:53:14.937066,2023-08-23 20:53:55.107883,0 days 00:00:40.170817,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1856109588952437,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6379140906109947,2023-08-23 20:53:20.581069,2023-08-23 20:53:22.442489,0 days 00:00:01.861420,,1.0,3.0,,LightGBM,,,,,1.0,,,,0.925196167525831,2.215899646560745e-06,,10.0,,,,,,,,,,56.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.3358178053830228,2023-08-23 20:53:22.547651,2023-08-23 20:54:02.867935,0 days 00:00:40.320284,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44127964410347653,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6486620618025128,2023-08-23 20:53:43.768964,2023-08-23 20:53:44.822442,0 days 00:00:01.053478,,1.0,3.0,,LightGBM,,,,,1.0,,,,1.6757794729209835e-07,1.9638591910429789e-07,,100.0,,,,,,,,,,3.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6514798683870416,2023-08-23 20:53:44.972559,2023-08-23 20:53:45.642343,0 days 00:00:00.669784,,1.0,3.0,,LightGBM,,,,,1.0,,,,5.631624167634894e-08,2.3225648351126468e-07,,100.0,,,,,,,,,,2.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
