,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7762607438509888,2023-08-23 21:06:41.073882,2023-08-23 21:07:23.595169,0 days 00:00:42.521287,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,adam,3.0,40.0,30.0,40.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7932904676382282,2023-08-23 21:06:41.077246,2023-08-23 21:06:41.293470,0 days 00:00:00.216224,0.00044556459400312004,,,dart,XGBoost,0.7388839760783439,,,0.0772765369469461,,2.325468029587803e-06,depthwise,5.588857784266534e-08,,,5.0,,2.0,,,,,,,,forest,,1.94048326191869e-06,,,uniform,0.0006268319299542008,0.23362255693933137,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5374625724367301,2023-08-23 21:06:41.079478,2023-08-23 21:07:15.823698,0 days 00:00:34.744220,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.262538572927754,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7423603204775214,2023-08-23 21:06:41.084330,2023-08-23 21:06:41.523279,0 days 00:00:00.438949,,,,,DecisionTreeClassifier,,log_loss,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7131205455332945,2023-08-23 21:06:41.086713,2023-08-23 21:06:41.438973,0 days 00:00:00.352260,,,,,DecisionTreeClassifier,,gini,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.8056270583521455,2023-08-23 21:06:41.090713,2023-08-23 21:06:47.764126,0 days 00:00:06.673413,,0.4,3.0,,LightGBM,,,,,0.9,,,,3.84435189147044e-06,0.36404058439432174,,20.0,,,,,,,,,,244.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5297110183195666,2023-08-23 21:06:41.093086,2023-08-23 21:06:46.729031,0 days 00:00:05.635945,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,sgd,1.0,10.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.8102334356582879,2023-08-23 21:06:41.096377,2023-08-23 21:06:42.861334,0 days 00:00:01.764957,,0.5,3.0,,LightGBM,,,,,0.4,,,,1.2022045227137708e-08,1.6907080906028854e-07,,40.0,,,,,,,,,,50.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.8094052552013926,2023-08-23 21:06:41.336654,2023-08-23 21:06:43.264285,0 days 00:00:01.927631,,1.0,3.0,,LightGBM,,,,,0.6000000000000001,,,,8.434730024647149e-07,0.00044757695447874386,,20.0,,,,,,,,,,63.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7738202676467858,2023-08-23 21:06:41.491542,2023-08-23 21:06:42.118318,0 days 00:00:00.626776,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,17.0,3.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
