,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.3696969696969697,2023-08-23 17:35:06.067566,2023-08-23 17:35:06.129465,0 days 00:00:00.061899,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.295279713782556,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.8308943089430895,2023-08-23 17:35:06.070224,2023-08-23 17:35:06.599124,0 days 00:00:00.528900,,0.4,2.0,,LightGBM,,,,,0.6000000000000001,,,,0.6429009629387789,4.1948568495802525e-08,,60.0,,,,,,,,,,27.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.3696969696969697,2023-08-23 17:35:06.072931,2023-08-23 17:35:21.529813,0 days 00:00:15.456882,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,sgd,2.0,30.0,80.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.706814425974531,2023-08-23 17:35:06.076288,2023-08-23 17:35:06.401052,0 days 00:00:00.324764,,,,,DecisionTreeClassifier,,log_loss,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7602005012531328,2023-08-23 17:35:06.079485,2023-08-23 17:35:07.184408,0 days 00:00:01.104923,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,32.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7602005012531328,2023-08-23 17:35:06.083666,2023-08-23 17:37:33.571111,0 days 00:02:27.487445,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,lbfgs,2.0,100.0,30.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7765625,2023-08-23 17:35:06.086284,2023-08-23 17:35:08.767559,0 days 00:00:02.681275,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,68.0,3.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.3696969696969697,2023-08-23 17:35:06.095553,2023-08-23 17:35:06.258072,0 days 00:00:00.162519,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011591195935773577,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.8227272727272728,2023-08-23 17:35:06.208610,2023-08-23 17:35:06.993310,0 days 00:00:00.784700,,0.7000000000000001,3.0,,LightGBM,,,,,0.8,,,,0.5285146326884518,1.0072308254155029e-06,,100.0,,,,,,,,,,24.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7674735102556626,2023-08-23 17:35:06.338336,2023-08-23 17:35:07.756693,0 days 00:00:01.418357,3.487199677653238e-07,,,dart,XGBoost,0.38423390836923527,,,9.969815696131685e-07,,0.003044220136554869,lossguide,0.6436842608253365,,,9.0,,5.0,,,,,,,,tree,,9.890087917827647e-08,,,uniform,0.043575650561100576,0.5400919798925752,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.792533485323454,2023-08-23 17:35:06.498380,2023-08-23 17:35:06.797944,0 days 00:00:00.299564,,,,,DecisionTreeClassifier,,log_loss,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
