,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.664380798709157,2023-08-23 17:29:02.575062,2023-08-23 17:29:03.377610,0 days 00:00:00.802548,,0.7000000000000001,2.0,,LightGBM,,,,,0.9,,,,4.4715762101013066e-07,0.0006561050386339436,,80.0,,,,,,,,,,76.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6367100666878375,2023-08-23 17:29:02.577672,2023-08-23 17:29:03.222434,0 days 00:00:00.644762,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,21.0,4.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.3696969696969697,2023-08-23 17:29:02.579903,2023-08-23 17:29:02.724283,0 days 00:00:00.144380,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004630497281116436,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.3696969696969697,2023-08-23 17:29:02.590500,2023-08-23 17:29:02.794858,0 days 00:00:00.204358,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.8953322685555,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7216218895608209,2023-08-23 17:29:02.596165,2023-08-23 17:29:03.294338,0 days 00:00:00.698173,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,17.0,8.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6376306620209059,2023-08-23 17:29:02.598673,2023-08-23 17:29:02.674910,0 days 00:00:00.076237,,,,,DecisionTreeClassifier,,gini,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.3946784922394678,2023-08-23 17:29:02.620208,2023-08-23 17:29:02.841611,0 days 00:00:00.221403,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.56077460138659,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5529220401998374,2023-08-23 17:29:02.623373,2023-08-23 17:29:03.109070,0 days 00:00:00.485697,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,17.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6504201680672269,2023-08-23 17:29:02.777796,2023-08-23 17:29:03.056658,0 days 00:00:00.278862,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,15.0,3.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6848484848484848,2023-08-23 17:29:02.787198,2023-08-23 17:29:02.932066,0 days 00:00:00.144868,,,,,DecisionTreeClassifier,,log_loss,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6953125,2023-08-23 17:29:02.891473,2023-08-23 17:29:03.752604,0 days 00:00:00.861131,3.881759984661771e-06,,,gbtree,XGBoost,0.32996616724309524,,,4.2398901316002806e-08,,1.4587292756257995e-08,lossguide,4.981724653507756e-06,,,3.0,,7.0,,,,,,,,,,,,,,,0.7849410245939812,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6224283985478015,2023-08-23 17:29:02.901357,2023-08-23 17:29:03.835677,0 days 00:00:00.934320,,0.6000000000000001,2.0,,LightGBM,,,,,0.9,,,,0.0014701234484239118,2.1160740807539897e-06,,60.0,,,,,,,,,,68.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.3696969696969697,2023-08-23 17:29:02.977202,2023-08-23 17:29:04.726852,0 days 00:00:01.749650,,,,,MLPClassifier,,,,,,,,,,,,,,identity,adam,1.0,20.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.42075949367088605,2023-08-23 17:29:03.099275,2023-08-23 17:29:26.341790,0 days 00:00:23.242515,,,,,MLPClassifier,,,,,,,,,,,,,,identity,lbfgs,2.0,60.0,30.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6475279106858054,2023-08-23 17:29:03.154608,2023-08-23 17:29:03.378549,0 days 00:00:00.223941,,,,,DecisionTreeClassifier,,log_loss,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6670433145009416,2023-08-23 17:29:03.359144,2023-08-23 17:29:03.526929,0 days 00:00:00.167785,,,,,DecisionTreeClassifier,,entropy,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.3696969696969697,2023-08-23 17:29:03.369444,2023-08-23 17:29:03.594946,0 days 00:00:00.225502,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.7204987483781,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6306443429731101,2023-08-23 17:29:03.473878,2023-08-23 17:29:04.036190,0 days 00:00:00.562312,7.25330474037025e-06,,,dart,XGBoost,0.5594522458286745,,,0.006493645570436527,,1.368474341005998e-07,depthwise,0.24412371460825597,,,5.0,,10.0,,,,,,,,tree,,2.8620687948287103e-05,,,uniform,1.5319897697874444e-05,0.27814783747465355,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.3696969696969697,2023-08-23 17:29:03.656234,2023-08-23 17:29:21.257452,0 days 00:00:17.601218,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,sgd,3.0,40.0,90.0,50.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5497835497835498,2023-08-23 17:29:03.666281,2023-08-23 17:29:10.965322,0 days 00:00:07.299041,,,,,MLPClassifier,,,,,,,,,,,,,,relu,adam,2.0,70.0,10.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5601503759398496,2023-08-23 17:29:03.668305,2023-08-23 17:30:39.965816,0 days 00:01:36.297511,,,,,MLPClassifier,,,,,,,,,,,,,,relu,adam,2.0,50.0,30.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6955905957888773,2023-08-23 17:29:03.821013,2023-08-23 17:29:04.284063,0 days 00:00:00.463050,1.8163480528014034e-06,,,gbtree,XGBoost,0.2999212645667118,,,3.051463483627681e-08,,1.7797389340826155e-08,lossguide,3.097789282945143e-06,,,3.0,,7.0,,,,,,,,,,,,,,,0.8111066385244287,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5328125,2023-08-23 17:29:03.892801,2023-08-23 17:29:04.386634,0 days 00:00:00.493833,2.6854774895083065e-06,,,gbtree,XGBoost,0.30252767580464857,,,1.146161502926285e-08,,1.010047388862307e-08,lossguide,3.2654672766385885e-06,,,3.0,,7.0,,,,,,,,,,,,,,,0.8326395476055315,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.3696969696969697,2023-08-23 17:29:04.119850,2023-08-23 17:29:12.341502,0 days 00:00:08.221652,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,adam,3.0,20.0,40.0,80.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5622796041405984,2023-08-23 17:29:04.360199,2023-08-23 17:30:43.555961,0 days 00:01:39.195762,,,,,MLPClassifier,,,,,,,,,,,,,,relu,lbfgs,4.0,30.0,70.0,90.0,90.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.44708860759493674,2023-08-23 17:29:04.451298,2023-08-23 17:29:13.248595,0 days 00:00:08.797297,,,,,MLPClassifier,,,,,,,,,,,,,,identity,lbfgs,1.0,30.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.3696969696969697,2023-08-23 17:29:04.817056,2023-08-23 17:29:07.509613,0 days 00:00:02.692557,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,lbfgs,4.0,90.0,90.0,60.0,70.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.7304625199362041,2023-08-23 17:29:07.624639,2023-08-23 17:29:09.652048,0 days 00:00:02.027409,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,90.0,17.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.6682615629984051,2023-08-23 17:29:09.748549,2023-08-23 17:29:11.516069,0 days 00:00:01.767520,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,93.0,16.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
