,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6546875,2023-08-23 17:30:44.069253,2023-08-23 17:30:45.539509,0 days 00:00:01.470256,,0.6000000000000001,3.0,,LightGBM,,,,,0.7000000000000001,,,,0.47173417502397375,1.7532753049257443e-06,,50.0,,,,,,,,,,148.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6587276384037261,2023-08-23 17:30:44.069683,2023-08-23 17:30:45.215676,0 days 00:00:01.145993,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,42.0,7.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.3696969696969697,2023-08-23 17:30:44.072521,2023-08-23 17:30:44.154841,0 days 00:00:00.082320,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22186449095127725,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.3696969696969697,2023-08-23 17:30:44.073072,2023-08-23 17:30:44.219519,0 days 00:00:00.146447,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.381892644538212,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.3696969696969697,2023-08-23 17:30:44.073477,2023-08-23 17:30:51.996392,0 days 00:00:07.922915,,,,,MLPClassifier,,,,,,,,,,,,,,identity,sgd,1.0,80.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.3696969696969697,2023-08-23 17:30:44.073736,2023-08-23 17:30:44.266564,0 days 00:00:00.192828,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4542738012872904,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7238562091503268,2023-08-23 17:30:44.075560,2023-08-23 17:30:48.296954,0 days 00:00:04.221394,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,96.0,15.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7063331988705123,2023-08-23 17:30:44.076130,2023-08-23 17:30:44.813189,0 days 00:00:00.737059,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,13.0,10.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6486486486486487,2023-08-23 17:30:44.291458,2023-08-23 17:30:46.261617,0 days 00:00:01.970159,0.016495536309835773,,,gbtree,XGBoost,0.2553041587726377,,,0.000123597687700186,,2.823446996408464e-07,depthwise,4.7457090785877653e-07,,,9.0,,5.0,,,,,,,,,,,,,,,0.286078710350173,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5194205070563257,2023-08-23 17:30:44.359610,2023-08-23 17:31:36.256500,0 days 00:00:51.896890,,,,,MLPClassifier,,,,,,,,,,,,,,identity,adam,4.0,50.0,50.0,90.0,40.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.4501149425287356,2023-08-23 17:30:44.388743,2023-08-23 17:30:44.618727,0 days 00:00:00.229984,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,sgd,1.0,10.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
