,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5324725011956002,2023-08-23 17:33:24.137878,2023-08-23 17:33:24.208944,0 days 00:00:00.071066,,,,,DecisionTreeClassifier,,entropy,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5248371731311363,2023-08-23 17:33:24.139847,2023-08-23 17:33:24.255588,0 days 00:00:00.115741,,,,,DecisionTreeClassifier,,log_loss,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5616325691374524,2023-08-23 17:33:24.142082,2023-08-23 17:33:26.198395,0 days 00:00:02.056313,,0.9,3.0,,LightGBM,,,,,0.7000000000000001,,,,1.1918559380419838e-07,9.000775074744538e-07,,10.0,,,,,,,,,,183.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.3696969696969697,2023-08-23 17:33:24.144268,2023-08-23 17:33:24.307650,0 days 00:00:00.163382,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3845404064774307,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5404330534688466,2023-08-23 17:33:24.147281,2023-08-23 17:33:26.047234,0 days 00:00:01.899953,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,65.0,5.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.31064958020326994,2023-08-23 17:33:24.151030,2023-08-23 17:33:24.547921,0 days 00:00:00.396891,2.2887941647642535e-07,,,gbtree,XGBoost,0.3323891832524385,,,1.0163581319092007e-08,,0.008875770526447963,depthwise,0.002545072095866123,,,7.0,,10.0,,,,,,,,,,,,,,,0.285240750339135,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5630252100840336,2023-08-23 17:33:24.152990,2023-08-23 17:33:25.502593,0 days 00:00:01.349603,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,32.0,31.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.634375,2023-08-23 17:33:24.169969,2023-08-23 17:33:24.432574,0 days 00:00:00.262605,,,,,DecisionTreeClassifier,,gini,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.3903203817314247,2023-08-23 17:33:24.251039,2023-08-23 17:33:24.390241,0 days 00:00:00.139202,,,,,DecisionTreeClassifier,,entropy,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.45833333333333326,2023-08-23 17:33:24.354665,2023-08-23 17:33:24.656943,0 days 00:00:00.302278,2.0636878383779375e-05,,,dart,XGBoost,0.2583758568967227,,,0.0014058366490172058,,1.995180479284909e-05,lossguide,0.010520138509186577,,,9.0,,8.0,,,,,,,,tree,,2.2851052788330282e-05,,,uniform,9.078872398010112e-08,0.4721101697450619,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
