,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6855385257011782,2023-08-23 17:41:22.959343,2023-08-23 17:41:24.971592,0 days 00:00:02.012249,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,95.0,5.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6163194444444444,2023-08-23 17:41:22.961981,2023-08-23 17:41:23.132615,0 days 00:00:00.170634,,,,,DecisionTreeClassifier,,log_loss,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.3696969696969697,2023-08-23 17:41:22.964240,2023-08-23 17:41:24.305118,0 days 00:00:01.340878,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,sgd,1.0,20.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6531468531468532,2023-08-23 17:41:22.967008,2023-08-23 17:41:24.759228,0 days 00:00:01.792220,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,80.0,3.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.3696969696969697,2023-08-23 17:41:22.969222,2023-08-23 17:41:23.046331,0 days 00:00:00.077109,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.0661056595031,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6146924949719488,2023-08-23 17:41:22.971661,2023-08-23 17:41:23.088051,0 days 00:00:00.116390,,,,,DecisionTreeClassifier,,gini,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6939624556062911,2023-08-23 17:41:23.011044,2023-08-23 17:41:25.244293,0 days 00:00:02.233249,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,100.0,5.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6224283985478015,2023-08-23 17:41:23.014518,2023-08-23 17:41:23.191893,0 days 00:00:00.177375,,,,,DecisionTreeClassifier,,log_loss,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6804915514592934,2023-08-23 17:41:23.085438,2023-08-23 17:41:24.607550,0 days 00:00:01.522112,,0.5,3.0,,LightGBM,,,,,0.9,,,,0.008531542050515479,0.3980491540491966,,10.0,,,,,,,,,,59.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.3696969696969697,2023-08-23 17:41:23.134031,2023-08-23 17:41:23.246640,0 days 00:00:00.112609,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001876968822422985,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
