,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.3696969696969697,2023-08-23 17:41:57.174760,2023-08-23 17:41:58.829648,0 days 00:00:01.654888,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,lbfgs,4.0,10.0,10.0,100.0,10.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.3696969696969697,2023-08-23 17:41:57.178461,2023-08-23 17:41:57.929240,0 days 00:00:00.750779,,,,,MLPClassifier,,,,,,,,,,,,,,relu,lbfgs,1.0,80.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7765625,2023-08-23 17:41:57.181183,2023-08-23 17:41:58.022637,0 days 00:00:00.841454,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,36.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.8320509166904151,2023-08-23 17:41:57.181648,2023-08-23 17:41:58.463268,0 days 00:00:01.281620,,1.0,1.0,,LightGBM,,,,,1.0,,,,1.135286682487978e-08,0.029486357118148326,,50.0,,,,,,,,,,181.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.3696969696969697,2023-08-23 17:41:57.184101,2023-08-23 17:41:57.448589,0 days 00:00:00.264488,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01488119467076659,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.8424242424242425,2023-08-23 17:41:57.185922,2023-08-23 17:41:57.812857,0 days 00:00:00.626935,,0.6000000000000001,2.0,,LightGBM,,,,,0.7000000000000001,,,,5.378864707971852e-07,2.9854790697422582e-05,,90.0,,,,,,,,,,149.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7314203730272597,2023-08-23 17:41:57.189842,2023-08-23 17:41:57.252191,0 days 00:00:00.062349,,,,,DecisionTreeClassifier,,entropy,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.3696969696969697,2023-08-23 17:41:57.203116,2023-08-23 17:41:57.386332,0 days 00:00:00.183216,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3922386549106545,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.8518096323738957,2023-08-23 17:41:57.339583,2023-08-23 17:41:58.601435,0 days 00:00:01.261852,,0.4,2.0,,LightGBM,,,,,0.6000000000000001,,,,1.3027177824593874e-05,4.5253469712980366e-05,,20.0,,,,,,,,,,19.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7741478613917477,2023-08-23 17:41:57.512084,2023-08-23 17:41:57.546339,0 days 00:00:00.034255,,,,,DecisionTreeClassifier,,log_loss,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
