,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.4944763588157314,2023-08-23 17:42:36.383947,2023-08-23 17:42:36.672022,0 days 00:00:00.288075,1.111414649334837e-08,,,gbtree,XGBoost,0.2490260765567178,,,0.007879106632183315,,0.40274835898304395,lossguide,0.0061062192601898345,,,7.0,,2.0,,,,,,,,,,,,,,,0.29960571009658366,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.41867757327880023,2023-08-23 17:42:36.391500,2023-08-23 17:42:36.514760,0 days 00:00:00.123260,9.30038606921507e-05,,,gblinear,XGBoost,0.38491163550075647,,,,,,,1.027364833381654e-05,,,,,,,,,,,,,,,,,,,,0.8559221406610387,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5554288971216871,2023-08-23 17:42:36.392021,2023-08-23 17:42:36.417662,0 days 00:00:00.025641,,,,,DecisionTreeClassifier,,gini,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5566570833746406,2023-08-23 17:42:36.397350,2023-08-23 17:42:39.367299,0 days 00:00:02.969949,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,88.0,11.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.606060606060606,2023-08-23 17:42:36.399949,2023-08-23 17:42:36.778273,0 days 00:00:00.378324,2.8924243022881394e-08,,,gbtree,XGBoost,0.37896726824234284,,,1.534164618636833e-07,,1.3880910207973302e-07,depthwise,1.8012773075589306e-05,,,9.0,,6.0,,,,,,,,,,,,,,,0.4589372242705624,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.3696969696969697,2023-08-23 17:42:36.400636,2023-08-23 17:42:36.565848,0 days 00:00:00.165212,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.37828305620037,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6224119320969482,2023-08-23 17:42:36.401990,2023-08-23 17:42:37.153010,0 days 00:00:00.751020,,0.7000000000000001,3.0,,LightGBM,,,,,0.4,,,,9.174251862984391e-08,0.10121322802515352,,90.0,,,,,,,,,,13.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6546875,2023-08-23 17:42:36.403487,2023-08-23 17:42:37.438811,0 days 00:00:01.035324,,1.0,2.0,,LightGBM,,,,,0.8,,,,0.04181085153756272,0.0014114297491762608,,90.0,,,,,,,,,,8.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5486397798242829,2023-08-23 17:42:36.471903,2023-08-23 17:42:38.755098,0 days 00:00:02.283195,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,88.0,4.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.3696969696969697,2023-08-23 17:42:36.556370,2023-08-23 17:42:38.302258,0 days 00:00:01.745888,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,lbfgs,4.0,100.0,100.0,90.0,40.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5412587412587413,2023-08-23 17:42:36.607526,2023-08-23 17:42:37.334262,0 days 00:00:00.726736,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,19.0,3.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5863636363636363,2023-08-23 17:42:36.770149,2023-08-23 17:42:36.901021,0 days 00:00:00.130872,,,,,DecisionTreeClassifier,,log_loss,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5692307692307692,2023-08-23 17:42:36.879166,2023-08-23 17:42:37.017733,0 days 00:00:00.138567,,,,,DecisionTreeClassifier,,gini,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.3696969696969697,2023-08-23 17:42:37.014608,2023-08-23 17:42:37.252546,0 days 00:00:00.237938,5.109168898757787e-08,,,gblinear,XGBoost,0.24424199302392752,,,,,,,3.653564494819916e-05,,,,,,,,,,,,,,,,,,,,0.2556045279186931,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5772357723577235,2023-08-23 17:42:37.109022,2023-08-23 17:42:37.916747,0 days 00:00:00.807725,,0.5,3.0,,LightGBM,,,,,0.9,,,,0.10927645644809564,0.04881000649371697,,40.0,,,,,,,,,,179.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5412587412587413,2023-08-23 17:42:37.219437,2023-08-23 17:42:37.817498,0 days 00:00:00.598061,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,21.0,3.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6140625,2023-08-23 17:42:37.398771,2023-08-23 17:42:38.233863,0 days 00:00:00.835092,,0.7000000000000001,3.0,,LightGBM,,,,,0.4,,,,2.57087275657242e-08,0.4376257157977133,,90.0,,,,,,,,,,5.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6391394864677308,2023-08-23 17:42:37.510283,2023-08-23 17:42:38.426647,0 days 00:00:00.916364,,0.9,2.0,,LightGBM,,,,,0.7000000000000001,,,,2.493617244897118e-07,0.022906040980331895,,90.0,,,,,,,,,,4.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6185188856944581,2023-08-23 17:42:37.540750,2023-08-23 17:42:38.427657,0 days 00:00:00.886907,,0.9,2.0,,LightGBM,,,,,0.7000000000000001,,,,1.474385664883134e-07,0.02200777636436197,,90.0,,,,,,,,,,3.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6142355889724311,2023-08-23 17:42:37.905389,2023-08-23 17:42:38.657815,0 days 00:00:00.752426,,0.9,2.0,,LightGBM,,,,,0.7000000000000001,,,,1.9536770325311625e-07,0.02952243775008746,,90.0,,,,,,,,,,3.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6267942583732058,2023-08-23 17:42:37.989533,2023-08-23 17:42:38.800509,0 days 00:00:00.810976,,1.0,2.0,,LightGBM,,,,,0.4,,,,1.4754111539437502e-08,0.007664979542580226,,100.0,,,,,,,,,,14.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6512820512820513,2023-08-23 17:42:38.363394,2023-08-23 17:42:38.868189,0 days 00:00:00.504795,,1.0,1.0,,LightGBM,,,,,0.7000000000000001,,,,0.00034803575694689537,5.8142874954280164e-05,,100.0,,,,,,,,,,31.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6307692307692307,2023-08-23 17:42:38.370597,2023-08-23 17:42:38.868776,0 days 00:00:00.498179,,1.0,1.0,,LightGBM,,,,,0.7000000000000001,,,,0.0002878140285660263,7.362054562888275e-05,,100.0,,,,,,,,,,6.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.612051649928264,2023-08-23 17:42:38.507218,2023-08-23 17:42:39.077916,0 days 00:00:00.570698,,1.0,1.0,,LightGBM,,,,,0.8,,,,0.0022295557476095028,4.2765018009776465e-05,,60.0,,,,,,,,,,96.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6454545454545454,2023-08-23 17:42:38.527799,2023-08-23 17:42:39.032037,0 days 00:00:00.504238,,1.0,1.0,,LightGBM,,,,,0.8,,,,0.009014035777708401,3.456118696932779e-05,,60.0,,,,,,,,,,82.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.3696969696969697,2023-08-23 17:42:38.699569,2023-08-23 17:42:39.690693,0 days 00:00:00.991124,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,adam,1.0,10.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.3696969696969697,2023-08-23 17:42:38.796987,2023-08-23 17:42:39.601896,0 days 00:00:00.804909,,,,,MLPClassifier,,,,,,,,,,,,,,relu,sgd,1.0,10.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.3696969696969697,2023-08-23 17:42:38.841474,2023-08-23 17:42:39.896445,0 days 00:00:01.054971,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,adam,1.0,10.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.3696969696969697,2023-08-23 17:42:38.953271,2023-08-23 17:42:41.053643,0 days 00:00:02.100372,,,,,MLPClassifier,,,,,,,,,,,,,,relu,sgd,1.0,10.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.3696969696969697,2023-08-23 17:42:38.956220,2023-08-23 17:42:40.003025,0 days 00:00:01.046805,,,,,MLPClassifier,,,,,,,,,,,,,,identity,sgd,1.0,10.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
