,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7128205128205128,2023-08-23 17:43:03.863424,2023-08-23 17:43:04.153545,0 days 00:00:00.290121,0.06754454343649656,,,gbtree,XGBoost,0.8106732867912989,,,0.415946850313097,,0.0005513878826109198,lossguide,6.280079837788104e-07,,,3.0,,5.0,,,,,,,,,,,,,,,0.6733065783931736,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6976441102756892,2023-08-23 17:43:03.865256,2023-08-23 17:43:03.897077,0 days 00:00:00.031821,,,,,DecisionTreeClassifier,,gini,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.63194643711143,2023-08-23 17:43:03.867874,2023-08-23 17:43:03.970875,0 days 00:00:00.103001,,,,,DecisionTreeClassifier,,entropy,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7603686635944701,2023-08-23 17:43:03.871689,2023-08-23 17:43:04.986883,0 days 00:00:01.115194,,0.9,3.0,,LightGBM,,,,,0.9,,,,0.10832407308258875,2.438723993952271e-06,,10.0,,,,,,,,,,8.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7128205128205128,2023-08-23 17:43:03.875866,2023-08-23 17:43:04.134900,0 days 00:00:00.259034,9.843138538295441e-06,,,gbtree,XGBoost,0.8806456162387246,,,0.00557154336379732,,0.07532778873058348,lossguide,2.5836158296250976e-07,,,3.0,,6.0,,,,,,,,,,,,,,,0.30701568153422426,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.706814425974531,2023-08-23 17:43:03.879295,2023-08-23 17:43:04.457830,0 days 00:00:00.578535,1.740674539652038e-07,,,gbtree,XGBoost,0.6963055002355834,,,0.15948467133431743,,1.459435686106194e-07,depthwise,0.001614540461190866,,,5.0,,3.0,,,,,,,,,,,,,,,0.4359722877568289,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5859401660789443,2023-08-23 17:43:03.883317,2023-08-23 17:44:23.098228,0 days 00:01:19.214911,,,,,MLPClassifier,,,,,,,,,,,,,,identity,adam,1.0,90.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.3696969696969697,2023-08-23 17:43:03.890500,2023-08-23 17:43:04.044101,0 days 00:00:00.153601,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05625901872592215,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6366726465867245,2023-08-23 17:43:03.961214,2023-08-23 17:43:04.296822,0 days 00:00:00.335608,,,,,DecisionTreeClassifier,,log_loss,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7128205128205128,2023-08-23 17:43:04.030834,2023-08-23 17:43:06.758305,0 days 00:00:02.727471,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,54.0,10.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
