,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7543713995255846,2023-08-23 18:44:19.152325,2023-08-23 18:44:19.285916,0 days 00:00:00.133591,,,,,DecisionTreeClassifier,,log_loss,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5449868279933776,2023-08-23 18:44:19.156963,2023-08-23 18:44:28.801543,0 days 00:00:09.644580,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.9574680205676,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.737802350143528,2023-08-23 18:44:19.157295,2023-08-23 18:44:21.200650,0 days 00:00:02.043355,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,79.0,3.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7570708613853389,2023-08-23 18:44:19.159970,2023-08-23 18:44:22.000350,0 days 00:00:02.840380,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,79.0,5.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7607251146905327,2023-08-23 18:44:19.160361,2023-08-23 18:44:19.453544,0 days 00:00:00.293183,,,,,DecisionTreeClassifier,,entropy,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7155726486111501,2023-08-23 18:44:19.160700,2023-08-23 18:44:19.865940,0 days 00:00:00.705240,,,,,DecisionTreeClassifier,,entropy,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7636078031360767,2023-08-23 18:44:19.164180,2023-08-23 18:44:20.117878,0 days 00:00:00.953698,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,22.0,7.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7470682290901155,2023-08-23 18:44:19.169454,2023-08-23 18:44:22.321704,0 days 00:00:03.152250,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,100.0,4.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.48253265957949854,2023-08-23 18:44:19.328344,2023-08-23 18:44:25.846737,0 days 00:00:06.518393,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11001458773458118,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7823651652823993,2023-08-23 18:44:19.514084,2023-08-23 18:44:30.681259,0 days 00:00:11.167175,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,97.0,17.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.7457855973813421,2023-08-23 18:44:19.915810,2023-08-23 18:44:20.517006,0 days 00:00:00.601196,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,19.0,4.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.8274841991125322,2023-08-23 18:44:20.170247,2023-08-23 18:44:20.955071,0 days 00:00:00.784824,,0.8,1.0,,LightGBM,,,,,0.5,,,,0.6750993920022075,0.0006243634179635229,,70.0,,,,,,,,,,15.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.7510391837547357,2023-08-23 18:44:20.572497,2023-08-23 18:44:20.832437,0 days 00:00:00.259940,,,,,DecisionTreeClassifier,,log_loss,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
