,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5907990156615626,2023-08-23 18:30:07.959371,2023-08-23 18:30:08.845721,0 days 00:00:00.886350,,0.4,1.0,,LightGBM,,,,,0.9,,,,6.249148531073848e-08,0.13802502344462447,,100.0,,,,,,,,,,33.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5920001181560886,2023-08-23 18:30:07.961793,2023-08-23 18:30:09.626211,0 days 00:00:01.664418,7.540799295944717e-05,,,dart,XGBoost,0.402169214256365,,,6.68644266058802e-06,,0.17840888278014924,depthwise,1.6894233404916272e-05,,,3.0,,4.0,,,,,,,,tree,,0.00018959729753312662,,,uniform,3.0719046792494394e-05,0.2848226569986101,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5894148214153856,2023-08-23 18:30:07.963564,2023-08-23 18:33:28.424317,0 days 00:03:20.460753,,,,,MLPClassifier,,,,,,,,,,,,,,relu,lbfgs,2.0,80.0,30.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.3357921744708146,2023-08-23 18:30:07.967300,2023-08-23 18:30:14.190498,0 days 00:00:06.223198,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.446420943797018,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5879742579066336,2023-08-23 18:30:07.974002,2023-08-23 18:30:08.611408,0 days 00:00:00.637406,,0.9,1.0,,LightGBM,,,,,0.6000000000000001,,,,2.7327209270459547e-08,0.9507429484232666,,100.0,,,,,,,,,,20.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5812487974840743,2023-08-23 18:30:07.979529,2023-08-23 18:30:09.494051,0 days 00:00:01.514522,,0.7000000000000001,1.0,,LightGBM,,,,,0.6000000000000001,,,,0.0001318964629045371,7.454383199130185e-08,,70.0,,,,,,,,,,143.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5868619250589027,2023-08-23 18:30:08.017834,2023-08-23 18:30:12.649613,0 days 00:00:04.631779,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,83.0,9.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5797930694787277,2023-08-23 18:30:08.043124,2023-08-23 18:30:10.275527,0 days 00:00:02.232403,,0.8,3.0,,LightGBM,,,,,0.8,,,,0.0037553051157716774,1.6692770564094121e-06,,50.0,,,,,,,,,,102.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.46651607558427055,2023-08-23 18:30:08.735640,2023-08-23 18:30:16.301223,0 days 00:00:07.565583,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.598863334870856,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.3357921744708146,2023-08-23 18:30:08.952587,2023-08-23 18:30:15.321297,0 days 00:00:06.368710,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.51112058659294,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
