,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6212064123285044,2023-08-23 18:34:33.576206,2023-08-23 18:34:35.138813,0 days 00:00:01.562607,,0.5,3.0,,LightGBM,,,,,0.5,,,,1.1386964203218787e-07,6.513943204882779e-06,,70.0,,,,,,,,,,207.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6195998176103468,2023-08-23 18:34:33.578675,2023-08-23 18:39:37.229503,0 days 00:05:03.650828,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,adam,3.0,40.0,80.0,40.0,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.3357921744708146,2023-08-23 18:34:33.582152,2023-08-23 18:34:47.850586,0 days 00:00:14.268434,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,sgd,1.0,100.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5943612052265878,2023-08-23 18:34:33.585940,2023-08-23 18:34:34.032894,0 days 00:00:00.446954,,,,,DecisionTreeClassifier,,log_loss,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6340580293692482,2023-08-23 18:34:33.587941,2023-08-23 18:34:36.479215,0 days 00:00:02.891274,,0.8,1.0,,LightGBM,,,,,0.8,,,,2.4637873069924775e-05,0.0007181566977591677,,40.0,,,,,,,,,,85.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.3357921744708146,2023-08-23 18:34:33.591100,2023-08-23 18:34:38.059909,0 days 00:00:04.468809,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.62135549008853,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.4081821004413014,2023-08-23 18:34:33.592736,2023-08-23 18:34:39.675558,0 days 00:00:06.082822,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.731934702907945,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6324088926393998,2023-08-23 18:34:33.595462,2023-08-23 18:34:34.542039,0 days 00:00:00.946577,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,31.0,2.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6281543335597345,2023-08-23 18:34:34.132012,2023-08-23 18:34:36.365360,0 days 00:00:02.233348,,0.5,1.0,,LightGBM,,,,,0.6000000000000001,,,,1.0698297178126605e-08,0.46155549277279834,,50.0,,,,,,,,,,145.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.3357921744708146,2023-08-23 18:34:34.664888,2023-08-23 18:34:34.760935,0 days 00:00:00.096047,0.0633935122518315,,,gblinear,XGBoost,0.7172290876451539,,,,,,,0.00507095093929828,,,,,,,,,,,,,,,,,,,,0.21893440330869166,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
