,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.3357921744708146,2023-08-23 18:42:56.981867,2023-08-23 18:42:59.278614,0 days 00:00:02.296747,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,lbfgs,4.0,50.0,30.0,70.0,10.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.538464779580482,2023-08-23 18:42:56.985310,2023-08-23 18:42:57.073843,0 days 00:00:00.088533,,,,,DecisionTreeClassifier,,entropy,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5595511867702462,2023-08-23 18:42:56.987374,2023-08-23 18:42:58.957882,0 days 00:00:01.970508,,0.9,1.0,,LightGBM,,,,,0.9,,,,0.00011555448062251586,1.258998603583124e-08,,80.0,,,,,,,,,,79.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5596686804280828,2023-08-23 18:42:56.990681,2023-08-23 18:42:57.876997,0 days 00:00:00.886316,,0.4,1.0,,LightGBM,,,,,0.4,,,,0.008064577847212803,0.03798631367167572,,90.0,,,,,,,,,,125.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5928678147361799,2023-08-23 18:42:56.994783,2023-08-23 18:42:57.208973,0 days 00:00:00.214190,0.0006918075276164914,,,gbtree,XGBoost,0.538536074063027,,,4.626685307472462e-07,,0.041563924246894215,lossguide,0.04405442209308974,,,5.0,,7.0,,,,,,,,,,,,,,,0.21394905555139473,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5559387096641331,2023-08-23 18:42:56.996789,2023-08-23 18:43:02.138202,0 days 00:00:05.141413,,,,,MLPClassifier,,,,,,,,,,,,,,identity,lbfgs,1.0,80.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.48084325268469397,2023-08-23 18:42:57.001056,2023-08-23 18:43:02.583703,0 days 00:00:05.582647,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5578052468835,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.569564555391775,2023-08-23 18:42:57.004612,2023-08-23 18:42:58.466536,0 days 00:00:01.461924,,0.8,2.0,,LightGBM,,,,,0.7000000000000001,,,,2.400724685541014e-05,0.014440410037202882,,100.0,,,,,,,,,,109.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.537364475137297,2023-08-23 18:42:57.168400,2023-08-23 18:42:57.644926,0 days 00:00:00.476526,,,,,DecisionTreeClassifier,,log_loss,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.3357921744708146,2023-08-23 18:42:57.283702,2023-08-23 18:43:02.733298,0 days 00:00:05.449596,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1896472818909707,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5779170805386009,2023-08-23 18:42:57.766786,2023-08-23 18:43:05.319625,0 days 00:00:07.552839,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,87.0,20.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
