,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.643134270273497,2023-08-23 18:57:56.317964,2023-08-23 18:57:57.755351,0 days 00:00:01.437387,,0.6000000000000001,3.0,,LightGBM,,,,,0.9,,,,0.02632602134178185,1.5122364534255982e-06,,30.0,,,,,,,,,,33.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.3357921744708146,2023-08-23 18:57:56.320583,2023-08-23 18:58:00.613396,0 days 00:00:04.292813,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.369499573918038,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.3357921744708146,2023-08-23 18:57:56.323770,2023-08-23 18:57:57.830626,0 days 00:00:01.506856,,,,,MLPClassifier,,,,,,,,,,,,,,relu,lbfgs,2.0,70.0,10.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.3357921744708146,2023-08-23 18:57:56.328077,2023-08-23 18:57:57.513758,0 days 00:00:01.185681,,,,,MLPClassifier,,,,,,,,,,,,,,relu,lbfgs,2.0,90.0,90.0,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5826525897745927,2023-08-23 18:57:56.328586,2023-08-23 18:57:56.490092,0 days 00:00:00.161506,,,,,DecisionTreeClassifier,,log_loss,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5634273297767111,2023-08-23 18:57:56.329253,2023-08-23 18:57:56.402653,0 days 00:00:00.073400,,,,,DecisionTreeClassifier,,entropy,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6162799315465363,2023-08-23 18:57:56.332680,2023-08-23 18:57:58.532333,0 days 00:00:02.199653,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,44.0,9.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6098761975026703,2023-08-23 18:57:56.333435,2023-08-23 18:57:57.945438,0 days 00:00:01.612003,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,39.0,7.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6466698630968173,2023-08-23 18:57:56.499522,2023-08-23 18:57:56.812468,0 days 00:00:00.312946,6.736419532875003e-06,,,gbtree,XGBoost,0.5483262896872316,,,2.9202950017699886e-08,,9.902427148465977e-06,lossguide,4.40829051016647e-06,,,7.0,,5.0,,,,,,,,,,,,,,,0.840572772011819,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.3357921744708146,2023-08-23 18:57:56.576751,2023-08-23 18:58:00.745426,0 days 00:00:04.168675,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5937800288997747,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
