,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7261556545619157,2023-08-23 19:00:16.674241,2023-08-23 19:00:16.966968,0 days 00:00:00.292727,,,,,DecisionTreeClassifier,,entropy,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7447189095500935,2023-08-23 19:00:16.674574,2023-08-23 19:00:16.748565,0 days 00:00:00.073991,,,,,DecisionTreeClassifier,,log_loss,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7931327739627559,2023-08-23 19:00:16.676186,2023-08-23 19:00:17.226538,0 days 00:00:00.550352,1.430491556870438e-08,,,dart,XGBoost,0.7257928638315307,,,0.06509705755266974,,1.3515263614438708e-07,depthwise,1.014307059578227e-06,,,7.0,,8.0,,,,,,,,tree,,2.490450173203597e-05,,,uniform,6.559512124778973e-06,0.47161153930153454,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.3357921744708146,2023-08-23 19:00:16.676439,2023-08-23 19:00:20.151730,0 days 00:00:03.475291,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.60950374079655,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7396532637859541,2023-08-23 19:00:16.677073,2023-08-23 19:00:16.805047,0 days 00:00:00.127974,,,,,DecisionTreeClassifier,,log_loss,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7704671692763709,2023-08-23 19:00:16.679225,2023-08-23 19:00:20.256547,0 days 00:00:03.577322,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,40.0,14.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7410519431256051,2023-08-23 19:00:16.681145,2023-08-23 19:00:16.867291,0 days 00:00:00.186146,,,,,DecisionTreeClassifier,,log_loss,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7294907250836129,2023-08-23 19:00:16.681640,2023-08-23 19:00:17.082327,0 days 00:00:00.400687,,,,,DecisionTreeClassifier,,log_loss,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.3357921744708146,2023-08-23 19:00:16.791653,2023-08-23 19:00:31.127653,0 days 00:00:14.336000,,,,,MLPClassifier,,,,,,,,,,,,,,logistic,sgd,1.0,100.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.3357921744708146,2023-08-23 19:00:16.847712,2023-08-23 19:00:17.988391,0 days 00:00:01.140679,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,lbfgs,1.0,90.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
