,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5813032651484644,2023-08-23 19:03:05.669598,2023-08-23 19:03:06.138260,0 days 00:00:00.468662,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,11.0,17.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.41721855997092283,2023-08-23 19:03:05.672067,2023-08-23 19:03:11.469568,0 days 00:00:05.797501,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867.7069274766467,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.3357921744708146,2023-08-23 19:03:05.675191,2023-08-23 19:03:08.084897,0 days 00:00:02.409706,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015229094441907514,linear,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.40466065671625173,2023-08-23 19:03:05.677189,2023-08-23 19:03:05.733978,0 days 00:00:00.056789,0.0002890593257949681,,,gblinear,XGBoost,0.8005391043448664,,,,,,,7.424956414897035e-05,,,,,,,,,,,,,,,,,,,,0.5235475958933639,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5638023992071597,2023-08-23 19:03:05.678883,2023-08-23 19:03:06.856555,0 days 00:00:01.177672,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,23.0,21.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5697027909541001,2023-08-23 19:03:05.680972,2023-08-23 19:03:06.646049,0 days 00:00:00.965077,,0.6000000000000001,3.0,,LightGBM,,,,,1.0,,,,0.0008310982012495131,1.0084091750691472e-06,,100.0,,,,,,,,,,225.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5669986462412668,2023-08-23 19:03:05.683991,2023-08-23 19:03:05.834076,0 days 00:00:00.150085,0.0023512385729191404,,,gbtree,XGBoost,0.5183988947256377,,,0.05172503114984461,,0.0010300176150864076,lossguide,0.008982662280422164,,,3.0,,10.0,,,,,,,,,,,,,,,0.2429919552957042,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.41411354926673627,2023-08-23 19:03:05.687399,2023-08-23 19:03:05.782109,0 days 00:00:00.094710,5.905769725833337e-07,,,gblinear,XGBoost,0.9545517508044559,,,,,,,0.0009697257763050521,,,,,,,,,,,,,,,,,,,,0.8476480941308069,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5828252568783943,2023-08-23 19:03:05.776723,2023-08-23 19:03:06.782782,0 days 00:00:01.006059,,0.5,1.0,,LightGBM,,,,,0.6000000000000001,,,,4.1939058336738444e-07,0.006927894043174122,,80.0,,,,,,,,,,162.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5834281104636527,2023-08-23 19:03:05.829970,2023-08-23 19:03:06.025804,0 days 00:00:00.195834,,,,,DecisionTreeClassifier,,log_loss,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
