,number,value,datetime_start,datetime_complete,duration,params_alpha,params_bagging_fraction,params_bagging_freq,params_booster,params_classifier,params_colsample_bytree,params_dct_criterion,params_dct_max_depth,params_eta,params_feature_fraction,params_gamma,params_grow_policy,params_lambda,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_child_samples,params_min_child_weight,params_mlp_activation,params_mlp_solver,params_n_layers,params_n_units_l_0,params_n_units_l_1,params_n_units_l_2,params_n_units_l_3,params_normalize_type,params_num_leaves,params_rate_drop,params_rf_estimator,params_rf_max_depth,params_sample_type,params_skip_drop,params_subsample,params_svc_c,params_svc_kernel,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.3357921744708146,2023-08-23 19:08:01.718348,2023-08-23 19:08:07.755489,0 days 00:00:06.037141,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018065276283542877,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7106671538494604,2023-08-23 19:08:01.720675,2023-08-23 19:08:02.038336,0 days 00:00:00.317661,0.014192571294071761,,,gbtree,XGBoost,0.4991580850747541,,,2.8295004389608925e-05,,0.0033602884957866434,depthwise,5.961466434365227e-08,,,9.0,,10.0,,,,,,,,,,,,,,,0.9183661047256628,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6694369135514243,2023-08-23 19:08:01.722631,2023-08-23 19:08:02.171272,0 days 00:00:00.448641,,,,,DecisionTreeClassifier,,entropy,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6800158867377968,2023-08-23 19:08:01.726478,2023-08-23 19:09:32.698753,0 days 00:01:30.972275,,,,,MLPClassifier,,,,,,,,,,,,,,relu,lbfgs,1.0,80.0,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6817805304826854,2023-08-23 19:08:01.726858,2023-08-23 19:08:01.931003,0 days 00:00:00.204145,,,,,DecisionTreeClassifier,,gini,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.3357921744708146,2023-08-23 19:08:01.732144,2023-08-23 19:08:07.896711,0 days 00:00:06.164567,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20874712542889887,poly,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7027925480714821,2023-08-23 19:08:01.734834,2023-08-23 19:08:04.675987,0 days 00:00:02.941153,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,37.0,32.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.638375318385721,2023-08-23 19:08:01.735337,2023-08-23 19:13:20.812038,0 days 00:05:19.076701,,,,,MLPClassifier,,,,,,,,,,,,,,relu,lbfgs,4.0,70.0,100.0,60.0,70.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7114037563189447,2023-08-23 19:08:02.145385,2023-08-23 19:08:03.848871,0 days 00:00:01.703486,,0.9,1.0,,LightGBM,,,,,0.4,,,,0.16031100059434208,6.373948103619834e-06,,70.0,,,,,,,,,,180.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7008244008437556,2023-08-23 19:08:02.149399,2023-08-23 19:08:06.131801,0 days 00:00:03.982402,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,90.0,8.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.7101712942230183,2023-08-23 19:08:02.270835,2023-08-23 19:08:02.704666,0 days 00:00:00.433831,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,17.0,3.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6954610809750996,2023-08-23 19:08:02.861841,2023-08-23 19:08:04.798771,0 days 00:00:01.936930,,0.6000000000000001,2.0,,LightGBM,,,,,0.4,,,,4.297042381263201e-07,6.649207063661891e-05,,40.0,,,,,,,,,,185.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6969515775537072,2023-08-23 19:08:03.893113,2023-08-23 19:08:03.947960,0 days 00:00:00.054847,,,,,DecisionTreeClassifier,,log_loss,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6797017656326805,2023-08-23 19:08:04.026838,2023-08-23 19:08:04.164731,0 days 00:00:00.137893,,,,,DecisionTreeClassifier,,gini,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.3357921744708146,2023-08-23 19:08:04.245042,2023-08-23 19:08:11.433938,0 days 00:00:07.188896,,,,,SVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00162077911928874,rbf,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.7036697247706422,2023-08-23 19:08:04.791963,2023-08-23 19:08:05.895653,0 days 00:00:01.103690,,,,,RandomForestClassifier,,,,,,,,,,,,,,,,,,,,,,,,53.0,3.0,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.7177494333817495,2023-08-23 19:08:04.872566,2023-08-23 19:08:06.540818,0 days 00:00:01.668252,,0.9,1.0,,LightGBM,,,,,0.8,,,,0.2836377369081805,1.2387981926372643e-07,,80.0,,,,,,,,,,179.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5185120604475444,2023-08-23 19:08:06.086424,2023-08-23 19:14:40.553528,0 days 00:06:34.467104,,,,,MLPClassifier,,,,,,,,,,,,,,tanh,sgd,4.0,70.0,100.0,90.0,80.0,,,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.7112808323157767,2023-08-23 19:08:06.260852,2023-08-23 19:08:06.688742,0 days 00:00:00.427890,0.02346615853749882,,,gbtree,XGBoost,0.4910375968097797,,,2.9782549194266744e-05,,0.002503504745686228,depthwise,1.5682062342048346e-08,,,9.0,,10.0,,,,,,,,,,,,,,,0.9829620851182419,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.7154304601309074,2023-08-23 19:08:06.612480,2023-08-23 19:08:08.458742,0 days 00:00:01.846262,,1.0,1.0,,LightGBM,,,,,0.8,,,,0.8663027364298788,6.641130351379953e-08,,90.0,,,,,,,,,,186.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.7154028405611128,2023-08-23 19:08:06.789009,2023-08-23 19:08:08.701244,0 days 00:00:01.912235,,1.0,1.0,,LightGBM,,,,,0.9,,,,0.6961092328133823,7.938830351968498e-08,,90.0,,,,,,,,,,171.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.709128670589926,2023-08-23 19:08:07.852826,2023-08-23 19:08:09.963585,0 days 00:00:02.110759,,1.0,1.0,,LightGBM,,,,,0.8,,,,0.807967876938444,4.3295304379549755e-08,,90.0,,,,,,,,,,183.0,,,,,,,,,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
