,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.679286664509402,2023-08-23 22:54:14.251563,2023-08-23 22:54:15.844520,0 days 00:00:01.592957,0.8,2,0.6000000000000001,1.323229683736623e-07,0.4791130075135105,30,31,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6771814955721092,2023-08-23 22:54:14.253929,2023-08-23 22:54:15.156261,0 days 00:00:00.902332,1.0,1,0.4,2.440160392346728e-06,0.19974218051654385,90,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6703418540190946,2023-08-23 22:54:14.256516,2023-08-23 22:54:19.367031,0 days 00:00:05.110515,0.7000000000000001,1,0.5,0.005220036322638563,1.3995642394542092e-07,10,147,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6723489453725212,2023-08-23 22:54:14.259671,2023-08-23 22:54:18.767876,0 days 00:00:04.508205,0.5,2,0.6000000000000001,1.807961558698145e-08,0.001771443583694021,20,250,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6758720930232558,2023-08-23 22:54:14.264133,2023-08-23 22:54:20.249352,0 days 00:00:05.985219,1.0,1,0.9,8.246623662704449e-05,3.6412685147132522e-06,10,149,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6682688115231319,2023-08-23 22:54:14.276356,2023-08-23 22:54:16.339439,0 days 00:00:02.063083,0.5,2,1.0,9.653188908177728e-05,5.7991455254562016e-05,60,182,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6758720930232558,2023-08-23 22:54:14.289735,2023-08-23 22:54:15.332066,0 days 00:00:01.042331,0.5,3,0.4,0.19344678496078058,4.859969171188739e-08,90,241,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6628722606929862,2023-08-23 22:54:14.295211,2023-08-23 22:54:18.278431,0 days 00:00:03.983220,1.0,1,0.7000000000000001,0.016447327376055126,9.482512928291395e-06,50,248,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6734501986504868,2023-08-23 22:54:15.202612,2023-08-23 22:54:17.010781,0 days 00:00:01.808169,1.0,3,0.7000000000000001,0.6747001923377193,1.7216060152668775e-05,100,178,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6582059076157118,2023-08-23 22:54:15.376963,2023-08-23 22:54:20.417724,0 days 00:00:05.040761,0.4,3,0.5,3.266970204045307e-05,1.1191724896555333e-07,10,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
