,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.534877462111655,2023-08-23 22:13:06.167759,2023-08-23 22:13:08.944732,0 days 00:00:02.776973,0.7000000000000001,2,0.7000000000000001,0.0007686920763609669,0.04293926000726639,40,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.530260861239314,2023-08-23 22:13:06.170317,2023-08-23 22:13:08.007768,0 days 00:00:01.837451,0.7000000000000001,1,1.0,1.1159567465280245e-06,2.230928948855591e-06,70,150,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5410550528131716,2023-08-23 22:13:06.172159,2023-08-23 22:13:08.124186,0 days 00:00:01.952027,0.7000000000000001,2,1.0,0.001643362872957462,2.410679512141478e-07,10,66,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5202729699724735,2023-08-23 22:13:06.174120,2023-08-23 22:13:06.552322,0 days 00:00:00.378202,0.9,3,0.8,1.9240163790341955e-06,8.698013302905479e-07,60,11,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5412159833767944,2023-08-23 22:13:06.177389,2023-08-23 22:13:12.648351,0 days 00:00:06.470962,0.4,3,1.0,6.776332766780912e-08,0.074923401186148,10,248,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5244976576840423,2023-08-23 22:13:06.178403,2023-08-23 22:13:07.841261,0 days 00:00:01.662858,0.5,1,0.9,4.642075601988739e-07,1.8808027518973683e-08,50,201,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5357457128753246,2023-08-23 22:13:06.179338,2023-08-23 22:13:06.786573,0 days 00:00:00.607235,0.7000000000000001,2,0.6000000000000001,0.0013899475521714213,8.669118041713512e-08,80,16,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5174030658250677,2023-08-23 22:13:06.180392,2023-08-23 22:13:07.163247,0 days 00:00:00.982855,0.6000000000000001,2,0.4,7.643755747062582e-08,0.0006415730688729004,100,75,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5227357320099255,2023-08-23 22:13:06.595504,2023-08-23 22:13:09.187910,0 days 00:00:02.592406,0.8,3,1.0,0.03104956070948529,0.5838863403734271,50,135,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5083104738558913,2023-08-23 22:13:06.828817,2023-08-23 22:13:08.186209,0 days 00:00:01.357392,0.7000000000000001,3,0.5,0.25196013159433306,1.2444777797180835e-06,80,108,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5193307090209975,2023-08-23 22:13:07.207640,2023-08-23 22:13:08.623904,0 days 00:00:01.416264,1.0,2,0.4,9.591232342026e-06,3.268741100696293e-06,90,211,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.514156155530074,2023-08-23 22:13:07.890801,2023-08-23 22:13:09.334700,0 days 00:00:01.443899,0.5,3,0.5,0.0003344876181088691,0.0003595482816945675,80,59,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5437517400340561,2023-08-23 22:13:08.054905,2023-08-23 22:13:12.546343,0 days 00:00:04.491438,1.0,2,0.9,1.8837706432928393e-05,1.3322111297640742e-07,20,212,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.522960680086241,2023-08-23 22:13:08.168850,2023-08-23 22:13:09.896707,0 days 00:00:01.727857,0.9,1,0.8,1.6935479217199524e-06,0.05113250510386986,100,113,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5340124193525041,2023-08-23 22:13:08.233833,2023-08-23 22:13:09.131529,0 days 00:00:00.897696,0.8,1,0.7000000000000001,0.10734907068090051,3.5540041134585306e-08,90,26,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5264076676747911,2023-08-23 22:13:08.665931,2023-08-23 22:13:09.024768,0 days 00:00:00.358837,0.7000000000000001,3,1.0,5.0159307405482806e-08,0.003168336934510364,50,8,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5210276594946323,2023-08-23 22:13:08.995269,2023-08-23 22:13:10.991173,0 days 00:00:01.995904,1.0,2,0.4,0.01866628865966023,0.00013816992772129407,80,233,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.511633023767493,2023-08-23 22:13:09.076327,2023-08-23 22:13:13.124852,0 days 00:00:04.048525,0.4,1,0.8,0.052642703115224225,2.649332189830287e-05,10,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5221769873580459,2023-08-23 22:13:09.186522,2023-08-23 22:13:11.045712,0 days 00:00:01.859190,0.4,2,0.6000000000000001,0.0008079307735786318,2.935782476885183e-05,10,64,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5522733020758351,2023-08-23 22:13:09.235160,2023-08-23 22:13:11.287722,0 days 00:00:02.052562,0.4,2,0.6000000000000001,0.0006996305164905174,1.2484334810691133e-08,10,59,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5263137979940581,2023-08-23 22:13:09.378093,2023-08-23 22:13:10.618431,0 days 00:00:01.240338,0.4,2,0.6000000000000001,0.004611853812272519,2.4186309433264187e-05,10,48,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5283568671621567,2023-08-23 22:13:09.944183,2023-08-23 22:13:11.339363,0 days 00:00:01.395180,0.4,2,0.6000000000000001,0.00819886274440708,3.230207664505141e-05,10,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5302420811122099,2023-08-23 22:13:10.665394,2023-08-23 22:13:12.405874,0 days 00:00:01.740480,0.6000000000000001,2,0.6000000000000001,5.2974816997833506e-05,1.0467116449582725e-07,10,44,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5348712896193191,2023-08-23 22:13:11.041622,2023-08-23 22:13:12.314885,0 days 00:00:01.273263,0.6000000000000001,2,0.6000000000000001,5.836957768962531e-05,8.933989285464798e-08,30,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5387659144931785,2023-08-23 22:13:11.107421,2023-08-23 22:13:12.485894,0 days 00:00:01.378473,0.6000000000000001,2,0.8,3.207689563756166e-05,1.1112552044507521e-07,30,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5107105147948804,2023-08-23 22:13:11.337710,2023-08-23 22:13:14.040212,0 days 00:00:02.702502,0.5,1,0.8,5.464987825022039e-05,1.915495985230594e-07,30,169,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5074392292394725,2023-08-23 22:13:11.398357,2023-08-23 22:13:13.767412,0 days 00:00:02.369055,0.6000000000000001,1,0.8,5.312586237773739e-05,1.2665175577156555e-08,30,84,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5271479274527042,2023-08-23 22:13:12.366667,2023-08-23 22:13:15.601727,0 days 00:00:03.235060,0.6000000000000001,1,0.8,0.7536877511023277,1.4592458921583543e-08,30,168,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5424147740521382,2023-08-23 22:13:12.464153,2023-08-23 22:13:15.109263,0 days 00:00:02.645110,0.8,2,0.8,0.0022582030892285628,1.8834046226643497e-08,30,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.5161865207891025,2023-08-23 22:13:12.544930,2023-08-23 22:13:14.716942,0 days 00:00:02.172012,0.5,2,0.9,0.00016245459863975948,1.2996287028973844e-08,30,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.5386016922981903,2023-08-23 22:13:12.644423,2023-08-23 22:13:16.750053,0 days 00:00:04.105630,0.8,1,0.9,0.0030622937055852836,1.026776288680928e-08,20,169,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5213992136663292,2023-08-23 22:13:12.704778,2023-08-23 22:13:16.438655,0 days 00:00:03.733877,0.5,3,0.9,1.2942214405370465e-08,1.3964821425492655e-08,20,251,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.5213992136663292,2023-08-23 22:13:13.175528,2023-08-23 22:13:17.039615,0 days 00:00:03.864087,0.5,3,0.9,2.911622875692726e-08,2.4711514970185573e-08,20,241,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.5195617270335013,2023-08-23 22:13:13.811533,2023-08-23 22:13:17.509549,0 days 00:00:03.698016,0.5,3,0.9,0.9881561250756621,1.1480820564561969e-08,20,253,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.5110325571864034,2023-08-23 22:13:14.097493,2023-08-23 22:13:17.753681,0 days 00:00:03.656188,0.5,3,0.9,1.2529577592307263e-05,1.0431146261711837e-08,20,254,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.5325691616754845,2023-08-23 22:13:14.765421,2023-08-23 22:13:20.387306,0 days 00:00:05.621885,0.8,3,0.9,6.576656483833727e-06,4.457708026021811e-06,20,241,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.5221769873580459,2023-08-23 22:13:15.159385,2023-08-23 22:13:18.304573,0 days 00:00:03.145188,0.9,2,0.7000000000000001,0.0002753354442334576,1.0173505312897653e-08,20,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.5140418283827095,2023-08-23 22:13:15.646586,2023-08-23 22:13:18.218777,0 days 00:00:02.572191,0.9,2,0.7000000000000001,0.0005391631290454879,3.647415970413545e-07,20,105,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.5217652492393952,2023-08-23 22:13:16.498110,2023-08-23 22:13:22.811932,0 days 00:00:06.313822,0.9,2,0.9,0.00041332592756086024,3.272331107429895e-07,20,256,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.5354816645680797,2023-08-23 22:13:16.795921,2023-08-23 22:13:22.006806,0 days 00:00:05.210885,0.9,3,0.7000000000000001,0.0004015953624380843,5.140356301508113e-07,20,221,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.5052883188301646,2023-08-23 22:13:17.089176,2023-08-23 22:13:22.238090,0 days 00:00:05.148914,1.0,2,0.7000000000000001,0.00046267137536773684,2.9895966355478595e-07,20,214,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
41,41,0.5313378231666621,2023-08-23 22:13:17.556332,2023-08-23 22:13:20.877203,0 days 00:00:03.320871,0.9,2,0.7000000000000001,0.0003640116592916844,4.471779477421571e-07,40,222,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
42,42,0.5313378231666621,2023-08-23 22:13:17.798797,2023-08-23 22:13:21.179527,0 days 00:00:03.380730,0.9,2,0.7000000000000001,0.0004883311963332973,4.4341098198506695e-07,40,200,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
43,43,0.5447258105468245,2023-08-23 22:13:18.273167,2023-08-23 22:13:21.888246,0 days 00:00:03.615079,0.9,2,1.0,0.00026520221765803084,5.538425059314622e-07,40,215,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
